Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,session,player,gamelog_url
1,1,1991-11-01,31-079,MIL,@,DET,W (+10),0,17:00,0,5,.000,0,1,.000,2,2,1.000,3,0,3,0,0,0,0,0,2,0.6,1992,roberfr01,https://www.basketball-reference.com/players/r/roberfr01/gamelog/1992
2,2,1991-11-02,31-080,MIL,,CHI,W (+2),0,26:00,5,7,.714,0,0,,3,3,1.000,3,1,4,1,2,0,4,4,13,9.6,1992,roberfr01,https://www.basketball-reference.com/players/r/roberfr01/gamelog/1992
3,3,1991-11-05,31-083,MIL,@,NYK,L (-28),0,19:00,2,5,.400,0,0,,4,4,1.000,1,2,3,0,0,0,1,4,8,4.0,1992,roberfr01,https://www.basketball-reference.com/players/r/roberfr01/gamelog/1992
4,4,1991-11-06,31-084,MIL,,GSW,L (-6),0,25:00,5,10,.500,0,0,,4,6,.667,2,3,5,0,1,1,2,3,14,9.0,1992,roberfr01,https://www.basketball-reference.com/players/r/roberfr01/gamelog/1992
5,5,1991-11-08,31-086,MIL,@,CHH,W (+3),0,21:00,5,7,.714,0,0,,0,0,,0,0,0,1,0,1,0,3,10,7.3,1992,roberfr01,https://www.basketball-reference.com/players/r/roberfr01/gamelog/1992
6,6,1991-11-09,31-087,MIL,,DAL,W (+16),0,11:00,1,2,.500,0,0,,2,2,1.000,0,1,1,1,0,0,0,3,4,2.8,1992,roberfr01,https://www.basketball-reference.com/players/r/roberfr01/gamelog/1992
7,7,1991-11-11,31-089,MIL,@,PHI,L (-3),0,16:00,2,5,.400,0,0,,1,1,1.000,0,0,0,0,0,1,0,1,5,2.6,1992,roberfr01,https://www.basketball-reference.com/players/r/roberfr01/gamelog/1992
8,8,1991-11-12,31-090,MIL,@,CLE,L (-6),0,19:00,4,6,.667,0,0,,0,0,,1,1,2,5,1,1,2,4,8,8.0,1992,roberfr01,https://www.basketball-reference.com/players/r/roberfr01/gamelog/1992
9,9,1991-11-15,31-093,MIL,@,CHI,L (-13),0,13:00,2,3,.667,0,0,,0,0,,0,1,1,1,0,0,4,4,4,-1.9,1992,roberfr01,https://www.basketball-reference.com/players/r/roberfr01/gamelog/1992
10,10,1991-11-16,31-094,MIL,,MIA,L (-4),0,15:00,2,4,.500,0,0,,0,0,,0,0,0,1,0,0,1,3,4,0.5,1992,roberfr01,https://www.basketball-reference.com/players/r/roberfr01/gamelog/1992
11,11,1991-11-19,31-097,MIL,,CHH,W (+23),0,22:00,6,12,.500,0,0,,0,0,,0,2,2,5,2,1,0,1,12,12.4,1992,roberfr01,https://www.basketball-reference.com/players/r/roberfr01/gamelog/1992
12,12,1991-11-21,31-099,MIL,,WSB,W (+25),0,18:00,3,7,.429,0,0,,3,4,.750,3,4,7,3,1,2,0,2,9,11.9,1992,roberfr01,https://www.basketball-reference.com/players/r/roberfr01/gamelog/1992
13,13,1991-11-23,31-101,MIL,@,GSW,L (-5),0,14:00,3,4,.750,0,0,,0,2,.000,0,4,4,0,1,0,1,5,6,2.8,1992,roberfr01,https://www.basketball-reference.com/players/r/roberfr01/gamelog/1992
14,14,1991-11-24,31-102,MIL,@,LAL,L (-5),0,12:00,1,4,.250,0,0,,0,0,,0,3,3,0,0,1,0,1,2,0.8,1992,roberfr01,https://www.basketball-reference.com/players/r/roberfr01/gamelog/1992
15,15,1991-11-26,31-104,MIL,@,POR,L (-9),0,23:00,1,7,.143,0,1,.000,0,0,,2,0,2,3,1,0,2,5,2,-2.0,1992,roberfr01,https://www.basketball-reference.com/players/r/roberfr01/gamelog/1992
16,16,1991-11-30,31-108,MIL,,IND,W (+18),1,29:00,8,13,.615,0,0,,2,3,.667,1,1,2,3,0,1,0,3,18,14.3,1992,roberfr01,https://www.basketball-reference.com/players/r/roberfr01/gamelog/1992
17,17,1991-12-03,31-111,MIL,,LAL,W (+32),1,28:00,5,9,.556,0,0,,2,2,1.000,2,3,5,5,0,0,1,5,12,10.5,1992,roberfr01,https://www.basketball-reference.com/players/r/roberfr01/gamelog/1992
18,18,1991-12-05,31-113,MIL,,NJN,L (-8),1,23:00,4,8,.500,0,0,,0,0,,0,2,2,0,3,0,3,2,8,3.8,1992,roberfr01,https://www.basketball-reference.com/players/r/roberfr01/gamelog/1992
19,19,1991-12-06,31-114,MIL,@,IND,L (-20),1,31:00,9,18,.500,0,1,.000,2,3,.667,5,3,8,4,0,1,4,4,20,12.9,1992,roberfr01,https://www.basketball-reference.com/players/r/roberfr01/gamelog/1992
20,20,1991-12-08,31-116,MIL,,SAS,W (+19),1,25:00,4,8,.500,0,0,,2,2,1.000,1,2,3,2,1,0,2,1,10,7.3,1992,roberfr01,https://www.basketball-reference.com/players/r/roberfr01/gamelog/1992
21,21,1991-12-10,31-118,MIL,@,ATL,L (-14),1,25:00,1,6,.167,0,0,,0,0,,0,0,0,1,2,2,1,3,2,0.1,1992,roberfr01,https://www.basketball-reference.com/players/r/roberfr01/gamelog/1992
22,22,1991-12-12,31-120,MIL,@,WSB,W (+12),1,13:00,0,2,.000,0,0,,0,0,,0,0,0,0,1,0,1,1,0,-1.8,1992,roberfr01,https://www.basketball-reference.com/players/r/roberfr01/gamelog/1992
23,23,1991-12-14,31-122,MIL,,MIN,W (+11),1,28:00,5,11,.455,0,0,,0,0,,2,3,5,1,0,1,0,4,10,6.4,1992,roberfr01,https://www.basketball-reference.com/players/r/roberfr01/gamelog/1992
24,24,1991-12-18,31-126,MIL,@,BOS,L (-14),1,28:00,8,13,.615,0,0,,3,5,.600,3,2,5,1,1,0,1,2,19,14.9,1992,roberfr01,https://www.basketball-reference.com/players/r/roberfr01/gamelog/1992
25,25,1991-12-19,31-127,MIL,@,ORL,W (+8),1,18:00,2,4,.500,0,0,,4,4,1.000,0,2,2,1,1,0,1,1,8,6.9,1992,roberfr01,https://www.basketball-reference.com/players/r/roberfr01/gamelog/1992
26,26,1991-12-21,31-129,MIL,,PHI,W (+13),1,14:00,3,5,.600,0,0,,2,2,1.000,0,1,1,2,0,0,1,3,8,5.2,1992,roberfr01,https://www.basketball-reference.com/players/r/roberfr01/gamelog/1992
27,27,1991-12-26,31-134,MIL,,CLE,L (-17),1,21:00,4,8,.500,0,0,,0,0,,0,1,1,2,2,0,3,1,8,4.3,1992,roberfr01,https://www.basketball-reference.com/players/r/roberfr01/gamelog/1992
28,28,1991-12-29,31-137,MIL,,HOU,W (+10),1,14:00,1,6,.167,0,0,,0,0,,2,3,5,2,0,0,0,0,2,1.9,1992,roberfr01,https://www.basketball-reference.com/players/r/roberfr01/gamelog/1992
29,29,1992-01-02,31-141,MIL,@,MIN,W (+1),1,21:00,5,10,.500,0,0,,2,2,1.000,2,2,4,1,0,0,0,0,12,9.7,1992,roberfr01,https://www.basketball-reference.com/players/r/roberfr01/gamelog/1992
30,30,1992-01-03,31-142,MIL,,CHI,W (+5),1,18:00,3,5,.600,0,0,,0,0,,1,2,3,1,0,1,0,2,6,5.6,1992,roberfr01,https://www.basketball-reference.com/players/r/roberfr01/gamelog/1992
31,31,1992-01-08,31-147,MIL,,UTA,W (+1),1,20:00,3,9,.333,0,0,,0,0,,2,3,5,0,0,0,3,0,6,0.2,1992,roberfr01,https://www.basketball-reference.com/players/r/roberfr01/gamelog/1992
32,32,1992-01-10,31-149,MIL,@,NJN,L (-7),1,22:00,6,10,.600,0,0,,1,1,1.000,1,1,2,0,0,2,2,2,13,8.0,1992,roberfr01,https://www.basketball-reference.com/players/r/roberfr01/gamelog/1992
33,33,1992-01-11,31-150,MIL,,SAC,L (-1),1,22:00,1,6,.167,0,0,,0,0,,0,1,1,0,0,1,2,1,2,-3.2,1992,roberfr01,https://www.basketball-reference.com/players/r/roberfr01/gamelog/1992
34,34,1992-01-14,31-153,MIL,@,ATL,L (-5),1,18:00,3,8,.375,0,0,,3,3,1.000,3,4,7,0,0,1,0,3,9,7.4,1992,roberfr01,https://www.basketball-reference.com/players/r/roberfr01/gamelog/1992
35,35,1992-01-15,31-154,MIL,@,MIA,L (-19),1,18:00,2,7,.286,0,0,,0,0,,2,2,4,1,2,0,1,1,4,3.2,1992,roberfr01,https://www.basketball-reference.com/players/r/roberfr01/gamelog/1992
36,36,1992-01-17,31-156,MIL,,NYK,W (+5),1,22:00,2,5,.400,0,0,,3,7,.429,3,1,4,1,1,0,0,0,7,6.8,1992,roberfr01,https://www.basketball-reference.com/players/r/roberfr01/gamelog/1992
37,37,1992-01-19,31-158,MIL,,ORL,W (+10),1,19:00,4,14,.286,0,0,,2,2,1.000,3,3,6,1,0,2,1,2,10,5.1,1992,roberfr01,https://www.basketball-reference.com/players/r/roberfr01/gamelog/1992
38,38,1992-01-21,31-160,MIL,@,HOU,L (-10),1,12:00,1,4,.250,0,0,,0,0,,0,1,1,0,0,0,1,1,2,-1.5,1992,roberfr01,https://www.basketball-reference.com/players/r/roberfr01/gamelog/1992
39,39,1992-01-22,31-161,MIL,@,DAL,L (-2),1,20:00,2,6,.333,0,0,,0,0,,2,3,5,2,0,0,0,2,4,3.5,1992,roberfr01,https://www.basketball-reference.com/players/r/roberfr01/gamelog/1992
40,40,1992-01-24,31-163,MIL,@,SAS,L (-29),1,17:00,5,10,.500,0,1,.000,0,1,.000,1,1,2,2,2,0,4,2,10,4.2,1992,roberfr01,https://www.basketball-reference.com/players/r/roberfr01/gamelog/1992
41,41,1992-01-25,31-164,MIL,@,DEN,L (-7),1,26:00,5,9,.556,0,0,,0,4,.000,0,0,0,0,0,1,0,3,10,3.6,1992,roberfr01,https://www.basketball-reference.com/players/r/roberfr01/gamelog/1992
42,42,1992-01-29,31-168,MIL,,ATL,L (-10),1,23:00,5,8,.625,0,0,,1,2,.500,1,2,3,2,0,0,2,3,11,6.5,1992,roberfr01,https://www.basketball-reference.com/players/r/roberfr01/gamelog/1992
43,43,1992-01-31,31-170,MIL,,BOS,W (+2),1,20:00,5,6,.833,0,0,,0,0,,0,2,2,0,2,2,2,2,10,9.0,1992,roberfr01,https://www.basketball-reference.com/players/r/roberfr01/gamelog/1992
44,44,1992-02-02,31-172,MIL,,SEA,W (+16),1,20:00,5,5,1.000,0,0,,0,0,,0,1,1,4,0,0,1,2,10,9.8,1992,roberfr01,https://www.basketball-reference.com/players/r/roberfr01/gamelog/1992
45,45,1992-02-05,31-175,MIL,@,DET,L (-8),1,30:00,7,14,.500,1,1,1.000,4,5,.800,2,3,5,1,1,1,2,2,19,13.5,1992,roberfr01,https://www.basketball-reference.com/players/r/roberfr01/gamelog/1992
46,46,1992-02-06,31-176,MIL,,DEN,W (+9),1,18:00,6,8,.750,0,1,.000,2,2,1.000,0,2,2,1,1,0,1,2,14,11.3,1992,roberfr01,https://www.basketball-reference.com/players/r/roberfr01/gamelog/1992
47,47,1992-02-11,31-181,MIL,,DET,W (+17),1,21:00,5,9,.556,1,1,1.000,2,3,.667,1,3,4,1,0,0,2,2,13,7.8,1992,roberfr01,https://www.basketball-reference.com/players/r/roberfr01/gamelog/1992
48,48,1992-02-13,31-183,MIL,,CHH,W (+9),1,22:00,5,8,.625,0,0,,1,2,.500,2,1,3,5,1,1,3,2,11,10.1,1992,roberfr01,https://www.basketball-reference.com/players/r/roberfr01/gamelog/1992
49,49,1992-02-14,31-184,MIL,@,IND,L (-7),1,28:00,1,9,.111,0,1,.000,0,1,.000,0,2,2,2,1,0,3,3,2,-5.5,1992,roberfr01,https://www.basketball-reference.com/players/r/roberfr01/gamelog/1992
50,50,1992-02-16,31-186,MIL,@,ORL,L (-14),1,32:00,2,8,.250,0,0,,0,0,,2,5,7,2,0,1,2,5,4,0.2,1992,roberfr01,https://www.basketball-reference.com/players/r/roberfr01/gamelog/1992
51,51,1992-02-23,31-193,MIL,@,CLE,L (-14),0,4:00,0,1,.000,0,0,,0,0,,0,1,1,0,1,0,1,0,0,-0.4,1992,roberfr01,https://www.basketball-reference.com/players/r/roberfr01/gamelog/1992
52,52,1992-02-25,31-195,MIL,@,CHH,L (-12),1,16:00,3,5,.600,0,0,,0,0,,0,1,1,0,0,0,1,1,6,2.6,1992,roberfr01,https://www.basketball-reference.com/players/r/roberfr01/gamelog/1992
53,53,1992-02-27,31-197,MIL,@,DET,L (-7),1,21:00,4,10,.400,0,1,.000,2,3,.667,1,1,2,0,1,0,1,1,10,4.8,1992,roberfr01,https://www.basketball-reference.com/players/r/roberfr01/gamelog/1992
54,54,1992-02-28,31-198,MIL,,CHI,L (-4),1,20:00,4,9,.444,0,0,,0,0,,1,3,4,1,0,0,1,1,8,4.2,1992,roberfr01,https://www.basketball-reference.com/players/r/roberfr01/gamelog/1992
55,55,1992-03-01,31-200,MIL,,ATL,W (+3),1,23:00,4,8,.500,0,1,.000,5,7,.714,0,2,2,1,1,1,3,5,13,6.2,1992,roberfr01,https://www.basketball-reference.com/players/r/roberfr01/gamelog/1992
56,56,1992-03-04,31-203,MIL,,CHH,L (-9),1,22:00,6,9,.667,2,2,1.000,1,2,.500,1,5,6,3,1,2,2,1,15,15.0,1992,roberfr01,https://www.basketball-reference.com/players/r/roberfr01/gamelog/1992
57,57,1992-03-06,31-205,MIL,,ORL,W (+22),1,19:00,5,12,.417,0,0,,2,2,1.000,2,1,3,3,5,1,1,1,12,13.7,1992,roberfr01,https://www.basketball-reference.com/players/r/roberfr01/gamelog/1992
58,58,1992-03-07,31-206,MIL,@,WSB,L (-4),1,17:00,2,4,.500,0,0,,0,0,,2,1,3,4,0,0,2,3,4,3.3,1992,roberfr01,https://www.basketball-reference.com/players/r/roberfr01/gamelog/1992
59,59,1992-03-10,31-209,MIL,,POR,L (-14),1,30:00,8,16,.500,1,1,1.000,8,8,1.000,2,5,7,0,1,0,3,2,25,17.1,1992,roberfr01,https://www.basketball-reference.com/players/r/roberfr01/gamelog/1992
60,60,1992-03-12,31-211,MIL,,PHO,L (-6),1,25:00,4,7,.571,0,0,,0,0,,0,3,3,0,0,0,1,4,8,3.0,1992,roberfr01,https://www.basketball-reference.com/players/r/roberfr01/gamelog/1992
61,61,1992-03-14,31-213,MIL,,PHI,W (+5),1,27:00,9,11,.818,1,2,.500,0,1,.000,1,1,2,1,1,1,1,1,19,16.5,1992,roberfr01,https://www.basketball-reference.com/players/r/roberfr01/gamelog/1992
62,62,1992-03-17,31-216,MIL,,BOS,W (+21),1,23:00,3,5,.600,1,2,.500,2,3,.667,0,1,1,1,0,1,1,1,9,6.6,1992,roberfr01,https://www.basketball-reference.com/players/r/roberfr01/gamelog/1992
63,63,1992-03-19,31-218,MIL,@,NYK,L (-4),1,19:00,3,4,.750,1,1,1.000,2,2,1.000,1,1,2,3,1,2,4,1,9,8.5,1992,roberfr01,https://www.basketball-reference.com/players/r/roberfr01/gamelog/1992
64,64,1992-03-20,31-219,MIL,@,IND,L (-5),1,24:00,0,4,.000,0,0,,1,2,.500,1,2,3,0,0,0,0,5,1,-2.9,1992,roberfr01,https://www.basketball-reference.com/players/r/roberfr01/gamelog/1992
65,65,1992-03-22,31-221,MIL,,WSB,W (+21),1,20:00,3,7,.429,0,0,,0,0,,1,2,3,4,0,0,0,1,6,6.0,1992,roberfr01,https://www.basketball-reference.com/players/r/roberfr01/gamelog/1992
66,66,1992-03-24,31-223,MIL,@,SAC,L (-11),1,19:00,2,9,.222,0,0,,4,6,.667,2,1,3,1,0,0,1,1,8,2.7,1992,roberfr01,https://www.basketball-reference.com/players/r/roberfr01/gamelog/1992
67,67,1992-03-25,31-224,MIL,@,PHO,L (-28),0,17:00,3,9,.333,0,0,,3,4,.750,2,2,4,1,1,0,3,1,9,3.8,1992,roberfr01,https://www.basketball-reference.com/players/r/roberfr01/gamelog/1992
68,68,1992-03-27,31-226,MIL,@,SEA,L (-1),1,34:00,8,13,.615,2,2,1.000,7,7,1.000,5,3,8,1,1,0,2,4,25,21.6,1992,roberfr01,https://www.basketball-reference.com/players/r/roberfr01/gamelog/1992
69,69,1992-03-28,31-227,MIL,@,LAC,L (-8),1,27:00,3,6,.500,0,1,.000,4,4,1.000,2,6,8,0,1,1,2,4,10,8.3,1992,roberfr01,https://www.basketball-reference.com/players/r/roberfr01/gamelog/1992
