Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,1997-10-31,32-086,SAS,@,DEN,W (+11),1,31:11,8,17,.471,0,0,,5,9,.556,4,9,13,1,2,4,5,4,21,15.1,+4,1998,robinda01,https://www.basketball-reference.com/players/r/robinda01/gamelog/1998
2,2,1997-11-01,32-087,SAS,,CLE,W (+3),1,33:32,8,13,.615,0,0,,6,7,.857,3,6,9,0,2,4,6,5,22,16.4,+1,1998,robinda01,https://www.basketball-reference.com/players/r/robinda01/gamelog/1998
3,3,1997-11-03,32-089,SAS,@,CHI,L (-4),1,47:52,8,20,.400,0,0,,5,6,.833,1,11,12,6,0,4,6,5,21,12.8,-3,1998,robinda01,https://www.basketball-reference.com/players/r/robinda01/gamelog/1998
4,4,1997-11-05,32-091,SAS,,VAN,W (+8),1,30:45,9,21,.429,0,0,,4,4,1.000,9,8,17,2,0,3,3,3,22,18.9,+4,1998,robinda01,https://www.basketball-reference.com/players/r/robinda01/gamelog/1998
5,5,1997-11-08,32-094,SAS,,UTA,W (+7),1,28:29,9,14,.643,0,0,,10,13,.769,3,5,8,2,1,2,0,6,28,25.6,-1,1998,robinda01,https://www.basketball-reference.com/players/r/robinda01/gamelog/1998
6,6,1997-11-10,32-096,SAS,@,TOR,W (+2),1,33:41,12,17,.706,0,0,,8,11,.727,2,5,7,4,0,2,2,5,32,26.8,-4,1998,robinda01,https://www.basketball-reference.com/players/r/robinda01/gamelog/1998
7,7,1997-11-11,32-097,SAS,@,MIN,W (+1),1,35:47,12,24,.500,0,0,,12,15,.800,11,5,16,6,0,1,4,2,36,32.1,-4,1998,robinda01,https://www.basketball-reference.com/players/r/robinda01/gamelog/1998
8,8,1997-11-13,32-099,SAS,,LAL,L (-9),1,47:55,7,17,.412,0,2,.000,13,15,.867,2,12,14,6,1,2,1,5,27,25.7,-1,1998,robinda01,https://www.basketball-reference.com/players/r/robinda01/gamelog/1998
9,9,1997-11-15,32-101,SAS,,MIN,L (-11),1,36:02,8,20,.400,0,0,,13,18,.722,7,11,18,3,1,3,2,3,29,26.4,-9,1998,robinda01,https://www.basketball-reference.com/players/r/robinda01/gamelog/1998
10,10,1997-11-19,32-105,SAS,,GSW,W (+21),1,29:11,4,12,.333,0,0,,13,16,.813,3,8,11,3,0,5,3,0,21,20.1,+22,1998,robinda01,https://www.basketball-reference.com/players/r/robinda01/gamelog/1998
11,11,1997-11-21,32-107,SAS,@,SEA,L (-20),1,27:22,4,12,.333,0,0,,1,2,.500,5,6,11,3,1,0,2,1,9,7.8,-23,1998,robinda01,https://www.basketball-reference.com/players/r/robinda01/gamelog/1998
12,12,1997-11-22,32-108,SAS,@,UTA,L (-29),1,33:23,8,15,.533,0,0,,6,6,1.000,7,4,11,0,3,0,3,2,22,20.0,-20,1998,robinda01,https://www.basketball-reference.com/players/r/robinda01/gamelog/1998
13,13,1997-11-25,32-111,SAS,@,DAL,W (+11),1,34:56,8,12,.667,0,0,,6,8,.750,3,8,11,3,1,3,3,1,22,22.3,+23,1998,robinda01,https://www.basketball-reference.com/players/r/robinda01/gamelog/1998
14,14,1997-11-26,32-112,SAS,,WAS,L (-4),1,38:16,14,21,.667,0,1,.000,6,8,.750,3,7,10,2,1,1,3,3,34,27.2,-1,1998,robinda01,https://www.basketball-reference.com/players/r/robinda01/gamelog/1998
15,15,1997-11-29,32-115,SAS,,DAL,W (+9),1,34:06,7,12,.583,0,0,,4,4,1.000,5,7,12,4,0,3,3,2,18,19.1,+14,1998,robinda01,https://www.basketball-reference.com/players/r/robinda01/gamelog/1998
16,16,1997-11-30,32-116,SAS,@,ATL,L (-12),1,30:10,7,16,.438,0,0,,9,13,.692,3,5,8,0,0,1,2,4,23,13.7,-15,1998,robinda01,https://www.basketball-reference.com/players/r/robinda01/gamelog/1998
17,17,1997-12-02,32-118,SAS,,NYK,W (+6),1,38:01,6,18,.333,0,0,,11,20,.550,6,8,14,1,0,5,3,3,23,15.8,+5,1998,robinda01,https://www.basketball-reference.com/players/r/robinda01/gamelog/1998
18,18,1997-12-04,32-120,SAS,@,LAC,L (-4),1,38:46,9,17,.529,0,0,,7,12,.583,3,9,12,4,1,1,4,5,25,18.0,-6,1998,robinda01,https://www.basketball-reference.com/players/r/robinda01/gamelog/1998
19,19,1997-12-05,32-121,SAS,@,LAL,L (-10),1,33:53,6,12,.500,0,0,,7,7,1.000,2,8,10,2,0,4,4,4,19,15.4,+3,1998,robinda01,https://www.basketball-reference.com/players/r/robinda01/gamelog/1998
20,20,1997-12-09,32-125,SAS,@,HOU,L (-30),1,27:19,6,9,.667,0,0,,2,2,1.000,0,9,9,6,0,0,4,1,14,12.6,-9,1998,robinda01,https://www.basketball-reference.com/players/r/robinda01/gamelog/1998
21,21,1997-12-10,32-126,SAS,,LAC,W (+15),1,30:35,6,12,.500,0,0,,18,20,.900,2,7,9,2,2,2,0,4,30,29.9,+26,1998,robinda01,https://www.basketball-reference.com/players/r/robinda01/gamelog/1998
22,22,1997-12-13,32-129,SAS,,ORL,W (+29),1,24:21,9,13,.692,0,0,,0,0,,2,7,9,3,1,2,0,2,18,19.7,+16,1998,robinda01,https://www.basketball-reference.com/players/r/robinda01/gamelog/1998
23,23,1997-12-16,32-132,SAS,@,DEN,W (+14),1,34:26,8,10,.800,0,0,,6,7,.857,3,11,14,3,0,4,2,1,22,25.7,+35,1998,robinda01,https://www.basketball-reference.com/players/r/robinda01/gamelog/1998
24,24,1997-12-17,32-133,SAS,,VAN,W (+11),1,37:54,13,22,.591,0,0,,7,12,.583,3,8,11,2,2,3,3,2,33,27.0,+3,1998,robinda01,https://www.basketball-reference.com/players/r/robinda01/gamelog/1998
25,25,1997-12-20,32-136,SAS,,HOU,W (+13),1,31:55,4,11,.364,0,0,,3,6,.500,2,6,8,5,1,2,2,3,11,9.6,+19,1998,robinda01,https://www.basketball-reference.com/players/r/robinda01/gamelog/1998
26,26,1997-12-23,32-139,SAS,,IND,W (+12),1,37:47,15,24,.625,0,0,,9,13,.692,3,9,12,0,0,3,1,3,39,31.3,+18,1998,robinda01,https://www.basketball-reference.com/players/r/robinda01/gamelog/1998
27,27,1997-12-26,32-142,SAS,,BOS,W (+15),1,34:06,11,14,.786,0,0,,12,15,.800,3,10,13,3,3,3,4,2,34,34.9,+31,1998,robinda01,https://www.basketball-reference.com/players/r/robinda01/gamelog/1998
28,28,1997-12-28,32-144,SAS,@,POR,L (-3),1,42:02,4,12,.333,0,0,,8,14,.571,6,11,17,5,2,1,5,3,16,14.3,+2,1998,robinda01,https://www.basketball-reference.com/players/r/robinda01/gamelog/1998
29,29,1997-12-30,32-146,SAS,@,VAN,W (+9),1,36:13,3,7,.429,0,0,,1,2,.500,0,10,10,3,1,5,1,2,7,10.7,+2,1998,robinda01,https://www.basketball-reference.com/players/r/robinda01/gamelog/1998
30,30,1998-01-02,32-149,SAS,,POR,W (+16),1,29:44,9,13,.692,0,0,,4,5,.800,4,3,7,3,1,3,4,1,22,20.6,+14,1998,robinda01,https://www.basketball-reference.com/players/r/robinda01/gamelog/1998
31,31,1998-01-03,32-150,SAS,@,MIA,W (+7),1,38:14,11,18,.611,0,0,,5,7,.714,4,8,12,2,0,2,2,3,27,22.8,+11,1998,robinda01,https://www.basketball-reference.com/players/r/robinda01/gamelog/1998
32,32,1998-01-05,32-152,SAS,@,ORL,W (+5),1,35:00,3,9,.333,0,0,,6,7,.857,3,8,11,2,1,4,3,3,12,12.0,+4,1998,robinda01,https://www.basketball-reference.com/players/r/robinda01/gamelog/1998
33,33,1998-01-07,32-154,SAS,,DEN,W (+7),1,33:19,5,7,.714,0,0,,12,14,.857,3,5,8,4,0,3,4,2,22,22.0,+13,1998,robinda01,https://www.basketball-reference.com/players/r/robinda01/gamelog/1998
34,34,1998-01-09,32-156,SAS,@,PHO,L (-21),1,32:00,5,17,.294,0,0,,5,7,.714,5,11,16,2,0,1,0,2,15,12.4,-15,1998,robinda01,https://www.basketball-reference.com/players/r/robinda01/gamelog/1998
35,35,1998-01-10,32-157,SAS,,SAC,W (+42),1,27:51,8,15,.533,0,0,,8,9,.889,2,5,7,2,0,3,4,1,24,18.3,+27,1998,robinda01,https://www.basketball-reference.com/players/r/robinda01/gamelog/1998
36,36,1998-01-13,32-160,SAS,@,BOS,W (+9),1,43:17,13,19,.684,0,0,,10,16,.625,2,9,11,2,2,3,6,3,36,27.9,+4,1998,robinda01,https://www.basketball-reference.com/players/r/robinda01/gamelog/1998
37,37,1998-01-14,32-161,SAS,@,WAS,W (+10),1,44:32,7,24,.292,1,1,1.000,7,8,.875,4,10,14,1,3,1,2,2,22,15.0,+2,1998,robinda01,https://www.basketball-reference.com/players/r/robinda01/gamelog/1998
38,38,1998-01-16,32-163,SAS,@,CHH,W (+5),1,35:56,3,11,.273,0,0,,3,3,1.000,1,8,9,2,1,1,0,4,9,7.1,+1,1998,robinda01,https://www.basketball-reference.com/players/r/robinda01/gamelog/1998
39,39,1998-01-18,32-165,SAS,@,MIL,W (+6),1,43:45,10,17,.588,0,0,,10,12,.833,4,11,15,6,3,2,5,2,30,30.2,-4,1998,robinda01,https://www.basketball-reference.com/players/r/robinda01/gamelog/1998
40,40,1998-01-19,32-166,SAS,@,NJN,L (-11),1,38:19,5,12,.417,0,0,,3,6,.500,1,7,8,3,0,2,3,2,13,7.9,-10,1998,robinda01,https://www.basketball-reference.com/players/r/robinda01/gamelog/1998
41,41,1998-01-21,32-168,SAS,,ATL,W (+14),1,22:04,5,10,.500,0,0,,2,4,.500,1,7,8,1,0,0,0,3,12,8.5,+25,1998,robinda01,https://www.basketball-reference.com/players/r/robinda01/gamelog/1998
42,42,1998-01-23,32-170,SAS,,DAL,W (+6),1,36:22,7,12,.583,0,0,,3,5,.600,4,9,13,1,1,5,0,1,17,20.9,+13,1998,robinda01,https://www.basketball-reference.com/players/r/robinda01/gamelog/1998
43,43,1998-01-24,32-171,SAS,@,HOU,L (-25),1,34:27,7,10,.700,0,0,,2,9,.222,2,4,6,3,2,1,3,2,16,12.6,-20,1998,robinda01,https://www.basketball-reference.com/players/r/robinda01/gamelog/1998
44,44,1998-01-26,32-173,SAS,,HOU,W (+25),1,30:10,13,15,.867,0,0,,8,8,1.000,3,4,7,2,0,6,5,3,34,31.4,+23,1998,robinda01,https://www.basketball-reference.com/players/r/robinda01/gamelog/1998
45,45,1998-01-28,32-175,SAS,,LAC,W (+23),1,26:41,12,15,.800,0,0,,7,9,.778,1,8,9,4,0,3,3,3,31,28.3,+25,1998,robinda01,https://www.basketball-reference.com/players/r/robinda01/gamelog/1998
46,46,1998-01-30,32-177,SAS,@,LAC,W (+10),1,30:23,11,19,.579,0,0,,6,6,1.000,6,7,13,1,1,1,6,4,28,20.2,-6,1998,robinda01,https://www.basketball-reference.com/players/r/robinda01/gamelog/1998
47,47,1998-02-01,32-179,SAS,@,SAC,W (+6),1,40:02,10,25,.400,0,0,,13,16,.813,8,10,18,4,2,3,1,2,33,32.0,+18,1998,robinda01,https://www.basketball-reference.com/players/r/robinda01/gamelog/1998
48,48,1998-02-03,32-181,SAS,@,GSW,W (+9),1,37:16,10,18,.556,0,0,,3,6,.500,0,8,8,3,0,1,2,4,23,14.8,+19,1998,robinda01,https://www.basketball-reference.com/players/r/robinda01/gamelog/1998
49,49,1998-02-11,32-189,SAS,,SEA,L (-1),1,42:51,7,14,.500,0,0,,6,9,.667,5,5,10,2,0,3,1,5,20,17.3,-4,1998,robinda01,https://www.basketball-reference.com/players/r/robinda01/gamelog/1998
50,50,1998-02-14,32-192,SAS,,PHO,L (-13),1,17:03,3,10,.300,0,0,,4,4,1.000,4,2,6,3,1,0,0,0,10,10.7,-4,1998,robinda01,https://www.basketball-reference.com/players/r/robinda01/gamelog/1998
51,,1998-02-17,32-195,SAS,,DET,W (+1),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,1998,robinda01,https://www.basketball-reference.com/players/r/robinda01/gamelog/1998
