Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,session,player,gamelog_url
1,1,1981-10-30,32-034,DEN,,GSW,W (+13),0,3:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,1982,rochejo01,https://www.basketball-reference.com/players/r/rochejo01/gamelog/1982
2,2,1981-10-31,32-035,DEN,@,SAS,L (-25),0,10:00,1,3,.333,0,0,,0,0,,0,0,0,0,0,0,0,1,2,-0.1,1982,rochejo01,https://www.basketball-reference.com/players/r/rochejo01/gamelog/1982
3,3,1981-11-06,32-041,DEN,@,SEA,W (+4),0,14:00,0,1,.000,0,0,,0,0,,0,3,3,2,1,0,0,0,0,2.6,1982,rochejo01,https://www.basketball-reference.com/players/r/rochejo01/gamelog/1982
4,4,1981-11-07,32-042,DEN,@,GSW,L (-45),0,20:00,4,7,.571,1,1,1.000,0,0,,0,1,1,6,1,0,2,1,9,8.8,1982,rochejo01,https://www.basketball-reference.com/players/r/rochejo01/gamelog/1982
5,5,1981-11-10,32-045,DEN,,PHO,L (-3),0,15:00,3,6,.500,2,3,.667,0,0,,0,1,1,5,2,0,1,2,8,9.0,1982,rochejo01,https://www.basketball-reference.com/players/r/rochejo01/gamelog/1982
6,6,1981-11-13,32-048,DEN,@,UTA,L (-7),1,31:00,5,12,.417,0,3,.000,2,2,1.000,0,0,0,6,1,0,4,3,12,5.6,1982,rochejo01,https://www.basketball-reference.com/players/r/rochejo01/gamelog/1982
7,7,1981-11-18,32-053,DEN,,SDC,W (+5),0,6:00,1,2,.500,0,0,,0,0,,0,0,0,2,0,0,0,4,2,0.8,1982,rochejo01,https://www.basketball-reference.com/players/r/rochejo01/gamelog/1982
8,8,1981-11-25,32-060,DEN,,DAL,W (+6),0,21:00,2,7,.286,0,1,.000,9,10,.900,0,1,1,3,1,0,0,2,13,11.1,1982,rochejo01,https://www.basketball-reference.com/players/r/rochejo01/gamelog/1982
9,9,1981-11-27,32-062,DEN,@,KCK,W (+8),0,30:00,4,10,.400,2,2,1.000,2,2,1.000,1,2,3,8,1,0,2,3,12,11.3,1982,rochejo01,https://www.basketball-reference.com/players/r/rochejo01/gamelog/1982
10,10,1981-11-28,32-063,DEN,,UTA,W (+7),0,39:00,5,11,.455,2,2,1.000,6,7,.857,0,3,3,7,1,0,1,0,18,17.7,1982,rochejo01,https://www.basketball-reference.com/players/r/rochejo01/gamelog/1982
