Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,session,player,gamelog_url
1,1,1994-11-04,25-056,MIN,@,DEN,L (-22),0,19:00,1,5,.200,0,0,,0,0,,0,5,5,0,1,1,1,3,2,-0.1,1995,rooksse01,https://www.basketball-reference.com/players/r/rooksse01/gamelog/1995
2,2,1994-11-05,25-057,MIN,,HOU,L (-30),0,12:00,1,6,.167,0,0,,0,0,,2,1,3,1,1,0,1,3,2,-0.6,1995,rooksse01,https://www.basketball-reference.com/players/r/rooksse01/gamelog/1995
3,3,1994-11-08,25-060,MIN,@,DET,L (-14),0,19:00,1,2,.500,0,0,,5,8,.625,3,1,4,1,0,0,2,2,7,5.1,1995,rooksse01,https://www.basketball-reference.com/players/r/rooksse01/gamelog/1995
4,4,1994-11-09,25-061,MIN,,LAL,L (-23),0,22:00,3,5,.600,0,0,,7,8,.875,1,3,4,0,0,0,2,3,13,8.7,1995,rooksse01,https://www.basketball-reference.com/players/r/rooksse01/gamelog/1995
5,5,1994-11-11,25-063,MIN,,CHI,L (-12),0,16:00,4,7,.571,0,0,,4,4,1.000,3,3,6,0,0,1,0,5,12,10.4,1995,rooksse01,https://www.basketball-reference.com/players/r/rooksse01/gamelog/1995
6,6,1994-11-12,25-064,MIN,,BOS,L (-13),0,26:00,7,9,.778,0,0,,6,6,1.000,2,3,5,0,0,2,2,3,20,17.0,1995,rooksse01,https://www.basketball-reference.com/players/r/rooksse01/gamelog/1995
7,7,1994-11-15,25-067,MIN,@,GSW,W (+2),0,30:00,5,11,.455,0,0,,10,12,.833,4,7,11,2,0,0,1,2,20,18.0,1995,rooksse01,https://www.basketball-reference.com/players/r/rooksse01/gamelog/1995
8,8,1994-11-16,25-068,MIN,@,PHO,L (-15),0,27:00,1,5,.200,0,0,,2,2,1.000,2,6,8,2,1,1,4,4,4,1.6,1995,rooksse01,https://www.basketball-reference.com/players/r/rooksse01/gamelog/1995
9,9,1994-11-19,25-071,MIN,,SAS,L (-8),0,31:00,3,6,.500,0,0,,3,6,.500,2,4,6,1,0,1,4,4,9,3.2,1995,rooksse01,https://www.basketball-reference.com/players/r/rooksse01/gamelog/1995
10,10,1994-11-22,25-074,MIN,@,CLE,L (-33),1,25:00,2,4,.500,0,0,,3,3,1.000,2,1,3,1,2,0,1,2,7,7.6,1995,rooksse01,https://www.basketball-reference.com/players/r/rooksse01/gamelog/1995
11,11,1994-11-23,25-075,MIN,,ATL,L (-12),1,15:00,2,3,.667,0,0,,0,0,,0,1,1,0,0,0,2,4,4,-0.6,1995,rooksse01,https://www.basketball-reference.com/players/r/rooksse01/gamelog/1995
12,12,1994-11-25,25-077,MIN,,PHI,L (-38),1,36:00,4,7,.571,0,0,,6,6,1.000,3,8,11,3,1,0,3,3,14,14.1,1995,rooksse01,https://www.basketball-reference.com/players/r/rooksse01/gamelog/1995
13,13,1994-11-28,25-080,MIN,@,SAS,L (-4),1,39:00,7,9,.778,0,0,,4,7,.571,2,2,4,1,0,0,4,5,18,10.0,1995,rooksse01,https://www.basketball-reference.com/players/r/rooksse01/gamelog/1995
14,14,1994-11-29,25-081,MIN,@,DAL,L (-1),1,37:00,1,11,.091,0,0,,2,3,.667,4,8,12,2,1,0,1,1,4,2.5,1995,rooksse01,https://www.basketball-reference.com/players/r/rooksse01/gamelog/1995
15,15,1994-12-01,25-083,MIN,@,UTA,W (+2),1,34:00,3,3,1.000,0,0,,7,7,1.000,2,5,7,3,0,0,3,4,13,12.5,1995,rooksse01,https://www.basketball-reference.com/players/r/rooksse01/gamelog/1995
16,16,1994-12-03,25-085,MIN,@,LAC,W (+8),1,25:00,5,6,.833,0,0,,4,4,1.000,1,4,5,0,0,1,2,2,14,11.6,1995,rooksse01,https://www.basketball-reference.com/players/r/rooksse01/gamelog/1995
17,17,1994-12-06,25-088,MIN,,DEN,L (-7),1,34:00,5,11,.455,0,1,.000,4,6,.667,4,3,7,3,0,1,2,1,14,11.6,1995,rooksse01,https://www.basketball-reference.com/players/r/rooksse01/gamelog/1995
18,18,1994-12-10,25-092,MIN,,PHO,L (-14),1,38:00,3,6,.500,0,0,,4,4,1.000,2,6,8,4,0,0,4,4,10,7.4,1995,rooksse01,https://www.basketball-reference.com/players/r/rooksse01/gamelog/1995
19,19,1994-12-13,25-095,MIN,@,ATL,L (-2),1,32:00,2,7,.286,0,1,.000,0,2,.000,0,3,3,2,0,3,4,1,4,-0.9,1995,rooksse01,https://www.basketball-reference.com/players/r/rooksse01/gamelog/1995
20,20,1994-12-14,25-096,MIN,,UTA,L (-8),1,36:00,4,7,.571,0,0,,6,7,.857,2,5,7,1,0,0,1,3,14,11.7,1995,rooksse01,https://www.basketball-reference.com/players/r/rooksse01/gamelog/1995
