Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,session,player,gamelog_url
1,1,1948-12-08,25-168,PHW,,BLB,L (-5),,,3,12,.250,1,2,.500,,1,1,7,1949,rulloje01,https://www.basketball-reference.com/players/r/rulloje01/gamelog/1949
2,2,1948-12-09,25-169,PHW,@,BLB,L (-1),,,0,1,.000,0,0,,,1,3,0,1949,rulloje01,https://www.basketball-reference.com/players/r/rulloje01/gamelog/1949
3,3,1948-12-14,25-174,PHW,,STB,W (+13),,,2,8,.250,3,3,1.000,,1,1,7,1949,rulloje01,https://www.basketball-reference.com/players/r/rulloje01/gamelog/1949
4,4,1948-12-15,25-175,PHW,@,WSC,L (-11),,,2,6,.333,2,3,.667,,1,3,6,1949,rulloje01,https://www.basketball-reference.com/players/r/rulloje01/gamelog/1949
5,5,1948-12-17,25-177,PHW,,NYK,W (+9),,,6,10,.600,1,2,.500,,1,2,13,1949,rulloje01,https://www.basketball-reference.com/players/r/rulloje01/gamelog/1949
6,6,1948-12-18,25-178,PHW,@,PRO,W (+4),,,0,,,0,0,,,,1,0,1949,rulloje01,https://www.basketball-reference.com/players/r/rulloje01/gamelog/1949
7,7,1948-12-21,25-181,PHW,,MNL,W (+8),,,4,9,.444,0,0,,,2,2,8,1949,rulloje01,https://www.basketball-reference.com/players/r/rulloje01/gamelog/1949
8,8,1948-12-25,25-185,PHW,,BOS,W (+3),,,5,10,.500,5,6,.833,,2,3,15,1949,rulloje01,https://www.basketball-reference.com/players/r/rulloje01/gamelog/1949
9,9,1948-12-30,25-190,PHW,,INJ,W (+3),,,3,7,.429,1,2,.500,,2,4,7,1949,rulloje01,https://www.basketball-reference.com/players/r/rulloje01/gamelog/1949
10,10,1949-01-01,25-192,PHW,@,NYK,L (-8),,,1,8,.125,0,0,,,1,3,2,1949,rulloje01,https://www.basketball-reference.com/players/r/rulloje01/gamelog/1949
11,11,1949-01-04,25-195,PHW,,WSC,L (-6),,,3,12,.250,1,1,1.000,,2,3,7,1949,rulloje01,https://www.basketball-reference.com/players/r/rulloje01/gamelog/1949
12,12,1949-01-06,25-197,PHW,@,BLB,L (-5),,,3,5,.600,2,2,1.000,,1,1,8,1949,rulloje01,https://www.basketball-reference.com/players/r/rulloje01/gamelog/1949
13,13,1949-01-08,25-199,PHW,,FTW,L (-6),,,0,2,.000,0,0,,,1,2,0,1949,rulloje01,https://www.basketball-reference.com/players/r/rulloje01/gamelog/1949
14,14,1949-01-11,25-202,PHW,@,ROC,L (-12),,,1,,,1,2,.500,,,3,3,1949,rulloje01,https://www.basketball-reference.com/players/r/rulloje01/gamelog/1949
15,15,1949-01-14,25-205,PHW,@,BOS,W (+25),,,0,,,1,1,1.000,,,3,1,1949,rulloje01,https://www.basketball-reference.com/players/r/rulloje01/gamelog/1949
16,16,1949-01-15,25-206,PHW,,BLB,W (+7),,,5,7,.714,4,5,.800,,1,5,14,1949,rulloje01,https://www.basketball-reference.com/players/r/rulloje01/gamelog/1949
17,17,1949-01-18,25-209,PHW,,PRO,W (+12),,,0,4,.000,0,0,,,0,1,0,1949,rulloje01,https://www.basketball-reference.com/players/r/rulloje01/gamelog/1949
18,18,1949-01-20,25-211,PHW,,CHS,W (+20),,,2,9,.222,3,6,.500,,6,2,7,1949,rulloje01,https://www.basketball-reference.com/players/r/rulloje01/gamelog/1949
19,19,1949-01-23,25-214,PHW,@,MNL,L (-18),,,2,,,2,3,.667,,,1,6,1949,rulloje01,https://www.basketball-reference.com/players/r/rulloje01/gamelog/1949
20,20,1949-01-25,25-216,PHW,@,CHS,W (+9),,,1,,,1,2,.500,,,4,3,1949,rulloje01,https://www.basketball-reference.com/players/r/rulloje01/gamelog/1949
21,21,1949-01-26,25-217,PHW,@,FTW,L (-8),,,1,,,0,0,,,,2,2,1949,rulloje01,https://www.basketball-reference.com/players/r/rulloje01/gamelog/1949
22,22,1949-01-27,25-218,PHW,,NYK,W (+6),,,0,4,.000,1,3,.333,,0,5,1,1949,rulloje01,https://www.basketball-reference.com/players/r/rulloje01/gamelog/1949
23,23,1949-01-29,25-220,PHW,@,NYK,W (+5),,,0,2,.000,0,0,,,0,2,0,1949,rulloje01,https://www.basketball-reference.com/players/r/rulloje01/gamelog/1949
24,24,1949-02-01,25-223,PHW,,PRO,W (+7),,,2,8,.250,0,0,,,3,3,4,1949,rulloje01,https://www.basketball-reference.com/players/r/rulloje01/gamelog/1949
25,25,1949-02-03,25-225,PHW,,MNL,L (-2),,,1,6,.167,0,0,,,1,1,2,1949,rulloje01,https://www.basketball-reference.com/players/r/rulloje01/gamelog/1949
26,26,1949-02-06,25-228,PHW,@,STB,W (+3),,,0,2,.000,1,1,1.000,,1,2,1,1949,rulloje01,https://www.basketball-reference.com/players/r/rulloje01/gamelog/1949
27,27,1949-02-07,25-229,PHW,@,INJ,L (-17),,,1,,,0,0,,,,1,2,1949,rulloje01,https://www.basketball-reference.com/players/r/rulloje01/gamelog/1949
28,28,1949-02-17,25-239,PHW,,NYK,W (+4),,,0,0,,0,0,,,0,0,0,1949,rulloje01,https://www.basketball-reference.com/players/r/rulloje01/gamelog/1949
