Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,,2013-10-30,28-115,UTA,,OKC,L (-3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2014,rushbr01,https://www.basketball-reference.com/players/r/rushbr01/gamelog/2014
2,,2013-11-01,28-117,UTA,@,PHO,L (-3),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,2014,rushbr01,https://www.basketball-reference.com/players/r/rushbr01/gamelog/2014
3,,2013-11-02,28-118,UTA,,HOU,L (-11),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2014,rushbr01,https://www.basketball-reference.com/players/r/rushbr01/gamelog/2014
4,1,2013-11-05,28-121,UTA,@,BRK,L (-16),0,9:46,0,0,,0,0,,0,0,,0,0,0,1,0,0,2,2,0,-2.1,-1,2014,rushbr01,https://www.basketball-reference.com/players/r/rushbr01/gamelog/2014
5,,2013-11-06,28-122,UTA,@,BOS,L (-10),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2014,rushbr01,https://www.basketball-reference.com/players/r/rushbr01/gamelog/2014
6,,2013-11-08,28-124,UTA,@,CHI,L (-24),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2014,rushbr01,https://www.basketball-reference.com/players/r/rushbr01/gamelog/2014
7,,2013-11-09,28-125,UTA,@,TOR,L (-24),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2014,rushbr01,https://www.basketball-reference.com/players/r/rushbr01/gamelog/2014
8,,2013-11-11,28-127,UTA,,DEN,L (-19),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2014,rushbr01,https://www.basketball-reference.com/players/r/rushbr01/gamelog/2014
9,,2013-11-13,28-129,UTA,,NOP,W (+6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2014,rushbr01,https://www.basketball-reference.com/players/r/rushbr01/gamelog/2014
10,,2013-11-15,28-131,UTA,,SAS,L (-9),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2014,rushbr01,https://www.basketball-reference.com/players/r/rushbr01/gamelog/2014
11,,2013-11-16,28-132,UTA,@,GSW,L (-14),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2014,rushbr01,https://www.basketball-reference.com/players/r/rushbr01/gamelog/2014
12,,2013-11-18,28-134,UTA,,GSW,L (-11),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2014,rushbr01,https://www.basketball-reference.com/players/r/rushbr01/gamelog/2014
13,,2013-11-20,28-136,UTA,@,NOP,L (-7),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2014,rushbr01,https://www.basketball-reference.com/players/r/rushbr01/gamelog/2014
14,,2013-11-22,28-138,UTA,@,DAL,L (-10),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2014,rushbr01,https://www.basketball-reference.com/players/r/rushbr01/gamelog/2014
15,,2013-11-24,28-140,UTA,@,OKC,L (-22),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2014,rushbr01,https://www.basketball-reference.com/players/r/rushbr01/gamelog/2014
16,,2013-11-25,28-141,UTA,,CHI,W (+6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2014,rushbr01,https://www.basketball-reference.com/players/r/rushbr01/gamelog/2014
17,2,2013-11-29,28-145,UTA,,PHO,L (-11),0,12:31,0,2,.000,0,1,.000,0,0,,0,1,1,2,0,0,1,0,0,-0.7,-4,2014,rushbr01,https://www.basketball-reference.com/players/r/rushbr01/gamelog/2014
18,,2013-11-30,28-146,UTA,@,PHO,W (+8),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2014,rushbr01,https://www.basketball-reference.com/players/r/rushbr01/gamelog/2014
19,,2013-12-02,28-148,UTA,,HOU,W (+6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2014,rushbr01,https://www.basketball-reference.com/players/r/rushbr01/gamelog/2014
20,3,2013-12-04,28-150,UTA,,IND,L (-9),0,10:20,1,1,1.000,0,0,,0,0,,1,0,1,0,0,0,1,2,2,0.6,-8,2014,rushbr01,https://www.basketball-reference.com/players/r/rushbr01/gamelog/2014
21,4,2013-12-06,28-152,UTA,@,POR,L (-32),0,23:01,2,6,.333,0,1,.000,1,1,1.000,0,2,2,2,1,0,2,1,5,2.2,-3,2014,rushbr01,https://www.basketball-reference.com/players/r/rushbr01/gamelog/2014
22,,2013-12-07,28-153,UTA,,SAC,L (-10),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2014,rushbr01,https://www.basketball-reference.com/players/r/rushbr01/gamelog/2014
23,,2013-12-09,28-155,UTA,,POR,L (-11),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2014,rushbr01,https://www.basketball-reference.com/players/r/rushbr01/gamelog/2014
