Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,session,player,gamelog_url
1,1,1993-11-05,29-173,MIA,,ORL,L (-20),1,34:00,2,2,1.000,0,0,,5,6,.833,1,4,5,4,1,1,3,2,9,10.6,1994,sallejo01,https://www.basketball-reference.com/players/s/sallejo01/gamelog/1994
2,2,1993-11-06,29-174,MIA,@,CHI,W (+24),1,38:00,4,5,.800,0,0,,1,3,.333,2,6,8,2,3,1,1,3,9,12.4,1994,sallejo01,https://www.basketball-reference.com/players/s/sallejo01/gamelog/1994
3,3,1993-11-11,29-179,MIA,,MIL,W (+13),1,18:00,2,4,.500,0,0,,0,0,,3,2,5,0,1,0,4,4,4,0.1,1994,sallejo01,https://www.basketball-reference.com/players/s/sallejo01/gamelog/1994
4,4,1993-11-12,29-180,MIA,@,ORL,W (+15),1,35:00,5,8,.625,0,0,,3,4,.750,3,4,7,3,0,2,1,4,13,13.2,1994,sallejo01,https://www.basketball-reference.com/players/s/sallejo01/gamelog/1994
5,5,1993-11-17,29-185,MIA,,UTA,L (-4),1,29:00,2,5,.400,0,0,,1,2,.500,1,2,3,3,1,1,0,6,5,4.6,1994,sallejo01,https://www.basketball-reference.com/players/s/sallejo01/gamelog/1994
6,6,1993-11-19,29-187,MIA,,ATL,L (-3),1,38:00,7,10,.700,0,0,,0,0,,3,2,5,2,1,3,2,4,14,13.4,1994,sallejo01,https://www.basketball-reference.com/players/s/sallejo01/gamelog/1994
7,7,1993-11-20,29-188,MIA,@,WSB,L (-2),1,33:00,2,5,.400,0,0,,4,4,1.000,1,3,4,1,1,2,1,5,8,7.0,1994,sallejo01,https://www.basketball-reference.com/players/s/sallejo01/gamelog/1994
8,8,1993-11-22,29-190,MIA,@,NYK,L (-32),1,19:00,1,3,.333,0,0,,2,4,.500,0,0,0,0,0,1,3,4,4,-2.4,1994,sallejo01,https://www.basketball-reference.com/players/s/sallejo01/gamelog/1994
9,9,1993-11-24,29-192,MIA,,GSW,L (-6),1,22:00,0,5,.000,0,0,,1,2,.500,2,3,5,2,0,1,2,4,1,-2.1,1994,sallejo01,https://www.basketball-reference.com/players/s/sallejo01/gamelog/1994
10,10,1993-11-26,29-194,MIA,@,BOS,W (+8),1,37:00,4,9,.444,0,0,,2,2,1.000,2,6,8,2,0,0,2,6,10,5.5,1994,sallejo01,https://www.basketball-reference.com/players/s/sallejo01/gamelog/1994
11,11,1993-11-27,29-195,MIA,,CHH,W (+14),1,31:00,3,6,.500,0,0,,4,6,.667,6,7,13,4,0,1,1,5,10,13.0,1994,sallejo01,https://www.basketball-reference.com/players/s/sallejo01/gamelog/1994
12,12,1993-11-30,29-198,MIA,,POR,L (-14),1,28:00,2,4,.500,0,0,,0,0,,2,9,11,2,3,1,4,2,4,6.4,1994,sallejo01,https://www.basketball-reference.com/players/s/sallejo01/gamelog/1994
13,13,1993-12-03,29-201,MIA,,CHI,L (-5),1,32:00,4,5,.800,0,0,,1,2,.500,1,4,5,2,1,1,3,4,9,7.1,1994,sallejo01,https://www.basketball-reference.com/players/s/sallejo01/gamelog/1994
14,14,1993-12-07,29-205,MIA,@,DAL,W (+5),1,39:00,3,5,.600,0,0,,2,2,1.000,5,5,10,1,1,3,2,2,8,11.7,1994,sallejo01,https://www.basketball-reference.com/players/s/sallejo01/gamelog/1994
15,15,1993-12-09,29-207,MIA,@,HOU,L (-6),1,25:00,1,2,.500,0,0,,2,2,1.000,2,2,4,6,1,0,0,5,4,8.2,1994,sallejo01,https://www.basketball-reference.com/players/s/sallejo01/gamelog/1994
16,16,1993-12-11,29-209,MIA,,BOS,W (+31),1,32:00,2,3,.667,0,0,,3,5,.600,2,11,13,6,4,2,1,4,7,16.6,1994,sallejo01,https://www.basketball-reference.com/players/s/sallejo01/gamelog/1994
17,17,1993-12-13,29-211,MIA,@,NJN,L (-5),1,47:00,5,10,.500,0,0,,2,4,.500,8,9,17,5,2,2,2,4,12,17.8,1994,sallejo01,https://www.basketball-reference.com/players/s/sallejo01/gamelog/1994
18,18,1993-12-14,29-212,MIA,,HOU,L (-9),1,21:00,1,1,1.000,0,0,,2,2,1.000,2,3,5,1,1,1,1,0,4,7.4,1994,sallejo01,https://www.basketball-reference.com/players/s/sallejo01/gamelog/1994
19,19,1993-12-16,29-214,MIA,,CLE,W (+1),1,22:00,1,2,.500,0,0,,2,2,1.000,0,2,2,1,1,0,2,5,4,1.3,1994,sallejo01,https://www.basketball-reference.com/players/s/sallejo01/gamelog/1994
20,20,1993-12-18,29-216,MIA,,PHI,W (+23),1,24:00,2,4,.500,0,0,,1,2,.500,1,4,5,2,0,1,1,3,5,4.4,1994,sallejo01,https://www.basketball-reference.com/players/s/sallejo01/gamelog/1994
21,21,1993-12-22,29-220,MIA,@,PHI,W (+8),1,26:00,1,4,.250,0,0,,1,2,.500,2,3,5,2,0,1,4,3,3,-0.6,1994,sallejo01,https://www.basketball-reference.com/players/s/sallejo01/gamelog/1994
22,22,1993-12-23,29-221,MIA,,LAL,W (+17),1,27:00,2,4,.500,0,0,,4,4,1.000,2,8,10,1,0,1,1,3,8,9.0,1994,sallejo01,https://www.basketball-reference.com/players/s/sallejo01/gamelog/1994
23,23,1993-12-26,29-224,MIA,,SAC,W (+14),1,27:00,6,9,.667,0,0,,2,2,1.000,3,4,7,1,1,3,1,2,14,15.4,1994,sallejo01,https://www.basketball-reference.com/players/s/sallejo01/gamelog/1994
24,24,1993-12-28,29-226,MIA,,SAS,L (-8),1,41:00,2,9,.222,0,0,,2,2,1.000,2,1,3,0,0,1,2,5,6,-1.1,1994,sallejo01,https://www.basketball-reference.com/players/s/sallejo01/gamelog/1994
25,25,1993-12-30,29-228,MIA,,ORL,L (-8),1,40:00,8,12,.667,0,0,,4,6,.667,7,9,16,0,2,0,1,5,20,20.6,1994,sallejo01,https://www.basketball-reference.com/players/s/sallejo01/gamelog/1994
26,26,1994-01-02,29-231,MIA,@,DET,W (+8),1,25:00,1,3,.333,0,0,,4,8,.500,1,3,4,1,0,0,2,3,6,1.8,1994,sallejo01,https://www.basketball-reference.com/players/s/sallejo01/gamelog/1994
27,27,1994-01-04,29-233,MIA,,NJN,W (+17),1,26:00,0,6,.000,0,0,,5,8,.625,2,7,9,0,0,1,0,2,5,3.0,1994,sallejo01,https://www.basketball-reference.com/players/s/sallejo01/gamelog/1994
28,28,1994-01-07,29-236,MIA,@,UTA,W (+6),1,17:00,2,5,.400,0,0,,1,1,1.000,3,2,5,1,0,2,1,2,5,5.3,1994,sallejo01,https://www.basketball-reference.com/players/s/sallejo01/gamelog/1994
29,29,1994-01-08,29-237,MIA,@,LAC,W (+19),1,22:00,0,7,.000,0,0,,2,4,.500,6,7,13,0,1,0,0,4,2,2.0,1994,sallejo01,https://www.basketball-reference.com/players/s/sallejo01/gamelog/1994
30,30,1994-01-11,29-240,MIA,@,SAC,L (-8),1,17:00,2,6,.333,0,0,,1,1,1.000,1,2,3,0,1,2,0,4,5,3.7,1994,sallejo01,https://www.basketball-reference.com/players/s/sallejo01/gamelog/1994
31,31,1994-01-12,29-241,MIA,@,GSW,L (-8),1,24:00,2,8,.250,0,0,,1,2,.500,3,1,4,3,1,0,0,0,5,5.3,1994,sallejo01,https://www.basketball-reference.com/players/s/sallejo01/gamelog/1994
32,32,1994-01-14,29-243,MIA,@,POR,L (-5),0,19:00,1,2,.500,0,0,,0,0,,0,3,3,1,0,0,2,5,2,-1.4,1994,sallejo01,https://www.basketball-reference.com/players/s/sallejo01/gamelog/1994
33,33,1994-01-15,29-244,MIA,@,SEA,L (-19),0,19:00,2,6,.333,0,0,,2,5,.400,0,7,7,2,0,0,2,3,6,1.7,1994,sallejo01,https://www.basketball-reference.com/players/s/sallejo01/gamelog/1994
34,34,1994-01-18,29-247,MIA,,LAC,L (-2),0,18:00,2,4,.500,0,0,,0,0,,0,0,0,2,0,0,0,3,4,2.2,1994,sallejo01,https://www.basketball-reference.com/players/s/sallejo01/gamelog/1994
35,35,1994-01-19,29-248,MIA,@,IND,L (-17),0,21:00,3,5,.600,0,0,,2,2,1.000,0,3,3,2,0,0,2,4,8,4.4,1994,sallejo01,https://www.basketball-reference.com/players/s/sallejo01/gamelog/1994
36,36,1994-01-21,29-250,MIA,,DET,L (-20),0,22:00,4,5,.800,0,0,,6,8,.750,1,6,7,1,1,2,1,3,14,14.7,1994,sallejo01,https://www.basketball-reference.com/players/s/sallejo01/gamelog/1994
37,37,1994-01-23,29-252,MIA,,WSB,W (+33),0,22:00,3,8,.375,0,0,,3,3,1.000,1,3,4,1,0,3,2,3,9,5.8,1994,sallejo01,https://www.basketball-reference.com/players/s/sallejo01/gamelog/1994
38,38,1994-01-25,29-254,MIA,,CHH,W (+21),0,20:00,2,3,.667,0,0,,7,7,1.000,1,1,2,1,0,5,0,1,11,14.5,1994,sallejo01,https://www.basketball-reference.com/players/s/sallejo01/gamelog/1994
39,39,1994-01-26,29-255,MIA,@,BOS,L (-5),0,20:00,2,4,.500,0,0,,2,2,1.000,0,4,4,2,2,1,0,4,6,7.7,1994,sallejo01,https://www.basketball-reference.com/players/s/sallejo01/gamelog/1994
40,40,1994-01-28,29-257,MIA,@,ORL,W (+9),0,13:00,1,1,1.000,0,0,,0,0,,0,3,3,1,0,1,3,3,2,-0.2,1994,sallejo01,https://www.basketball-reference.com/players/s/sallejo01/gamelog/1994
