Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,1999-11-02,35-170,LAL,@,UTA,W (+7),0,14:22,3,5,.600,0,0,,0,0,,1,3,4,0,1,1,2,4,6,3.4,-10,2000,sallejo01,https://www.basketball-reference.com/players/s/sallejo01/gamelog/2000
2,2,1999-11-03,35-171,LAL,,VAN,W (+15),0,10:34,1,3,.333,0,0,,0,0,,3,2,5,0,1,0,0,1,2,3.6,-4,2000,sallejo01,https://www.basketball-reference.com/players/s/sallejo01/gamelog/2000
3,3,1999-11-06,35-174,LAL,@,POR,L (-15),0,10:02,1,3,.333,0,0,,0,0,,0,2,2,1,0,0,2,3,2,-1.6,-7,2000,sallejo01,https://www.basketball-reference.com/players/s/sallejo01/gamelog/2000
4,4,1999-11-07,35-175,LAL,,DAL,W (+8),0,3:20,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,-3,2000,sallejo01,https://www.basketball-reference.com/players/s/sallejo01/gamelog/2000
5,5,1999-11-09,35-177,LAL,@,DAL,W (+22),0,3:40,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+3,2000,sallejo01,https://www.basketball-reference.com/players/s/sallejo01/gamelog/2000
6,6,1999-11-10,35-178,LAL,@,HOU,W (+1),0,15:14,0,3,.000,0,0,,1,2,.500,1,1,2,0,1,0,1,5,1,-2.5,-10,2000,sallejo01,https://www.basketball-reference.com/players/s/sallejo01/gamelog/2000
7,7,1999-11-12,35-180,LAL,,HOU,L (-16),1,19:30,2,5,.400,0,0,,0,0,,1,4,5,0,1,1,0,3,4,3.7,0,2000,sallejo01,https://www.basketball-reference.com/players/s/sallejo01/gamelog/2000
8,8,1999-11-14,35-182,LAL,,ATL,W (+5),0,6:28,1,3,.333,0,0,,0,0,,0,1,1,1,0,1,0,0,2,2.0,+6,2000,sallejo01,https://www.basketball-reference.com/players/s/sallejo01/gamelog/2000
9,,1999-11-15,35-183,LAL,@,PHO,W (+9),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2000,sallejo01,https://www.basketball-reference.com/players/s/sallejo01/gamelog/2000
10,9,1999-11-18,35-186,LAL,@,DEN,L (-11),0,0:41,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.0,-4,2000,sallejo01,https://www.basketball-reference.com/players/s/sallejo01/gamelog/2000
11,,1999-11-19,35-187,LAL,,CHI,W (+8),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2000,sallejo01,https://www.basketball-reference.com/players/s/sallejo01/gamelog/2000
12,10,1999-11-21,35-189,LAL,,TOR,L (-9),0,2:33,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,2,0,-0.5,+5,2000,sallejo01,https://www.basketball-reference.com/players/s/sallejo01/gamelog/2000
13,11,1999-11-24,35-192,LAL,,UTA,W (+8),0,2:44,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-0.4,-3,2000,sallejo01,https://www.basketball-reference.com/players/s/sallejo01/gamelog/2000
14,12,1999-11-26,35-194,LAL,,NJN,W (+23),0,7:15,0,1,.000,0,0,,0,0,,0,1,1,2,0,0,0,1,0,0.6,+4,2000,sallejo01,https://www.basketball-reference.com/players/s/sallejo01/gamelog/2000
15,,1999-11-30,35-198,LAL,@,SEA,W (+24),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2000,sallejo01,https://www.basketball-reference.com/players/s/sallejo01/gamelog/2000
16,13,1999-12-01,35-199,LAL,,GSW,W (+18),0,7:35,1,3,.333,0,0,,0,0,,0,1,1,1,0,0,0,0,2,1.3,0,2000,sallejo01,https://www.basketball-reference.com/players/s/sallejo01/gamelog/2000
17,,1999-12-03,35-201,LAL,,POR,W (+13),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2000,sallejo01,https://www.basketball-reference.com/players/s/sallejo01/gamelog/2000
18,14,1999-12-05,35-203,LAL,,ORL,W (+17),0,6:49,1,1,1.000,0,0,,1,2,.500,0,0,0,1,0,1,0,2,3,2.9,-7,2000,sallejo01,https://www.basketball-reference.com/players/s/sallejo01/gamelog/2000
19,15,1999-12-07,35-205,LAL,,WAS,W (+11),0,1:08,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-1,2000,sallejo01,https://www.basketball-reference.com/players/s/sallejo01/gamelog/2000
20,16,1999-12-08,35-206,LAL,@,SAC,L (-12),0,7:04,1,2,.500,0,0,,0,0,,1,0,1,0,0,0,0,0,2,1.7,-8,2000,sallejo01,https://www.basketball-reference.com/players/s/sallejo01/gamelog/2000
21,17,1999-12-11,35-209,LAL,@,VAN,W (+12),0,3:29,0,1,.000,0,0,,0,0,,1,0,1,1,0,1,0,0,0,1.4,+1,2000,sallejo01,https://www.basketball-reference.com/players/s/sallejo01/gamelog/2000
22,,1999-12-12,35-210,LAL,,DET,W (+8),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2000,sallejo01,https://www.basketball-reference.com/players/s/sallejo01/gamelog/2000
23,18,1999-12-14,35-212,LAL,,LAC,W (+27),0,16:35,2,6,.333,0,0,,0,0,,1,3,4,1,0,1,2,6,4,-0.8,-8,2000,sallejo01,https://www.basketball-reference.com/players/s/sallejo01/gamelog/2000
24,19,1999-12-16,35-214,LAL,@,ATL,W (+7),0,19:26,2,3,.667,0,0,,3,4,.750,0,2,2,0,0,1,1,4,7,4.0,+7,2000,sallejo01,https://www.basketball-reference.com/players/s/sallejo01/gamelog/2000
25,20,1999-12-17,35-215,LAL,@,MIN,W (+9),0,0:57,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+4,2000,sallejo01,https://www.basketball-reference.com/players/s/sallejo01/gamelog/2000
26,21,1999-12-19,35-217,LAL,@,TOR,W (+6),0,5:10,0,2,.000,0,0,,0,0,,1,1,2,0,0,0,0,1,0,-0.8,+3,2000,sallejo01,https://www.basketball-reference.com/players/s/sallejo01/gamelog/2000
27,22,1999-12-20,35-218,LAL,@,BOS,W (+9),0,1:24,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2,2000,sallejo01,https://www.basketball-reference.com/players/s/sallejo01/gamelog/2000
28,23,1999-12-25,35-223,LAL,,SAS,W (+6),0,10:14,1,1,1.000,0,0,,0,0,,2,1,3,2,0,0,1,4,2,2.2,-3,2000,sallejo01,https://www.basketball-reference.com/players/s/sallejo01/gamelog/2000
29,,1999-12-27,35-225,LAL,,DAL,W (+2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2000,sallejo01,https://www.basketball-reference.com/players/s/sallejo01/gamelog/2000
30,,1999-12-29,35-227,LAL,,PHO,W (+16),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2000,sallejo01,https://www.basketball-reference.com/players/s/sallejo01/gamelog/2000
31,24,2000-01-04,35-233,LAL,@,LAC,W (+24),0,5:21,0,1,.000,0,0,,0,0,,1,1,2,0,0,0,0,0,0,0.3,-4,2000,sallejo01,https://www.basketball-reference.com/players/s/sallejo01/gamelog/2000
32,25,2000-01-05,35-234,LAL,,LAC,W (+17),0,5:16,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,1,0,0.3,+1,2000,sallejo01,https://www.basketball-reference.com/players/s/sallejo01/gamelog/2000
33,,2000-01-07,35-236,LAL,,CHH,W (+4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2000,sallejo01,https://www.basketball-reference.com/players/s/sallejo01/gamelog/2000
34,26,2000-01-08,35-237,LAL,@,SEA,W (+10),0,1:31,0,0,,0,0,,1,2,.500,0,0,0,0,0,1,0,0,1,1.3,-2,2000,sallejo01,https://www.basketball-reference.com/players/s/sallejo01/gamelog/2000
35,27,2000-01-10,35-239,LAL,,DEN,W (+35),0,9:43,1,3,.333,0,0,,5,6,.833,2,1,3,1,1,1,0,1,7,8.6,+3,2000,sallejo01,https://www.basketball-reference.com/players/s/sallejo01/gamelog/2000
36,,2000-01-12,35-241,LAL,@,MIL,W (+9),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2000,sallejo01,https://www.basketball-reference.com/players/s/sallejo01/gamelog/2000
37,,2000-01-14,35-243,LAL,@,IND,L (-9),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2000,sallejo01,https://www.basketball-reference.com/players/s/sallejo01/gamelog/2000
38,28,2000-01-15,35-244,LAL,@,MIN,W (+13),0,3:56,0,1,.000,0,0,,0,0,,0,3,3,2,0,0,0,3,0,0.4,+3,2000,sallejo01,https://www.basketball-reference.com/players/s/sallejo01/gamelog/2000
39,,2000-01-17,35-246,LAL,,SEA,L (-1),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2000,sallejo01,https://www.basketball-reference.com/players/s/sallejo01/gamelog/2000
