Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,session,player,gamelog_url
1,1,1986-11-16,26-132,HOU,,CLE,W (+28),0,27:00,4,5,.800,0,0,,3,6,.500,1,3,4,6,2,3,2,5,11,13.8,1987,sampsra01,https://www.basketball-reference.com/players/s/sampsra01/gamelog/1987
2,2,1986-11-18,26-134,HOU,,POR,L (-4),0,13:00,4,7,.571,0,0,,0,0,,1,3,4,5,0,1,2,2,8,7.7,1987,sampsra01,https://www.basketball-reference.com/players/s/sampsra01/gamelog/1987
3,3,1986-11-29,26-145,HOU,,NJN,L (-5),1,37:00,8,17,.471,0,0,,7,10,.700,2,8,10,4,1,3,4,4,23,17.2,1987,sampsra01,https://www.basketball-reference.com/players/s/sampsra01/gamelog/1987
4,4,1986-12-02,26-148,HOU,@,GSW,L (-5),1,48:00,10,21,.476,0,0,,4,6,.667,5,5,10,2,3,2,3,5,24,18.3,1987,sampsra01,https://www.basketball-reference.com/players/s/sampsra01/gamelog/1987
5,5,1986-12-04,26-150,HOU,,ATL,L (-16),1,36:00,5,16,.313,0,0,,6,8,.750,3,5,8,1,2,0,4,5,16,6.3,1987,sampsra01,https://www.basketball-reference.com/players/s/sampsra01/gamelog/1987
6,6,1986-12-06,26-152,HOU,,SEA,L (-56),1,35:00,4,14,.286,0,0,,2,4,.500,3,3,6,1,1,2,1,4,10,4.5,1987,sampsra01,https://www.basketball-reference.com/players/s/sampsra01/gamelog/1987
7,7,1986-12-10,26-156,HOU,@,PHO,W (+8),1,45:00,13,23,.565,0,0,,3,4,.750,3,9,12,2,0,0,5,5,29,16.9,1987,sampsra01,https://www.basketball-reference.com/players/s/sampsra01/gamelog/1987
8,8,1986-12-11,26-157,HOU,,GSW,L (-7),1,43:00,6,10,.600,0,0,,1,4,.250,4,7,11,7,1,7,4,6,13,16.5,1987,sampsra01,https://www.basketball-reference.com/players/s/sampsra01/gamelog/1987
9,9,1986-12-13,26-159,HOU,,SAC,W (+13),1,41:00,8,16,.500,0,0,,4,7,.571,4,10,14,6,2,5,6,5,20,18.3,1987,sampsra01,https://www.basketball-reference.com/players/s/sampsra01/gamelog/1987
10,10,1986-12-16,26-162,HOU,,PHO,L (-4),1,38:00,10,20,.500,0,0,,2,2,1.000,3,10,13,7,1,1,5,4,22,17.1,1987,sampsra01,https://www.basketball-reference.com/players/s/sampsra01/gamelog/1987
11,11,1986-12-18,26-164,HOU,@,SEA,L (-14),1,44:00,7,15,.467,0,0,,4,8,.500,1,3,4,2,0,1,3,4,18,7.8,1987,sampsra01,https://www.basketball-reference.com/players/s/sampsra01/gamelog/1987
12,12,1986-12-19,26-165,HOU,@,POR,L (-3),1,41:00,13,19,.684,0,0,,4,6,.667,1,5,6,5,0,3,3,5,30,23.9,1987,sampsra01,https://www.basketball-reference.com/players/s/sampsra01/gamelog/1987
13,13,1986-12-21,26-167,HOU,,LAL,L (-7),1,29:00,6,12,.500,0,0,,1,2,.500,0,6,6,0,0,0,2,4,13,4.8,1987,sampsra01,https://www.basketball-reference.com/players/s/sampsra01/gamelog/1987
