Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,session,player,gamelog_url
1,1,1992-03-04,26-050,ATL,@,PHI,L (-5),0,13:00,2,5,0.4,0,0,,0,0,,0,1,1,1,0,0,0,1,4,1.9,1992,sandeje01,https://www.basketball-reference.com/players/s/sandeje01/gamelog/1992
2,2,1992-03-06,26-052,ATL,,IND,L (-2),0,4:00,0,1,0.0,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-0.4,1992,sandeje01,https://www.basketball-reference.com/players/s/sandeje01/gamelog/1992
3,3,1992-03-11,26-057,ATL,,LAL,L (-11),0,9:00,3,4,0.75,0,0,,0,0,,0,1,1,0,0,0,1,3,6,2.5,1992,sandeje01,https://www.basketball-reference.com/players/s/sandeje01/gamelog/1992
4,4,1992-03-22,26-068,ATL,@,CLE,L (-43),0,12:00,2,5,0.4,0,0,,0,0,,0,3,3,1,1,1,0,1,4,4.2,1992,sandeje01,https://www.basketball-reference.com/players/s/sandeje01/gamelog/1992
5,5,1992-03-29,26-075,ATL,@,BOS,L (-24),0,12:00,2,2,1.0,0,0,,3,4,0.75,0,3,3,0,1,1,0,0,7,8.6,1992,sandeje01,https://www.basketball-reference.com/players/s/sandeje01/gamelog/1992
6,6,1992-04-01,26-078,ATL,@,IND,L (-20),0,7:00,2,3,0.667,0,0,,0,0,,0,0,0,1,0,0,0,1,4,3.0,1992,sandeje01,https://www.basketball-reference.com/players/s/sandeje01/gamelog/1992
7,7,1992-04-03,26-080,ATL,@,NYK,L (-21),0,13:00,4,6,0.667,0,0,,0,0,,1,1,2,2,0,0,0,2,8,7.0,1992,sandeje01,https://www.basketball-reference.com/players/s/sandeje01/gamelog/1992
8,8,1992-04-11,26-088,ATL,,NJN,W (+20),0,2:00,0,1,0.0,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.0,1992,sandeje01,https://www.basketball-reference.com/players/s/sandeje01/gamelog/1992
9,9,1992-04-13,26-090,ATL,@,CHI,L (-7),0,9:00,2,4,0.5,0,0,,1,1,1.0,2,0,2,0,1,0,1,2,5,3.6,1992,sandeje01,https://www.basketball-reference.com/players/s/sandeje01/gamelog/1992
10,10,1992-04-15,26-092,ATL,,NYK,W (+1),0,8:00,0,1,0.0,0,0,,0,0,,1,3,4,0,0,1,1,2,0,-0.2,1992,sandeje01,https://www.basketball-reference.com/players/s/sandeje01/gamelog/1992
11,11,1992-04-17,26-094,ATL,,CHI,L (-26),0,20:00,3,11,0.273,0,0,,3,4,0.75,5,2,7,1,2,0,1,2,9,7.1,1992,sandeje01,https://www.basketball-reference.com/players/s/sandeje01/gamelog/1992
12,12,1992-04-19,26-096,ATL,@,CLE,L (-4),0,8:00,0,2,0.0,0,0,,0,0,,0,2,2,2,0,0,1,1,0,-0.8,1992,sandeje01,https://www.basketball-reference.com/players/s/sandeje01/gamelog/1992
