Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,session,player,gamelog_url
1,1,1993-11-05,25-022,NJN,@,HOU,L (-22),1,24:00,1,6,.167,0,0,,0,0,,2,2,4,1,1,1,1,4,2,0.0,1994,schindw01,https://www.basketball-reference.com/players/s/schindw01/gamelog/1994
2,2,1993-11-07,25-024,NJN,@,SAS,W (+26),1,22:00,1,5,.200,0,0,,1,2,.500,1,2,3,0,0,0,1,3,3,-1.4,1994,schindw01,https://www.basketball-reference.com/players/s/schindw01/gamelog/1994
3,3,1993-11-09,25-026,NJN,@,DAL,W (+6),1,11:00,1,3,.333,0,0,,0,0,,0,2,2,0,1,0,0,2,2,1.1,1994,schindw01,https://www.basketball-reference.com/players/s/schindw01/gamelog/1994
4,4,1993-11-11,25-028,NJN,,IND,L (-3),1,36:00,4,9,.444,0,0,,2,3,.667,7,5,12,3,0,1,0,3,10,12.9,1994,schindw01,https://www.basketball-reference.com/players/s/schindw01/gamelog/1994
5,5,1993-11-13,25-030,NJN,,PHI,L (-1),1,22:00,1,7,.143,0,0,,0,0,,0,5,5,0,1,3,1,5,2,-0.9,1994,schindw01,https://www.basketball-reference.com/players/s/schindw01/gamelog/1994
6,6,1993-11-14,25-031,NJN,,SAC,W (+30),1,7:00,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,1,0,2,0.0,1994,schindw01,https://www.basketball-reference.com/players/s/schindw01/gamelog/1994
7,7,1993-11-16,25-033,NJN,,HOU,L (-6),1,17:00,2,3,.667,0,0,,0,0,,2,3,5,0,0,3,1,2,4,5.3,1994,schindw01,https://www.basketball-reference.com/players/s/schindw01/gamelog/1994
8,8,1993-11-17,25-034,NJN,@,BOS,L (-5),0,22:00,4,8,.500,0,0,,0,0,,1,3,4,2,0,1,1,1,8,6.3,1994,schindw01,https://www.basketball-reference.com/players/s/schindw01/gamelog/1994
9,9,1993-11-20,25-037,NJN,,ORL,L (-2),0,8:00,0,2,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-1.1,1994,schindw01,https://www.basketball-reference.com/players/s/schindw01/gamelog/1994
10,10,1993-11-21,25-038,NJN,,LAL,W (+3),0,7:00,1,3,.333,0,0,,0,0,,2,4,6,1,0,0,0,0,2,3.6,1994,schindw01,https://www.basketball-reference.com/players/s/schindw01/gamelog/1994
