Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,session,player,gamelog_url
1,1,1949-11-02,32-303,WSC,,BLB,W (+5),,,1,,,3,3,1.000,,,,5,1950,schuldi01,https://www.basketball-reference.com/players/s/schuldi01/gamelog/1950
2,2,1949-11-05,32-306,WSC,,STB,W (+12),,,1,,,4,5,.800,,,,6,1950,schuldi01,https://www.basketball-reference.com/players/s/schuldi01/gamelog/1950
3,3,1949-11-08,32-309,WSC,,MNL,L (-2),,,2,,,1,4,.250,,,3,5,1950,schuldi01,https://www.basketball-reference.com/players/s/schuldi01/gamelog/1950
4,4,1949-11-09,32-310,WSC,@,PHW,W (+15),,,1,4,.250,4,5,.800,,0,5,6,1950,schuldi01,https://www.basketball-reference.com/players/s/schuldi01/gamelog/1950
5,5,1949-11-10,32-311,WSC,@,BLB,W (+16),,,0,,,0,1,.000,,,,0,1950,schuldi01,https://www.basketball-reference.com/players/s/schuldi01/gamelog/1950
6,6,1949-11-12,32-313,WSC,,BOS,L (-8),,,1,,,1,2,.500,,,,3,1950,schuldi01,https://www.basketball-reference.com/players/s/schuldi01/gamelog/1950
7,7,1949-11-15,32-316,WSC,,CHS,L (-14),,,1,,,0,1,.000,,,,2,1950,schuldi01,https://www.basketball-reference.com/players/s/schuldi01/gamelog/1950
8,8,1949-11-16,32-317,WSC,,DNN,W (+9),,,0,,,2,3,.667,,,,2,1950,schuldi01,https://www.basketball-reference.com/players/s/schuldi01/gamelog/1950
9,9,1949-11-19,32-320,WSC,,CHS,W (+16),,,1,,,0,1,.000,,,,2,1950,schuldi01,https://www.basketball-reference.com/players/s/schuldi01/gamelog/1950
10,10,1949-11-22,32-323,WSC,,NYK,L (-15),,,1,,,1,1,1.000,,,,3,1950,schuldi01,https://www.basketball-reference.com/players/s/schuldi01/gamelog/1950
11,11,1949-11-23,32-324,WSC,@,NYK,L (-20),,,3,,,3,3,1.000,,,,9,1950,schuldi01,https://www.basketball-reference.com/players/s/schuldi01/gamelog/1950
12,12,1949-11-30,32-331,WSC,,ROC,L (-2),,,0,,,0,1,.000,,,,0,1950,schuldi01,https://www.basketball-reference.com/players/s/schuldi01/gamelog/1950
13,13,1949-12-07,32-338,TRI,,SYR,L (-8),,,0,,,1,2,.500,,,,1,1950,schuldi01,https://www.basketball-reference.com/players/s/schuldi01/gamelog/1950
14,14,1949-12-11,32-342,TRI,,DNN,W (+32),,,3,,,5,5,1.000,,,,11,1950,schuldi01,https://www.basketball-reference.com/players/s/schuldi01/gamelog/1950
15,15,1949-12-13,32-344,TRI,@,INO,L (-21),,,2,,,3,4,.750,,,,7,1950,schuldi01,https://www.basketball-reference.com/players/s/schuldi01/gamelog/1950
16,16,1949-12-14,32-345,TRI,,CHS,W (+5),,,3,,,3,4,.750,,,,9,1950,schuldi01,https://www.basketball-reference.com/players/s/schuldi01/gamelog/1950
17,17,1949-12-15,32-346,TRI,@,SHE,L (-15),,,4,10,.400,2,3,.667,,1,2,10,1950,schuldi01,https://www.basketball-reference.com/players/s/schuldi01/gamelog/1950
18,18,1949-12-18,32-349,TRI,,AND,L (-9),,,0,,,1,2,.500,,,,1,1950,schuldi01,https://www.basketball-reference.com/players/s/schuldi01/gamelog/1950
19,19,1950-01-16,33-013,SHE,,PHW,L (-17),,,1,,,0,0,,,,0,2,1950,schuldi01,https://www.basketball-reference.com/players/s/schuldi01/gamelog/1950
20,20,1950-01-18,33-015,SHE,,FTW,L (-1),,,1,4,.250,1,3,.333,,2,5,3,1950,schuldi01,https://www.basketball-reference.com/players/s/schuldi01/gamelog/1950
21,21,1950-01-21,33-018,SHE,@,WSC,W (+6),,,2,,,0,2,.000,,,5,4,1950,schuldi01,https://www.basketball-reference.com/players/s/schuldi01/gamelog/1950
22,22,1950-01-22,33-019,SHE,,BLB,L (-7),,,0,2,.000,2,2,1.000,,0,0,2,1950,schuldi01,https://www.basketball-reference.com/players/s/schuldi01/gamelog/1950
23,23,1950-01-24,33-021,SHE,,NYK,L (-33),,,1,7,.143,1,2,.500,,,0,3,1950,schuldi01,https://www.basketball-reference.com/players/s/schuldi01/gamelog/1950
24,24,1950-01-29,33-026,SHE,@,SYR,L (-15),,,2,,,2,2,1.000,,,,6,1950,schuldi01,https://www.basketball-reference.com/players/s/schuldi01/gamelog/1950
25,25,1950-01-30,33-027,SHE,@,AND,L (-17),,,1,,,2,2,1.000,,,1,4,1950,schuldi01,https://www.basketball-reference.com/players/s/schuldi01/gamelog/1950
26,26,1950-02-02,33-030,SHE,,WSC,W (+3),,,0,0,,3,3,1.000,,0,2,3,1950,schuldi01,https://www.basketball-reference.com/players/s/schuldi01/gamelog/1950
27,27,1950-02-05,33-033,SHE,@,TRI,L (-15),,,0,,,1,1,1.000,,,0,1,1950,schuldi01,https://www.basketball-reference.com/players/s/schuldi01/gamelog/1950
28,28,1950-02-08,33-036,SHE,@,SYR,L (-25),,,3,,,5,5,1.000,,,3,11,1950,schuldi01,https://www.basketball-reference.com/players/s/schuldi01/gamelog/1950
