Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,session,player,gamelog_url
1,1,1994-11-04,33-221,IND,@,ATL,W (+2),0,18:00,4,7,.571,2,4,.500,4,5,.800,0,2,2,1,0,0,3,0,14,8.6,1995,scottby01,https://www.basketball-reference.com/players/s/scottby01/gamelog/1995
2,2,1994-11-05,33-222,IND,,BOS,W (+9),0,20:00,8,14,.571,0,3,.000,3,4,.750,1,1,2,2,1,0,2,1,19,13.0,1995,scottby01,https://www.basketball-reference.com/players/s/scottby01/gamelog/1995
3,3,1994-11-09,33-226,IND,,HOU,L (-5),0,20:00,4,8,.500,1,4,.250,5,6,.833,1,2,3,0,0,0,0,0,14,10.9,1995,scottby01,https://www.basketball-reference.com/players/s/scottby01/gamelog/1995
4,4,1994-11-10,33-227,IND,@,DET,L (-2),0,13:00,1,3,.333,1,2,.500,3,3,1.000,0,1,1,0,0,0,0,2,6,3.8,1995,scottby01,https://www.basketball-reference.com/players/s/scottby01/gamelog/1995
5,5,1994-11-12,33-229,IND,@,CLE,W (+7),0,13:00,4,5,.800,0,0,,3,3,1.000,0,1,1,2,0,0,1,3,11,8.6,1995,scottby01,https://www.basketball-reference.com/players/s/scottby01/gamelog/1995
6,6,1994-11-15,33-232,IND,@,MIL,L (-1),0,15:00,2,10,.200,2,4,.500,2,2,1.000,0,0,0,0,0,0,1,1,8,0.4,1995,scottby01,https://www.basketball-reference.com/players/s/scottby01/gamelog/1995
7,7,1994-11-18,33-235,IND,,SEA,W (+7),0,16:00,4,9,.444,1,4,.250,1,2,.500,0,0,0,1,1,1,0,2,10,6.5,1995,scottby01,https://www.basketball-reference.com/players/s/scottby01/gamelog/1995
8,8,1994-11-19,33-236,IND,@,CHH,W (+13),0,17:00,0,5,.000,0,1,.000,2,3,.667,0,3,3,1,1,1,1,2,2,-0.4,1995,scottby01,https://www.basketball-reference.com/players/s/scottby01/gamelog/1995
9,9,1994-11-24,33-241,IND,,GSW,W (+27),0,22:00,5,8,.625,1,3,.333,0,0,,0,2,2,3,0,0,2,0,11,8.1,1995,scottby01,https://www.basketball-reference.com/players/s/scottby01/gamelog/1995
10,10,1994-11-25,33-242,IND,,MIL,W (+5),0,13:00,1,2,.500,0,0,,1,1,1.000,0,2,2,2,0,0,1,0,3,3.0,1995,scottby01,https://www.basketball-reference.com/players/s/scottby01/gamelog/1995
11,11,1994-11-27,33-244,IND,@,POR,L (-10),0,18:00,1,4,.250,1,3,.333,8,8,1.000,0,1,1,0,1,0,2,1,11,7.5,1995,scottby01,https://www.basketball-reference.com/players/s/scottby01/gamelog/1995
12,12,1994-11-28,33-245,IND,@,SEA,L (-19),0,21:00,5,11,.455,2,6,.333,3,3,1.000,0,2,2,0,0,0,2,2,15,7.1,1995,scottby01,https://www.basketball-reference.com/players/s/scottby01/gamelog/1995
13,13,1994-12-01,33-248,IND,@,LAC,W (+9),0,17:00,4,11,.364,0,3,.000,3,4,.750,0,4,4,0,3,0,2,2,11,5.9,1995,scottby01,https://www.basketball-reference.com/players/s/scottby01/gamelog/1995
14,14,1994-12-03,33-250,IND,@,GSW,W (+11),0,19:00,4,8,.500,2,5,.400,1,2,.500,1,0,1,1,1,0,0,1,11,8.6,1995,scottby01,https://www.basketball-reference.com/players/s/scottby01/gamelog/1995
15,15,1994-12-06,33-253,IND,,DET,W (+7),0,17:00,2,7,.286,0,1,.000,1,1,1.000,0,1,1,2,0,0,3,2,5,-1.2,1995,scottby01,https://www.basketball-reference.com/players/s/scottby01/gamelog/1995
16,16,1994-12-09,33-256,IND,@,PHI,W (+6),0,13:00,1,4,.250,1,3,.333,3,3,1.000,0,0,0,1,1,0,0,0,6,5.3,1995,scottby01,https://www.basketball-reference.com/players/s/scottby01/gamelog/1995
17,17,1994-12-10,33-257,IND,,MIA,W (+14),0,25:00,5,10,.500,2,3,.667,7,7,1.000,0,1,1,2,0,0,4,2,19,10.9,1995,scottby01,https://www.basketball-reference.com/players/s/scottby01/gamelog/1995
18,18,1994-12-13,33-260,IND,@,CLE,L (-7),0,15:00,2,5,.400,0,2,.000,0,0,,0,0,0,0,2,0,2,3,4,0.1,1995,scottby01,https://www.basketball-reference.com/players/s/scottby01/gamelog/1995
19,19,1994-12-14,33-261,IND,,ATL,W (+2),0,18:00,3,9,.333,0,2,.000,3,4,.750,1,3,4,1,1,0,1,1,9,5.4,1995,scottby01,https://www.basketball-reference.com/players/s/scottby01/gamelog/1995
20,20,1994-12-16,33-263,IND,,CHH,W (+2),0,17:00,3,5,.600,0,0,,2,3,.667,0,2,2,2,1,0,2,1,8,5.9,1995,scottby01,https://www.basketball-reference.com/players/s/scottby01/gamelog/1995
21,21,1994-12-20,33-267,IND,@,CHH,L (-4),0,19:00,2,4,.500,0,1,.000,2,4,.500,0,1,1,0,2,1,5,3,6,0.0,1995,scottby01,https://www.basketball-reference.com/players/s/scottby01/gamelog/1995
22,22,1994-12-21,33-268,IND,,CHI,W (+8),0,3:00,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,1,0,0,-1.0,1995,scottby01,https://www.basketball-reference.com/players/s/scottby01/gamelog/1995
23,23,1994-12-23,33-270,IND,@,CHI,L (-24),0,18:00,3,8,.375,0,0,,4,4,1.000,1,0,1,2,2,0,3,1,10,6.3,1995,scottby01,https://www.basketball-reference.com/players/s/scottby01/gamelog/1995
24,24,1994-12-27,33-274,IND,@,DEN,W (+4),0,14:00,2,3,.667,1,1,1.000,3,4,.750,0,2,2,2,0,0,2,1,8,5.9,1995,scottby01,https://www.basketball-reference.com/players/s/scottby01/gamelog/1995
25,25,1994-12-28,33-275,IND,@,UTA,L (-22),0,25:00,7,13,.538,1,2,.500,1,2,.500,1,0,1,2,2,0,1,0,16,12.4,1995,scottby01,https://www.basketball-reference.com/players/s/scottby01/gamelog/1995
26,26,1994-12-30,33-277,IND,,NJN,W (+17),0,16:00,6,10,.600,2,2,1.000,0,0,,1,2,3,0,0,0,0,1,14,10.3,1995,scottby01,https://www.basketball-reference.com/players/s/scottby01/gamelog/1995
27,27,1995-01-03,33-281,IND,@,NJN,L (-11),0,16:00,3,7,.429,1,4,.250,0,0,,0,4,4,1,1,0,2,1,7,3.8,1995,scottby01,https://www.basketball-reference.com/players/s/scottby01/gamelog/1995
28,28,1995-01-04,33-282,IND,,WSB,W (+4),0,19:00,5,10,.500,1,2,.500,3,4,.750,3,4,7,1,0,0,0,1,14,12.2,1995,scottby01,https://www.basketball-reference.com/players/s/scottby01/gamelog/1995
29,29,1995-01-06,33-284,IND,@,DAL,L (-11),0,16:00,2,6,.333,0,1,.000,3,4,.750,0,0,0,1,0,0,4,0,7,-0.1,1995,scottby01,https://www.basketball-reference.com/players/s/scottby01/gamelog/1995
30,30,1995-01-07,33-285,IND,@,HOU,W (+5),0,16:00,0,4,.000,0,0,,0,0,,0,3,3,1,1,0,2,0,0,-2.2,1995,scottby01,https://www.basketball-reference.com/players/s/scottby01/gamelog/1995
31,31,1995-01-10,33-288,IND,@,NYK,L (-12),0,20:00,4,5,.800,0,0,,6,6,1.000,0,1,1,2,1,0,2,1,14,12.4,1995,scottby01,https://www.basketball-reference.com/players/s/scottby01/gamelog/1995
32,32,1995-01-11,33-289,IND,@,BOS,L (-3),0,14:00,2,5,.400,0,2,.000,2,2,1.000,0,2,2,1,1,0,1,1,6,4.2,1995,scottby01,https://www.basketball-reference.com/players/s/scottby01/gamelog/1995
33,33,1995-01-13,33-291,IND,@,WSB,W (+14),0,17:00,1,6,.167,0,0,,4,4,1.000,0,1,1,2,1,0,1,1,6,3.5,1995,scottby01,https://www.basketball-reference.com/players/s/scottby01/gamelog/1995
34,34,1995-01-14,33-292,IND,,MIL,L (-2),0,18:00,2,8,.250,0,2,.000,0,0,,0,1,1,4,1,0,2,1,4,0.9,1995,scottby01,https://www.basketball-reference.com/players/s/scottby01/gamelog/1995
35,35,1995-01-16,33-294,IND,,UTA,L (-1),0,21:00,2,5,.400,1,2,.500,3,5,.600,0,2,2,0,0,0,0,1,8,4.7,1995,scottby01,https://www.basketball-reference.com/players/s/scottby01/gamelog/1995
36,36,1995-01-18,33-296,IND,,LAL,W (+1),0,21:00,4,5,.800,1,2,.500,5,8,.625,0,1,1,1,2,1,0,1,14,14.2,1995,scottby01,https://www.basketball-reference.com/players/s/scottby01/gamelog/1995
37,37,1995-01-20,33-298,IND,,ATL,W (+10),0,20:00,5,7,.714,2,2,1.000,0,0,,1,2,3,1,1,0,3,1,12,8.7,1995,scottby01,https://www.basketball-reference.com/players/s/scottby01/gamelog/1995
38,38,1995-01-22,33-300,IND,,SAS,W (+5),0,18:00,2,8,.250,2,5,.400,2,2,1.000,0,2,2,1,0,0,0,1,8,4.1,1995,scottby01,https://www.basketball-reference.com/players/s/scottby01/gamelog/1995
39,39,1995-01-24,33-302,IND,@,MIA,L (-11),0,17:00,3,7,.429,0,3,.000,2,2,1.000,0,1,1,1,0,0,1,0,8,4.3,1995,scottby01,https://www.basketball-reference.com/players/s/scottby01/gamelog/1995
40,40,1995-01-26,33-304,IND,,PHO,L (-6),0,23:00,6,9,.667,1,2,.500,0,0,,0,5,5,1,0,0,0,3,13,10.1,1995,scottby01,https://www.basketball-reference.com/players/s/scottby01/gamelog/1995
41,41,1995-01-28,33-306,IND,,PHI,W (+3),0,27:00,7,11,.636,5,8,.625,2,2,1.000,1,1,2,1,0,1,0,2,21,17.7,1995,scottby01,https://www.basketball-reference.com/players/s/scottby01/gamelog/1995
42,42,1995-02-01,33-310,IND,,CLE,W (+19),0,25:00,3,6,.500,2,2,1.000,8,8,1.000,0,2,2,1,0,1,1,2,16,13.2,1995,scottby01,https://www.basketball-reference.com/players/s/scottby01/gamelog/1995
43,43,1995-02-03,33-312,IND,,ORL,W (+12),0,24:00,4,8,.500,2,4,.500,3,4,.750,0,2,2,4,0,1,2,2,13,9.9,1995,scottby01,https://www.basketball-reference.com/players/s/scottby01/gamelog/1995
44,44,1995-02-04,33-313,IND,@,CLE,L (-9),0,7:00,1,2,.500,1,1,1.000,1,2,.500,0,0,0,0,0,0,0,1,4,2.2,1995,scottby01,https://www.basketball-reference.com/players/s/scottby01/gamelog/1995
45,45,1995-02-14,33-323,IND,@,ORL,L (-19),0,28:00,6,13,.462,0,3,.000,2,2,1.000,0,1,1,2,3,0,1,1,14,10.6,1995,scottby01,https://www.basketball-reference.com/players/s/scottby01/gamelog/1995
46,46,1995-02-15,33-324,IND,,DET,W (+26),0,15:00,3,5,.600,1,1,1.000,3,3,1.000,0,2,2,3,2,0,3,5,10,7.4,1995,scottby01,https://www.basketball-reference.com/players/s/scottby01/gamelog/1995
47,47,1995-02-17,33-326,IND,@,MIN,W (+32),0,22:00,6,11,.545,0,1,.000,2,2,1.000,1,3,4,1,1,0,2,2,14,9.2,1995,scottby01,https://www.basketball-reference.com/players/s/scottby01/gamelog/1995
48,48,1995-02-19,33-328,IND,,MIA,W (+19),0,22:00,3,5,.600,2,3,.667,3,4,.750,0,2,2,2,0,1,1,2,11,9.2,1995,scottby01,https://www.basketball-reference.com/players/s/scottby01/gamelog/1995
49,49,1995-02-22,33-331,IND,@,NJN,W (+19),0,25:00,4,5,.800,1,1,1.000,3,3,1.000,0,3,3,6,3,1,3,3,12,14.7,1995,scottby01,https://www.basketball-reference.com/players/s/scottby01/gamelog/1995
50,50,1995-02-24,33-333,IND,@,MIL,W (+12),0,17:00,6,9,.667,1,2,.500,4,4,1.000,1,3,4,1,0,0,0,0,17,15.4,1995,scottby01,https://www.basketball-reference.com/players/s/scottby01/gamelog/1995
51,51,1995-02-26,33-335,IND,,DAL,W (+8),0,20:00,2,8,.250,0,3,.000,4,4,1.000,0,6,6,1,0,1,3,3,8,2.2,1995,scottby01,https://www.basketball-reference.com/players/s/scottby01/gamelog/1995
52,52,1995-02-27,33-336,IND,@,BOS,W (+11),0,25:00,5,8,.625,1,1,1.000,3,4,.750,1,1,2,0,2,0,1,0,14,12.0,1995,scottby01,https://www.basketball-reference.com/players/s/scottby01/gamelog/1995
53,53,1995-03-01,33-338,IND,@,DET,L (-13),0,27:00,4,9,.444,1,3,.333,1,2,.500,0,2,2,2,2,0,2,1,10,6.5,1995,scottby01,https://www.basketball-reference.com/players/s/scottby01/gamelog/1995
54,54,1995-03-03,33-340,IND,@,WSB,L (-5),0,12:00,3,6,.500,0,1,.000,0,0,,0,0,0,1,1,0,1,0,6,3.7,1995,scottby01,https://www.basketball-reference.com/players/s/scottby01/gamelog/1995
55,55,1995-03-04,33-341,IND,,BOS,L (-6),0,21:00,7,9,.778,3,4,.750,4,5,.800,0,0,0,0,0,0,0,3,21,15.9,1995,scottby01,https://www.basketball-reference.com/players/s/scottby01/gamelog/1995
