Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,session,player,gamelog_url
1,1,1989-11-03,23-195,NJN,@,MIA,W (+20),1,35:00,9,14,.643,0,0,,0,0,,4,12,16,0,0,3,0,2,18,19.5,1990,shackch01,https://www.basketball-reference.com/players/s/shackch01/gamelog/1990
2,2,1989-11-04,23-196,NJN,@,ORL,W (+5),1,33:00,7,13,.538,0,0,,0,1,.000,6,6,12,0,1,1,1,6,14,11.6,1990,shackch01,https://www.basketball-reference.com/players/s/shackch01/gamelog/1990
3,3,1989-11-07,23-199,NJN,,MIA,L (-6),1,44:00,6,12,.500,0,0,,1,2,.500,7,7,14,2,2,0,5,4,13,10.4,1990,shackch01,https://www.basketball-reference.com/players/s/shackch01/gamelog/1990
4,4,1989-11-09,23-201,NJN,@,NYK,L (-2),1,29:00,5,8,.625,0,0,,3,4,.750,3,5,8,1,1,0,2,5,13,10.3,1990,shackch01,https://www.basketball-reference.com/players/s/shackch01/gamelog/1990
5,5,1989-11-10,23-202,NJN,,CHI,W (+10),1,31:00,6,13,.462,0,0,,4,4,1.000,3,3,6,1,1,0,2,1,16,11.6,1990,shackch01,https://www.basketball-reference.com/players/s/shackch01/gamelog/1990
6,6,1989-11-14,23-206,NJN,,CLE,L (-11),1,31:00,7,17,.412,0,0,,0,0,,4,9,13,0,1,1,1,2,14,10.3,1990,shackch01,https://www.basketball-reference.com/players/s/shackch01/gamelog/1990
7,7,1989-11-15,23-207,NJN,@,BOS,L (-34),1,28:00,5,14,.357,0,0,,1,2,.500,2,5,7,3,1,0,1,2,11,7.0,1990,shackch01,https://www.basketball-reference.com/players/s/shackch01/gamelog/1990
8,8,1989-11-18,23-210,NJN,,SAS,L (-15),1,14:00,0,4,.000,0,0,,0,0,,0,2,2,0,1,1,1,2,0,-2.3,1990,shackch01,https://www.basketball-reference.com/players/s/shackch01/gamelog/1990
9,9,1989-11-21,23-213,NJN,@,SEA,L (-30),1,28:00,2,7,.286,0,0,,0,0,,1,5,6,0,1,1,2,5,4,-0.2,1990,shackch01,https://www.basketball-reference.com/players/s/shackch01/gamelog/1990
10,10,1989-11-22,23-214,NJN,@,LAC,L (-9),1,44:00,7,14,.500,0,0,,0,0,,2,10,12,2,1,0,1,5,14,10.8,1990,shackch01,https://www.basketball-reference.com/players/s/shackch01/gamelog/1990
11,11,1989-11-24,23-216,NJN,@,POR,L (-26),1,33:00,5,6,.833,0,0,,1,2,.500,4,5,9,1,0,0,0,3,11,12.2,1990,shackch01,https://www.basketball-reference.com/players/s/shackch01/gamelog/1990
12,12,1989-11-25,23-217,NJN,@,SAC,L (-14),1,33:00,4,11,.364,0,0,,2,2,1.000,2,5,7,1,1,0,4,4,10,2.9,1990,shackch01,https://www.basketball-reference.com/players/s/shackch01/gamelog/1990
13,13,1989-11-27,23-219,NJN,@,UTA,L (-37),1,32:00,2,12,.167,0,0,,0,0,,4,5,9,0,2,0,4,3,4,-2.5,1990,shackch01,https://www.basketball-reference.com/players/s/shackch01/gamelog/1990
14,14,1989-11-29,23-221,NJN,,BOS,L (-23),1,33:00,6,17,.353,0,0,,2,2,1.000,3,4,7,4,1,0,4,5,14,5.6,1990,shackch01,https://www.basketball-reference.com/players/s/shackch01/gamelog/1990
15,15,1989-12-01,23-223,NJN,,MIA,W (+24),1,29:00,8,9,.889,0,0,,3,6,.500,3,7,10,1,0,2,3,2,19,17.2,1990,shackch01,https://www.basketball-reference.com/players/s/shackch01/gamelog/1990
16,16,1989-12-05,23-227,NJN,@,MIN,L (-2),1,32:00,8,11,.727,0,0,,1,2,.500,5,3,8,1,1,1,2,3,17,15.7,1990,shackch01,https://www.basketball-reference.com/players/s/shackch01/gamelog/1990
17,17,1989-12-08,23-230,NJN,@,HOU,W (+5),1,30:00,6,11,.545,0,0,,0,0,,3,9,12,0,1,0,1,5,12,9.5,1990,shackch01,https://www.basketball-reference.com/players/s/shackch01/gamelog/1990
18,18,1989-12-09,23-231,NJN,@,SAS,L (-17),1,31:00,6,17,.353,0,0,,4,4,1.000,7,2,9,2,1,0,2,3,16,11.2,1990,shackch01,https://www.basketball-reference.com/players/s/shackch01/gamelog/1990
19,19,1989-12-12,23-234,NJN,,PHI,W (+15),1,27:00,5,12,.417,0,0,,0,0,,4,4,8,0,1,0,1,3,10,6.4,1990,shackch01,https://www.basketball-reference.com/players/s/shackch01/gamelog/1990
20,20,1989-12-14,23-236,NJN,,IND,L (-24),1,23:00,1,7,.143,0,0,,0,0,,4,6,10,0,1,0,3,2,2,-0.7,1990,shackch01,https://www.basketball-reference.com/players/s/shackch01/gamelog/1990
21,21,1989-12-16,23-238,NJN,,LAL,L (-7),0,2:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.0,1990,shackch01,https://www.basketball-reference.com/players/s/shackch01/gamelog/1990
22,22,1989-12-19,23-241,NJN,@,MIA,W (+2),0,10:00,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-0.8,1990,shackch01,https://www.basketball-reference.com/players/s/shackch01/gamelog/1990
23,23,1989-12-20,23-242,NJN,,DAL,L (-6),0,18:00,4,7,.571,0,0,,2,4,.500,4,4,8,1,0,0,2,2,10,7.8,1990,shackch01,https://www.basketball-reference.com/players/s/shackch01/gamelog/1990
24,24,1989-12-22,23-244,NJN,,DET,L (-6),0,24:00,6,12,.500,0,0,,1,2,.500,1,4,5,0,1,0,2,5,13,5.5,1990,shackch01,https://www.basketball-reference.com/players/s/shackch01/gamelog/1990
25,25,1989-12-23,23-245,NJN,@,NYK,L (-9),0,16:00,3,9,.333,0,0,,0,0,,3,4,7,1,0,0,2,3,6,1.7,1990,shackch01,https://www.basketball-reference.com/players/s/shackch01/gamelog/1990
26,26,1989-12-26,23-248,NJN,,WSB,W (+7),0,16:00,4,6,.667,0,0,,0,0,,1,3,4,0,0,0,1,1,8,5.6,1990,shackch01,https://www.basketball-reference.com/players/s/shackch01/gamelog/1990
27,27,1989-12-28,23-250,NJN,,NYK,L (-2),0,6:00,2,2,1.000,0,0,,0,0,,0,2,2,1,0,0,1,4,4,2.1,1990,shackch01,https://www.basketball-reference.com/players/s/shackch01/gamelog/1990
28,28,1989-12-30,23-252,NJN,@,DET,L (-11),0,13:00,4,5,.800,0,0,,1,2,.500,0,1,1,1,2,0,0,2,9,8.9,1990,shackch01,https://www.basketball-reference.com/players/s/shackch01/gamelog/1990
29,29,1990-01-02,23-255,NJN,@,WSB,L (-14),0,25:00,6,11,.545,0,0,,2,2,1.000,4,8,12,2,1,2,0,2,14,16.9,1990,shackch01,https://www.basketball-reference.com/players/s/shackch01/gamelog/1990
30,30,1990-01-03,23-256,NJN,,MIL,L (-14),0,11:00,2,3,.667,0,0,,0,0,,1,1,2,1,0,0,1,2,4,2.6,1990,shackch01,https://www.basketball-reference.com/players/s/shackch01/gamelog/1990
31,31,1990-01-06,23-259,NJN,@,ATL,L (-9),0,20:00,4,8,.500,0,0,,0,0,,3,6,9,0,1,0,2,2,8,6.1,1990,shackch01,https://www.basketball-reference.com/players/s/shackch01/gamelog/1990
32,32,1990-01-07,23-260,NJN,,ATL,W (+5),0,6:00,0,3,.000,0,0,,0,0,,2,2,4,0,0,1,1,2,0,-1.2,1990,shackch01,https://www.basketball-reference.com/players/s/shackch01/gamelog/1990
33,33,1990-01-19,23-272,NJN,@,ORL,L (-15),0,15:00,1,4,.250,0,0,,0,0,,1,2,3,0,1,0,1,4,2,-0.7,1990,shackch01,https://www.basketball-reference.com/players/s/shackch01/gamelog/1990
34,34,1990-01-20,23-273,NJN,@,PHI,L (-10),0,15:00,1,2,.500,0,0,,1,2,.500,0,4,4,0,0,0,2,1,3,0.4,1990,shackch01,https://www.basketball-reference.com/players/s/shackch01/gamelog/1990
35,35,1990-01-25,23-278,NJN,,ORL,L (-5),1,34:00,8,14,.571,0,0,,6,7,.857,5,5,10,2,0,4,4,5,22,18.2,1990,shackch01,https://www.basketball-reference.com/players/s/shackch01/gamelog/1990
36,36,1990-01-27,23-280,NJN,@,CHI,L (-3),1,27:00,1,4,.250,0,0,,2,2,1.000,0,1,1,2,0,0,2,1,4,0.9,1990,shackch01,https://www.basketball-reference.com/players/s/shackch01/gamelog/1990
37,37,1990-01-29,23-282,NJN,@,DAL,L (-20),1,29:00,5,10,.500,0,1,.000,1,3,.333,7,3,10,0,1,0,0,4,11,10.4,1990,shackch01,https://www.basketball-reference.com/players/s/shackch01/gamelog/1990
38,38,1990-01-30,23-283,NJN,@,PHO,L (-25),1,19:00,0,5,.000,0,0,,0,0,,0,4,4,1,1,0,2,1,0,-3.0,1990,shackch01,https://www.basketball-reference.com/players/s/shackch01/gamelog/1990
39,39,1990-02-01,23-285,NJN,@,DEN,L (-11),0,26:00,6,10,.600,0,0,,7,11,.636,5,7,12,1,1,2,2,2,19,18.7,1990,shackch01,https://www.basketball-reference.com/players/s/shackch01/gamelog/1990
40,40,1990-02-02,23-286,NJN,@,GSW,L (-19),1,24:00,4,15,.267,0,0,,2,2,1.000,6,2,8,1,0,2,1,3,10,5.8,1990,shackch01,https://www.basketball-reference.com/players/s/shackch01/gamelog/1990
41,41,1990-02-04,23-288,NJN,@,LAL,L (-16),1,29:00,6,11,.545,0,0,,3,5,.600,4,5,9,1,1,0,1,1,15,13.5,1990,shackch01,https://www.basketball-reference.com/players/s/shackch01/gamelog/1990
42,42,1990-02-07,23-291,NJN,,UTA,L (-7),1,31:00,4,8,.500,0,0,,0,0,,5,2,7,2,0,0,5,3,8,3.3,1990,shackch01,https://www.basketball-reference.com/players/s/shackch01/gamelog/1990
43,43,1990-02-14,23-298,NJN,@,PHI,L (-10),1,13:00,4,5,.800,0,0,,0,0,,1,0,1,0,1,0,1,3,8,5.6,1990,shackch01,https://www.basketball-reference.com/players/s/shackch01/gamelog/1990
44,44,1990-02-15,23-299,NJN,,SEA,L (-11),1,18:00,3,6,.500,0,0,,0,0,,0,1,1,0,0,1,2,2,6,1.2,1990,shackch01,https://www.basketball-reference.com/players/s/shackch01/gamelog/1990
45,45,1990-02-17,23-301,NJN,,DEN,L (-9),1,19:00,4,8,.500,0,0,,0,2,.000,1,9,10,1,0,0,1,4,8,4.7,1990,shackch01,https://www.basketball-reference.com/players/s/shackch01/gamelog/1990
46,46,1990-02-20,23-304,NJN,@,MIL,L (-8),1,40:00,9,15,.600,0,0,,5,8,.625,9,17,26,2,2,0,6,2,23,22.9,1990,shackch01,https://www.basketball-reference.com/players/s/shackch01/gamelog/1990
47,47,1990-02-21,23-305,NJN,,MIN,W (+2),1,7:00,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,1,0,2,0.7,1990,shackch01,https://www.basketball-reference.com/players/s/shackch01/gamelog/1990
48,48,1990-03-07,23-319,NJN,,LAC,L (-4),0,15:00,2,2,1.000,0,0,,2,2,1.000,2,1,3,1,2,0,0,2,6,9.0,1990,shackch01,https://www.basketball-reference.com/players/s/shackch01/gamelog/1990
