Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2017-10-19,23-200,TOR,,CHI,W (+17),0,4:58,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,0,0,1.0,-7,2018,siakapa01,https://www.basketball-reference.com/players/s/siakapa01/gamelog/2018
2,2,2017-10-21,23-202,TOR,,PHI,W (+34),0,8:24,1,5,.200,0,2,.000,2,2,1.000,2,4,6,2,0,0,0,1,4,4.5,+4,2018,siakapa01,https://www.basketball-reference.com/players/s/siakapa01/gamelog/2018
3,,2017-10-23,23-204,TOR,@,SAS,L (-4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2018,siakapa01,https://www.basketball-reference.com/players/s/siakapa01/gamelog/2018
4,3,2017-10-25,23-206,TOR,@,GSW,L (-5),1,21:27,9,12,.750,2,3,.667,0,0,,0,2,2,2,0,0,1,1,20,15.8,-3,2018,siakapa01,https://www.basketball-reference.com/players/s/siakapa01/gamelog/2018
5,4,2017-10-27,23-208,TOR,@,LAL,W (+9),1,24:58,8,10,.800,1,3,.333,1,2,.500,2,3,5,1,2,0,0,4,18,17.2,+13,2018,siakapa01,https://www.basketball-reference.com/players/s/siakapa01/gamelog/2018
6,5,2017-10-30,23-211,TOR,@,POR,W (+14),1,26:14,3,6,.500,0,2,.000,0,0,,0,5,5,1,2,1,0,1,6,7.5,+9,2018,siakapa01,https://www.basketball-reference.com/players/s/siakapa01/gamelog/2018
7,6,2017-11-01,23-213,TOR,@,DEN,L (-18),0,19:59,4,10,.400,1,2,.500,1,2,.500,2,6,8,1,1,0,1,4,10,6.5,+4,2018,siakapa01,https://www.basketball-reference.com/players/s/siakapa01/gamelog/2018
8,7,2017-11-03,23-215,TOR,@,UTA,W (+9),0,21:26,4,9,.444,0,3,.000,0,1,.000,0,4,4,1,3,0,0,0,8,7.8,+10,2018,siakapa01,https://www.basketball-reference.com/players/s/siakapa01/gamelog/2018
9,8,2017-11-05,23-217,TOR,,WAS,L (-11),0,16:06,3,4,.750,1,1,1.000,0,2,.000,1,4,5,0,0,0,1,3,7,4.3,-1,2018,siakapa01,https://www.basketball-reference.com/players/s/siakapa01/gamelog/2018
10,9,2017-11-07,23-219,TOR,,CHI,W (+5),0,12:23,2,4,.500,0,1,.000,0,1,.000,0,2,2,0,0,0,1,2,4,0.4,+2,2018,siakapa01,https://www.basketball-reference.com/players/s/siakapa01/gamelog/2018
11,10,2017-11-09,23-221,TOR,,NOP,W (+4),0,13:18,1,2,.500,0,0,,0,3,.000,1,4,5,3,0,0,1,1,2,2.4,-11,2018,siakapa01,https://www.basketball-reference.com/players/s/siakapa01/gamelog/2018
