Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,session,player,gamelog_url
1,1,1968-10-18,29-149,BOS,@,DET,W (+18),,,11,,,4,6,.667,,,,26,1969,siegfla01,https://www.basketball-reference.com/players/s/siegfla01/gamelog/1969
2,2,1968-10-19,29-150,BOS,@,CHI,W (+10),,39:00,8,17,.471,10,10,1.000,6,1,3,26,1969,siegfla01,https://www.basketball-reference.com/players/s/siegfla01/gamelog/1969
3,3,1968-10-23,29-154,BOS,,CIN,W (+7),,37:00,7,19,.368,4,5,.800,5,5,4,18,1969,siegfla01,https://www.basketball-reference.com/players/s/siegfla01/gamelog/1969
4,4,1968-10-26,29-157,BOS,,MIL,W (+13),,39:00,6,20,.300,3,3,1.000,3,6,1,15,1969,siegfla01,https://www.basketball-reference.com/players/s/siegfla01/gamelog/1969
5,5,1968-10-29,29-160,BOS,,CHI,L (-6),,26:00,4,6,.667,2,3,.667,2,3,5,10,1969,siegfla01,https://www.basketball-reference.com/players/s/siegfla01/gamelog/1969
6,6,1968-10-30,29-161,BOS,,DET,L (-2),,36:00,7,13,.538,7,11,.636,1,5,5,21,1969,siegfla01,https://www.basketball-reference.com/players/s/siegfla01/gamelog/1969
7,7,1968-11-01,29-163,BOS,,PHI,W (+19),,39:00,10,21,.476,9,10,.900,7,8,3,29,1969,siegfla01,https://www.basketball-reference.com/players/s/siegfla01/gamelog/1969
8,8,1968-11-03,29-165,BOS,@,ATL,W (+20),,36:00,8,17,.471,4,6,.667,0,9,2,20,1969,siegfla01,https://www.basketball-reference.com/players/s/siegfla01/gamelog/1969
9,9,1968-11-08,29-170,BOS,,SEA,L (-2),,41:00,9,23,.391,8,8,1.000,8,2,5,26,1969,siegfla01,https://www.basketball-reference.com/players/s/siegfla01/gamelog/1969
10,10,1968-11-09,29-171,BOS,@,MIL,W (+1),,,4,,,5,5,1.000,,,1,13,1969,siegfla01,https://www.basketball-reference.com/players/s/siegfla01/gamelog/1969
11,11,1968-11-11,29-173,BOS,,SDR,W (+21),,33:00,8,17,.471,1,1,1.000,8,6,5,17,1969,siegfla01,https://www.basketball-reference.com/players/s/siegfla01/gamelog/1969
12,12,1968-11-15,29-177,BOS,,CIN,W (+11),,39:00,6,19,.316,2,2,1.000,5,5,3,14,1969,siegfla01,https://www.basketball-reference.com/players/s/siegfla01/gamelog/1969
13,13,1968-11-16,29-178,BOS,@,SDR,W (+8),,,5,,,1,1,1.000,,,,11,1969,siegfla01,https://www.basketball-reference.com/players/s/siegfla01/gamelog/1969
14,14,1968-11-17,29-179,BOS,@,PHO,W (+32),,36:00,10,19,.526,2,2,1.000,4,11,3,22,1969,siegfla01,https://www.basketball-reference.com/players/s/siegfla01/gamelog/1969
15,15,1968-11-19,29-181,BOS,@,LAL,L (-10),,,4,13,.308,1,1,1.000,2,5,1,9,1969,siegfla01,https://www.basketball-reference.com/players/s/siegfla01/gamelog/1969
16,16,1968-11-20,29-182,BOS,@,SEA,W (+47),,38:00,6,11,.545,4,4,1.000,5,4,4,16,1969,siegfla01,https://www.basketball-reference.com/players/s/siegfla01/gamelog/1969
17,17,1968-11-22,29-184,BOS,,PHO,W (+27),,30:00,5,11,.455,5,6,.833,2,7,1,15,1969,siegfla01,https://www.basketball-reference.com/players/s/siegfla01/gamelog/1969
18,18,1968-11-23,29-185,BOS,@,NYK,L (-11),,30:00,5,14,.357,6,6,1.000,3,4,1,16,1969,siegfla01,https://www.basketball-reference.com/players/s/siegfla01/gamelog/1969
19,19,1968-11-27,29-189,BOS,,NYK,W (+14),,46:00,11,21,.524,8,9,.889,7,7,4,30,1969,siegfla01,https://www.basketball-reference.com/players/s/siegfla01/gamelog/1969
20,20,1968-11-29,29-191,BOS,,LAL,L (-1),,40:00,2,12,.167,4,5,.800,4,3,2,8,1969,siegfla01,https://www.basketball-reference.com/players/s/siegfla01/gamelog/1969
21,21,1968-11-30,29-192,BOS,@,PHI,W (+4),,44:00,6,16,.375,6,6,1.000,4,3,4,18,1969,siegfla01,https://www.basketball-reference.com/players/s/siegfla01/gamelog/1969
22,22,1968-12-03,29-195,BOS,@,MIL,W (+22),,,8,,,4,4,1.000,,,1,20,1969,siegfla01,https://www.basketball-reference.com/players/s/siegfla01/gamelog/1969
23,23,1968-12-04,29-196,BOS,,MIL,W (+2),,29:00,2,13,.154,10,12,.833,2,1,4,14,1969,siegfla01,https://www.basketball-reference.com/players/s/siegfla01/gamelog/1969
24,24,1968-12-06,29-198,BOS,,DET,W (+14),,45:00,5,16,.313,0,1,.000,6,10,1,10,1969,siegfla01,https://www.basketball-reference.com/players/s/siegfla01/gamelog/1969
25,25,1968-12-07,29-199,BOS,@,CIN,W (+3),,,5,19,.263,7,10,.700,10,,2,17,1969,siegfla01,https://www.basketball-reference.com/players/s/siegfla01/gamelog/1969
26,26,1968-12-10,29-202,BOS,,BAL,L (-14),,34:00,5,14,.357,4,7,.571,1,1,2,14,1969,siegfla01,https://www.basketball-reference.com/players/s/siegfla01/gamelog/1969
27,27,1968-12-11,29-203,BOS,@,DET,W (+2),,,8,,,11,12,.917,,,3,27,1969,siegfla01,https://www.basketball-reference.com/players/s/siegfla01/gamelog/1969
28,28,1968-12-13,29-205,BOS,,SFW,L (-10),,38:00,4,14,.286,4,6,.667,1,3,3,12,1969,siegfla01,https://www.basketball-reference.com/players/s/siegfla01/gamelog/1969
29,29,1968-12-14,29-206,BOS,@,BAL,L (-9),,,8,,,9,9,1.000,,,4,25,1969,siegfla01,https://www.basketball-reference.com/players/s/siegfla01/gamelog/1969
30,30,1968-12-18,29-210,BOS,,NYK,L (-6),,36:00,2,12,.167,5,5,1.000,4,3,5,9,1969,siegfla01,https://www.basketball-reference.com/players/s/siegfla01/gamelog/1969
