Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,session,player,gamelog_url
1,1,1995-12-13,31-283,PHI,@,BOS,L (-11),1,45:00,2,8,0.25,2,5,0.4,4,6,0.667,1,5,6,6,0,0,5,5,10,3.8,1996,skilesc01,https://www.basketball-reference.com/players/s/skilesc01/gamelog/1996
2,2,1995-12-17,31-287,PHI,@,MIN,W (+2),1,44:00,7,15,0.467,6,12,0.5,2,2,1.0,0,0,0,5,3,0,2,4,22,17.2,1996,skilesc01,https://www.basketball-reference.com/players/s/skilesc01/gamelog/1996
3,3,1995-12-20,31-290,PHI,,UTA,W (+4),1,17:00,1,4,0.25,1,3,0.333,0,0,,0,1,1,0,1,0,2,1,3,-0.5,1996,skilesc01,https://www.basketball-reference.com/players/s/skilesc01/gamelog/1996
4,4,1995-12-22,31-292,PHI,,MIL,L (-5),1,21:00,2,5,0.4,2,3,0.667,0,0,,0,1,1,9,1,0,1,3,6,8.7,1996,skilesc01,https://www.basketball-reference.com/players/s/skilesc01/gamelog/1996
5,5,1995-12-23,31-293,PHI,,NJN,L (-13),1,26:00,0,5,0.0,0,3,0.0,0,0,,0,1,1,9,1,0,1,3,0,1.9,1996,skilesc01,https://www.basketball-reference.com/players/s/skilesc01/gamelog/1996
6,6,1995-12-27,31-297,PHI,@,PHO,L (-15),1,23:00,3,7,0.429,1,3,0.333,0,0,,0,1,1,4,0,0,1,2,7,4.6,1996,skilesc01,https://www.basketball-reference.com/players/s/skilesc01/gamelog/1996
7,7,1995-12-29,31-299,PHI,@,SAC,L (-20),1,20:00,3,9,0.333,2,4,0.5,1,1,1.0,0,2,2,1,0,0,0,1,9,4.8,1996,skilesc01,https://www.basketball-reference.com/players/s/skilesc01/gamelog/1996
8,8,1995-12-30,31-300,PHI,@,DEN,L (-8),1,10:00,2,3,0.667,1,1,1.0,1,1,1.0,0,1,1,0,0,0,1,0,6,4.0,1996,skilesc01,https://www.basketball-reference.com/players/s/skilesc01/gamelog/1996
9,9,1996-01-02,31-303,PHI,@,LAL,W (+1),1,19:00,0,1,0.0,0,0,,0,0,,0,2,2,2,0,0,2,1,0,-1.1,1996,skilesc01,https://www.basketball-reference.com/players/s/skilesc01/gamelog/1996
10,10,1996-01-03,31-304,PHI,@,GSW,L (-11),0,11:00,0,0,,0,0,,0,0,,0,1,1,2,1,0,1,1,0,1.3,1996,skilesc01,https://www.basketball-reference.com/players/s/skilesc01/gamelog/1996
