Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,session,player,gamelog_url
1,1,1993-11-05,23-172,MIN,@,DET,L (-5),0,18:00,4,6,.667,0,0,,2,4,.500,2,2,4,8,2,0,3,6,10,10.8,1994,smithch03,https://www.basketball-reference.com/players/s/smithch03/gamelog/1994
2,2,1993-11-06,23-173,MIN,,UTA,L (-10),0,19:00,2,5,.400,0,0,,0,1,.000,0,3,3,4,0,0,2,1,4,2.2,1994,smithch03,https://www.basketball-reference.com/players/s/smithch03/gamelog/1994
3,3,1993-11-09,23-176,MIN,@,SAS,L (-15),0,16:00,2,7,.286,0,0,,1,1,1.000,0,0,0,1,0,0,1,0,5,0.6,1994,smithch03,https://www.basketball-reference.com/players/s/smithch03/gamelog/1994
4,4,1993-11-11,23-178,MIN,@,HOU,L (-8),0,5:00,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,1994,smithch03,https://www.basketball-reference.com/players/s/smithch03/gamelog/1994
5,5,1993-11-12,23-179,MIN,,DAL,L (-16),0,17:00,2,3,.667,0,1,.000,2,4,.500,0,2,2,8,0,0,0,1,6,9.7,1994,smithch03,https://www.basketball-reference.com/players/s/smithch03/gamelog/1994
6,6,1993-11-16,23-183,MIN,@,MIL,W (+4),0,18:00,3,4,.750,0,0,,2,2,1.000,0,2,2,3,0,0,2,3,8,5.9,1994,smithch03,https://www.basketball-reference.com/players/s/smithch03/gamelog/1994
7,7,1993-11-19,23-186,MIN,,SAC,W (+5),0,14:00,5,7,.714,0,2,.000,1,2,.500,0,2,2,1,3,0,1,2,11,10.2,1994,smithch03,https://www.basketball-reference.com/players/s/smithch03/gamelog/1994
8,8,1993-11-20,23-187,MIN,,DEN,L (-1),0,16:00,4,9,.444,0,0,,4,4,1.000,1,0,1,2,0,2,0,2,12,10.0,1994,smithch03,https://www.basketball-reference.com/players/s/smithch03/gamelog/1994
9,9,1993-11-24,23-191,MIN,,NJN,W (+1),0,11:00,0,2,.000,0,1,.000,1,2,.500,0,0,0,5,1,1,0,0,1,4.4,1994,smithch03,https://www.basketball-reference.com/players/s/smithch03/gamelog/1994
10,10,1993-11-26,23-193,MIN,,SEA,L (-18),0,9:00,0,2,.000,0,0,,0,0,,0,0,0,3,0,0,1,2,0,-1.1,1994,smithch03,https://www.basketball-reference.com/players/s/smithch03/gamelog/1994
