Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,session,player,gamelog_url
1,1,1985-10-25,23-358,LAC,@,SAC,W (+4),1,36:00,14,19,0.737,0,0,,8,14,0.571,4,2,6,1,1,2,4,6,36,26.0,1986,smithde02,https://www.basketball-reference.com/players/s/smithde02/gamelog/1986
2,2,1985-10-26,23-359,LAC,,HOU,W (+1),1,34:00,11,23,0.478,0,0,,4,9,0.444,0,2,2,0,1,0,2,6,26,9.5,1986,smithde02,https://www.basketball-reference.com/players/s/smithde02/gamelog/1986
3,3,1985-10-29,23-362,LAC,,POR,W (+6),1,32:00,12,20,0.6,0,0,,4,5,0.8,1,3,4,6,1,1,1,1,28,24.5,1986,smithde02,https://www.basketball-reference.com/players/s/smithde02/gamelog/1986
4,4,1985-10-31,23-364,LAC,,CHI,W (+8),1,32:00,9,16,0.563,0,0,,3,3,1.0,0,3,3,1,0,0,3,3,21,10.8,1986,smithde02,https://www.basketball-reference.com/players/s/smithde02/gamelog/1986
5,5,1985-11-02,24-001,LAC,,NYK,W (+8),1,30:00,5,11,0.455,0,0,,4,4,1.0,3,2,5,3,0,3,6,2,14,8.4,1986,smithde02,https://www.basketball-reference.com/players/s/smithde02/gamelog/1986
6,6,1985-11-07,24-006,LAC,@,HOU,L (-22),1,28:00,13,19,0.684,0,0,,9,12,0.75,3,2,5,2,3,0,2,4,35,29.2,1986,smithde02,https://www.basketball-reference.com/players/s/smithde02/gamelog/1986
7,7,1985-11-09,24-008,LAC,,ATL,L (-3),1,40:00,9,26,0.346,0,1,0.0,11,12,0.917,2,1,3,4,2,1,2,4,29,17.6,1986,smithde02,https://www.basketball-reference.com/players/s/smithde02/gamelog/1986
8,8,1985-11-12,24-011,LAC,@,GSW,L (-12),1,41:00,12,19,0.632,0,0,,5,8,0.625,3,0,3,7,1,3,5,3,29,23.2,1986,smithde02,https://www.basketball-reference.com/players/s/smithde02/gamelog/1986
9,9,1985-11-13,24-012,LAC,,SEA,L (-4),1,42:00,10,17,0.588,0,0,,6,10,0.6,4,4,8,4,0,3,5,3,26,19.2,1986,smithde02,https://www.basketball-reference.com/players/s/smithde02/gamelog/1986
10,10,1985-12-18,24-047,LAC,,GSW,W (+4),0,13:00,3,5,0.6,1,1,1.0,3,6,0.5,0,2,2,2,0,0,1,1,10,7.1,1986,smithde02,https://www.basketball-reference.com/players/s/smithde02/gamelog/1986
11,11,1985-12-25,24-054,LAC,@,POR,L (-14),0,11:00,2,6,0.333,0,0,,1,1,1.0,0,0,0,1,0,0,2,2,5,-0.5,1986,smithde02,https://www.basketball-reference.com/players/s/smithde02/gamelog/1986
