Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2004-11-03,18-334,ATL,@,PHO,L (-30),0,23:52,3,10,.300,0,0,,1,2,.500,4,3,7,3,0,1,3,2,7,3.5,-9,2005,smithjo03,https://www.basketball-reference.com/players/s/smithjo03/gamelog/2005
2,2,2004-11-05,18-336,ATL,@,SEA,L (-21),0,12:45,1,2,.500,0,0,,1,2,.500,0,1,1,0,1,0,1,3,3,0.7,-2,2005,smithjo03,https://www.basketball-reference.com/players/s/smithjo03/gamelog/2005
3,3,2004-11-07,18-338,ATL,@,LAL,L (-16),0,16:49,3,9,.333,0,1,.000,1,2,.500,2,4,6,0,0,1,1,1,7,3.4,-9,2005,smithjo03,https://www.basketball-reference.com/players/s/smithjo03/gamelog/2005
4,4,2004-11-09,18-340,ATL,,CLE,L (-14),0,4:59,0,1,.000,0,0,,0,0,,1,0,1,0,0,1,1,0,0,-0.3,0,2005,smithjo03,https://www.basketball-reference.com/players/s/smithjo03/gamelog/2005
5,5,2004-11-12,18-343,ATL,@,NOH,W (+1),0,3:46,0,1,.000,0,0,,1,2,.500,0,0,0,1,0,0,0,0,1,0.6,-4,2005,smithjo03,https://www.basketball-reference.com/players/s/smithjo03/gamelog/2005
6,6,2004-11-13,18-344,ATL,,SAS,L (-15),0,4:08,1,2,.500,0,0,,0,0,,0,0,0,1,0,0,0,0,2,1.7,-1,2005,smithjo03,https://www.basketball-reference.com/players/s/smithjo03/gamelog/2005
7,,2004-11-16,18-347,ATL,,HOU,W (+4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2005,smithjo03,https://www.basketball-reference.com/players/s/smithjo03/gamelog/2005
8,,2004-11-17,18-348,ATL,@,IND,L (-7),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2005,smithjo03,https://www.basketball-reference.com/players/s/smithjo03/gamelog/2005
9,,2004-11-20,18-351,ATL,,UTA,L (-13),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2005,smithjo03,https://www.basketball-reference.com/players/s/smithjo03/gamelog/2005
10,7,2004-11-23,18-354,ATL,@,NYK,L (-16),0,10:37,2,3,.667,0,0,,2,3,.667,0,0,0,0,0,0,2,3,6,1.1,+4,2005,smithjo03,https://www.basketball-reference.com/players/s/smithjo03/gamelog/2005
11,8,2004-11-24,18-355,ATL,,MIA,L (-6),0,17:12,1,2,.500,0,0,,2,2,1.000,1,2,3,1,1,3,0,1,4,7.7,+1,2005,smithjo03,https://www.basketball-reference.com/players/s/smithjo03/gamelog/2005
12,9,2004-11-26,18-357,ATL,,ORL,L (-18),0,17:07,3,3,1.000,0,0,,2,4,.500,1,2,3,0,2,1,2,1,8,7.9,-7,2005,smithjo03,https://www.basketball-reference.com/players/s/smithjo03/gamelog/2005
13,10,2004-11-27,18-358,ATL,@,CHA,L (-15),0,8:36,0,1,.000,0,1,.000,0,0,,0,2,2,1,0,0,0,2,0,-0.2,+8,2005,smithjo03,https://www.basketball-reference.com/players/s/smithjo03/gamelog/2005
14,11,2004-11-30,18-361,ATL,,NYK,L (-1),0,12:47,3,4,.750,0,0,,2,3,.667,0,1,1,2,0,1,0,1,8,8.0,+5,2005,smithjo03,https://www.basketball-reference.com/players/s/smithjo03/gamelog/2005
15,12,2004-12-03,18-364,ATL,,WAS,L (-24),0,9:29,5,6,.833,0,0,,1,2,.500,2,3,5,1,0,0,4,1,11,7.0,+6,2005,smithjo03,https://www.basketball-reference.com/players/s/smithjo03/gamelog/2005
16,13,2004-12-04,18-365,ATL,@,NJN,L (-21),0,22:05,3,7,.429,0,0,,3,3,1.000,2,3,5,1,0,1,2,3,9,5.8,0,2005,smithjo03,https://www.basketball-reference.com/players/s/smithjo03/gamelog/2005
17,14,2004-12-06,19-001,ATL,,PHI,W (+4),0,18:12,4,6,.667,0,1,.000,3,3,1.000,5,5,10,1,0,2,1,2,11,13.7,+5,2005,smithjo03,https://www.basketball-reference.com/players/s/smithjo03/gamelog/2005
18,15,2004-12-08,19-003,ATL,,MEM,L (-8),0,22:41,2,5,.400,0,0,,4,5,.800,2,3,5,1,0,1,0,3,8,7.4,-8,2005,smithjo03,https://www.basketball-reference.com/players/s/smithjo03/gamelog/2005
19,16,2004-12-10,19-005,ATL,@,DET,W (+16),1,26:33,5,7,.714,0,0,,2,3,.667,2,3,5,2,0,4,1,0,12,14.2,+11,2005,smithjo03,https://www.basketball-reference.com/players/s/smithjo03/gamelog/2005
20,17,2004-12-11,19-006,ATL,,NJN,L (-5),1,29:27,5,11,.455,0,0,,1,2,.500,6,1,7,0,2,1,1,2,11,10.3,-7,2005,smithjo03,https://www.basketball-reference.com/players/s/smithjo03/gamelog/2005
21,18,2004-12-14,19-009,ATL,,IND,L (-11),1,14:39,0,3,.000,0,0,,0,0,,0,1,1,0,0,1,0,2,0,-1.9,-8,2005,smithjo03,https://www.basketball-reference.com/players/s/smithjo03/gamelog/2005
22,19,2004-12-15,19-010,ATL,@,HOU,L (-23),1,34:09,3,5,.600,0,0,,8,12,.667,1,9,10,3,3,2,6,4,14,12.4,-22,2005,smithjo03,https://www.basketball-reference.com/players/s/smithjo03/gamelog/2005
23,20,2004-12-17,19-012,ATL,,POR,L (-16),1,32:39,6,11,.545,0,1,.000,2,5,.400,2,3,5,5,3,1,2,1,14,14.6,-28,2005,smithjo03,https://www.basketball-reference.com/players/s/smithjo03/gamelog/2005
24,21,2004-12-18,19-013,ATL,@,DAL,L (-22),1,33:27,4,11,.364,0,0,,1,2,.500,2,5,7,4,0,10,3,0,9,12.2,-9,2005,smithjo03,https://www.basketball-reference.com/players/s/smithjo03/gamelog/2005
25,22,2004-12-22,19-017,ATL,,DAL,W (+13),1,33:51,5,9,.556,0,0,,4,8,.500,4,5,9,3,1,1,1,4,14,13.6,0,2005,smithjo03,https://www.basketball-reference.com/players/s/smithjo03/gamelog/2005
26,23,2004-12-27,19-022,ATL,@,MIA,L (-14),1,24:06,3,6,.500,0,0,,2,2,1.000,4,4,8,2,1,3,1,3,8,11.3,-1,2005,smithjo03,https://www.basketball-reference.com/players/s/smithjo03/gamelog/2005
27,24,2004-12-28,19-023,ATL,,CLE,L (-9),1,19:22,2,5,.400,0,0,,0,0,,2,0,2,2,0,2,0,0,4,5.5,-4,2005,smithjo03,https://www.basketball-reference.com/players/s/smithjo03/gamelog/2005
28,25,2004-12-30,19-025,ATL,,SEA,L (-15),1,32:14,5,11,.455,0,0,,0,0,,3,4,7,0,0,1,2,2,10,5.5,0,2005,smithjo03,https://www.basketball-reference.com/players/s/smithjo03/gamelog/2005
29,26,2005-01-02,19-028,ATL,@,WAS,L (-3),1,25:21,2,6,.333,0,0,,0,0,,2,4,6,2,1,4,4,1,4,4.0,-18,2005,smithjo03,https://www.basketball-reference.com/players/s/smithjo03/gamelog/2005
30,27,2005-01-05,19-031,ATL,@,CLE,L (-16),1,32:11,5,7,.714,0,0,,1,1,1.000,1,3,4,3,0,0,0,1,11,11.4,-11,2005,smithjo03,https://www.basketball-reference.com/players/s/smithjo03/gamelog/2005
31,28,2005-01-07,19-033,ATL,,SAC,L (-3),1,33:30,8,11,.727,0,0,,0,0,,4,4,8,1,3,1,1,4,16,17.3,+1,2005,smithjo03,https://www.basketball-reference.com/players/s/smithjo03/gamelog/2005
32,29,2005-01-11,19-037,ATL,,MIL,W (+23),1,33:29,5,5,1.000,0,0,,1,2,.500,2,5,7,2,4,4,2,2,11,17.4,+19,2005,smithjo03,https://www.basketball-reference.com/players/s/smithjo03/gamelog/2005
33,30,2005-01-14,19-040,ATL,@,BOS,L (-12),1,27:42,3,7,.429,0,0,,5,6,.833,5,1,6,3,2,4,0,4,11,16.0,-10,2005,smithjo03,https://www.basketball-reference.com/players/s/smithjo03/gamelog/2005
34,31,2005-01-15,19-041,ATL,,CHA,W (+8),1,30:44,4,11,.364,0,0,,0,2,.000,5,5,10,1,1,3,2,3,8,6.7,+2,2005,smithjo03,https://www.basketball-reference.com/players/s/smithjo03/gamelog/2005
35,32,2005-01-17,19-043,ATL,,NJN,L (-1),1,33:22,2,7,.286,0,0,,1,2,.500,5,5,10,5,2,3,3,2,5,9.3,+4,2005,smithjo03,https://www.basketball-reference.com/players/s/smithjo03/gamelog/2005
36,33,2005-01-19,19-045,ATL,@,MIA,L (-19),1,36:44,5,9,.556,0,0,,3,4,.750,2,7,9,1,2,3,2,3,13,13.4,-11,2005,smithjo03,https://www.basketball-reference.com/players/s/smithjo03/gamelog/2005
37,34,2005-01-21,19-047,ATL,@,CHI,L (-10),1,33:56,2,6,.333,0,0,,3,4,.750,6,6,12,1,1,1,2,1,7,9.2,-15,2005,smithjo03,https://www.basketball-reference.com/players/s/smithjo03/gamelog/2005
38,35,2005-01-22,19-048,ATL,,BOS,W (+4),1,33:18,3,7,.429,0,0,,1,2,.500,4,5,9,2,1,1,3,1,7,6.9,+5,2005,smithjo03,https://www.basketball-reference.com/players/s/smithjo03/gamelog/2005
39,36,2005-01-24,19-050,ATL,,CHI,L (-25),1,30:54,3,6,.500,0,0,,5,6,.833,2,5,7,3,0,1,3,0,11,10.3,-2,2005,smithjo03,https://www.basketball-reference.com/players/s/smithjo03/gamelog/2005
40,37,2005-01-26,19-052,ATL,@,MIN,L (-17),1,38:04,2,6,.333,0,0,,4,5,.800,1,6,7,3,0,1,1,1,8,8.1,-4,2005,smithjo03,https://www.basketball-reference.com/players/s/smithjo03/gamelog/2005
41,38,2005-01-28,19-054,ATL,,MIA,L (-10),1,19:51,4,6,.667,0,0,,0,0,,0,2,2,1,0,2,2,4,8,4.5,-9,2005,smithjo03,https://www.basketball-reference.com/players/s/smithjo03/gamelog/2005
42,39,2005-01-29,19-055,ATL,@,MEM,L (-1),1,20:37,5,7,.714,0,0,,0,0,,0,0,0,1,0,0,0,1,10,7.4,-4,2005,smithjo03,https://www.basketball-reference.com/players/s/smithjo03/gamelog/2005
43,40,2005-01-31,19-057,ATL,,ORL,W (+1),1,11:30,0,2,.000,0,0,,2,2,1.000,0,2,2,0,1,2,0,0,2,3.6,+3,2005,smithjo03,https://www.basketball-reference.com/players/s/smithjo03/gamelog/2005
44,,2005-02-02,19-059,ATL,@,DET,L (-15),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2005,smithjo03,https://www.basketball-reference.com/players/s/smithjo03/gamelog/2005
45,41,2005-02-12,19-069,ATL,@,MIL,L (-30),1,23:32,0,6,.000,0,0,,2,2,1.000,2,4,6,2,0,1,5,5,2,-4.5,-20,2005,smithjo03,https://www.basketball-reference.com/players/s/smithjo03/gamelog/2005
46,42,2005-02-15,19-072,ATL,,DEN,L (-4),1,30:16,4,12,.333,0,0,,7,8,.875,3,2,5,3,1,5,2,1,15,14.7,-7,2005,smithjo03,https://www.basketball-reference.com/players/s/smithjo03/gamelog/2005
47,43,2005-02-16,19-073,ATL,@,CLE,L (-22),1,33:49,5,11,.455,0,0,,1,1,1.000,0,2,2,4,1,3,3,2,11,8.0,-11,2005,smithjo03,https://www.basketball-reference.com/players/s/smithjo03/gamelog/2005
48,44,2005-02-22,19-079,ATL,@,SAC,L (-10),1,35:00,7,15,.467,0,0,,5,5,1.000,3,7,10,4,1,4,0,1,19,21.7,+5,2005,smithjo03,https://www.basketball-reference.com/players/s/smithjo03/gamelog/2005
49,45,2005-02-23,19-080,ATL,@,GSW,L (-5),1,25:47,2,8,.250,0,0,,1,2,.500,1,7,8,1,1,2,3,3,5,1.5,-15,2005,smithjo03,https://www.basketball-reference.com/players/s/smithjo03/gamelog/2005
50,46,2005-02-25,19-082,ATL,@,POR,L (-1),1,28:46,3,9,.333,0,2,.000,1,2,.500,0,2,2,2,1,4,2,3,7,4.1,-2,2005,smithjo03,https://www.basketball-reference.com/players/s/smithjo03/gamelog/2005
51,47,2005-02-27,19-084,ATL,@,LAC,L (-7),1,26:11,2,6,.333,0,0,,1,6,.167,2,3,5,1,0,2,3,2,5,0.2,-4,2005,smithjo03,https://www.basketball-reference.com/players/s/smithjo03/gamelog/2005
52,48,2005-03-01,19-086,ATL,@,DEN,L (-23),1,33:32,4,7,.571,0,0,,1,2,.500,1,3,4,1,2,1,5,3,9,4.1,-14,2005,smithjo03,https://www.basketball-reference.com/players/s/smithjo03/gamelog/2005
53,49,2005-03-02,19-087,ATL,@,UTA,L (-22),1,37:10,4,15,.267,0,1,.000,2,2,1.000,1,6,7,1,2,1,3,3,10,2.8,-21,2005,smithjo03,https://www.basketball-reference.com/players/s/smithjo03/gamelog/2005
