Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,1996-11-01,27-215,ATL,@,MIA,L (-13),1,38:33,5,14,.357,0,1,.000,7,9,.778,1,0,1,1,0,0,1,4,17,7.2,-10,1997,smithst01,https://www.basketball-reference.com/players/s/smithst01/gamelog/1997
2,2,1996-11-02,27-216,ATL,,DET,L (-12),1,40:58,9,19,.474,3,7,.429,2,2,1.000,1,3,4,3,0,1,3,4,23,13.1,-24,1997,smithst01,https://www.basketball-reference.com/players/s/smithst01/gamelog/1997
3,3,1996-11-04,27-218,ATL,@,POR,W (+18),1,37:29,7,15,.467,3,5,.600,2,4,.500,0,2,2,5,0,0,5,2,19,8.8,+6,1997,smithst01,https://www.basketball-reference.com/players/s/smithst01/gamelog/1997
4,4,1996-11-05,27-219,ATL,@,SEA,W (+22),1,37:48,8,19,.421,5,11,.455,6,6,1.000,3,6,9,7,2,0,4,2,27,22.9,+28,1997,smithst01,https://www.basketball-reference.com/players/s/smithst01/gamelog/1997
5,5,1996-11-07,27-221,ATL,@,SAC,W (+4),1,37:21,5,15,.333,0,4,.000,5,10,.500,0,2,2,4,0,1,0,4,15,7.0,+2,1997,smithst01,https://www.basketball-reference.com/players/s/smithst01/gamelog/1997
6,6,1996-11-10,27-224,ATL,@,LAL,L (-7),1,21:59,5,11,.455,3,7,.429,1,1,1.000,1,2,3,3,0,0,1,1,14,10.3,+2,1997,smithst01,https://www.basketball-reference.com/players/s/smithst01/gamelog/1997
7,,1996-11-12,27-226,ATL,,CLE,W (+4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,1997,smithst01,https://www.basketball-reference.com/players/s/smithst01/gamelog/1997
8,,1996-11-13,27-227,ATL,@,BOS,L (-18),Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,1997,smithst01,https://www.basketball-reference.com/players/s/smithst01/gamelog/1997
9,,1996-11-15,27-229,ATL,,MIA,W (+8),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,1997,smithst01,https://www.basketball-reference.com/players/s/smithst01/gamelog/1997
10,,1996-11-21,27-235,ATL,@,MIL,W (+8),Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,1997,smithst01,https://www.basketball-reference.com/players/s/smithst01/gamelog/1997
11,,1996-11-23,27-237,ATL,@,TOR,W (+3),Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,1997,smithst01,https://www.basketball-reference.com/players/s/smithst01/gamelog/1997
12,,1996-11-26,27-240,ATL,,VAN,W (+21),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,1997,smithst01,https://www.basketball-reference.com/players/s/smithst01/gamelog/1997
13,,1996-11-27,27-241,ATL,@,ORL,L (-4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,1997,smithst01,https://www.basketball-reference.com/players/s/smithst01/gamelog/1997
14,,1996-11-29,27-243,ATL,,WSB,W (+29),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,1997,smithst01,https://www.basketball-reference.com/players/s/smithst01/gamelog/1997
