Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,session,player,gamelog_url
1,1,1990-11-02,22-291,MIN,,DAL,W (+13),0,20:00,1,3,.333,0,0,,0,0,,1,4,5,0,1,0,4,4,2,-2.4,1991,spencfe01,https://www.basketball-reference.com/players/s/spencfe01/gamelog/1991
2,2,1990-11-03,22-292,MIN,@,MIL,L (-18),0,18:00,2,5,.400,0,0,,2,3,.667,4,4,8,0,0,1,2,3,6,4.4,1991,spencfe01,https://www.basketball-reference.com/players/s/spencfe01/gamelog/1991
3,3,1990-11-06,22-295,MIN,@,IND,L (-2),0,17:00,1,5,.200,0,0,,1,1,1.000,3,4,7,0,0,1,2,3,3,0.7,1991,spencfe01,https://www.basketball-reference.com/players/s/spencfe01/gamelog/1991
4,4,1990-11-07,22-296,MIN,,CHI,L (-5),0,26:00,4,5,.800,0,0,,2,2,1.000,5,4,9,0,1,1,0,6,10,12.1,1991,spencfe01,https://www.basketball-reference.com/players/s/spencfe01/gamelog/1991
5,5,1990-11-09,22-298,MIN,,CHH,W (+29),0,23:00,3,3,1.000,0,0,,2,2,1.000,3,7,10,0,2,4,1,4,8,13.5,1991,spencfe01,https://www.basketball-reference.com/players/s/spencfe01/gamelog/1991
6,6,1990-11-11,22-300,MIN,,ORL,W (+27),0,27:00,2,2,1.000,0,0,,3,6,.500,3,6,9,0,0,3,1,3,7,9.0,1991,spencfe01,https://www.basketball-reference.com/players/s/spencfe01/gamelog/1991
7,7,1990-11-13,22-302,MIN,@,HOU,L (-2),0,23:00,4,5,.800,0,0,,0,0,,2,3,5,0,0,1,2,4,8,5.5,1991,spencfe01,https://www.basketball-reference.com/players/s/spencfe01/gamelog/1991
8,8,1990-11-15,22-304,MIN,@,DEN,L (-13),0,7:00,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.7,1991,spencfe01,https://www.basketball-reference.com/players/s/spencfe01/gamelog/1991
9,9,1990-11-18,22-307,MIN,,UTA,L (-9),0,15:00,2,4,.500,0,0,,0,1,.000,2,1,3,0,2,0,0,4,4,3.7,1991,spencfe01,https://www.basketball-reference.com/players/s/spencfe01/gamelog/1991
10,10,1990-11-20,22-309,MIN,@,DAL,W (+1),0,26:00,0,4,.000,0,0,,0,2,.000,4,5,9,1,1,1,0,4,0,1.5,1991,spencfe01,https://www.basketball-reference.com/players/s/spencfe01/gamelog/1991
11,11,1990-11-21,22-310,MIN,@,SAS,L (-14),0,10:00,0,2,.000,0,0,,0,0,,1,3,4,0,0,0,0,4,0,-1.4,1991,spencfe01,https://www.basketball-reference.com/players/s/spencfe01/gamelog/1991
12,12,1990-11-25,22-314,MIN,,HOU,L (-16),0,10:00,0,1,.000,0,0,,0,0,,1,1,2,0,0,0,0,1,0,-0.1,1991,spencfe01,https://www.basketball-reference.com/players/s/spencfe01/gamelog/1991
13,13,1990-11-27,22-316,MIN,@,SAC,W (+9),0,35:00,3,9,.333,0,0,,2,3,.667,3,10,13,0,1,2,1,3,8,7.8,1991,spencfe01,https://www.basketball-reference.com/players/s/spencfe01/gamelog/1991
14,14,1990-11-29,22-318,MIN,@,POR,L (-15),0,32:00,2,3,.667,0,0,,2,4,.500,1,8,9,0,0,3,1,6,6,5.7,1991,spencfe01,https://www.basketball-reference.com/players/s/spencfe01/gamelog/1991
15,15,1990-11-30,22-319,MIN,@,UTA,L (-17),1,32:00,0,4,.000,0,0,,0,0,,3,6,9,0,1,1,1,5,0,-0.2,1991,spencfe01,https://www.basketball-reference.com/players/s/spencfe01/gamelog/1991
16,16,1990-12-02,22-321,MIN,@,LAC,L (-25),1,21:00,0,1,.000,0,0,,0,0,,1,5,6,0,1,0,0,6,0,0.1,1991,spencfe01,https://www.basketball-reference.com/players/s/spencfe01/gamelog/1991
17,17,1990-12-04,22-323,MIN,,IND,W (+2),1,28:00,2,4,.500,0,0,,0,0,,1,7,8,0,0,2,1,5,4,3.2,1991,spencfe01,https://www.basketball-reference.com/players/s/spencfe01/gamelog/1991
18,18,1990-12-06,22-325,MIN,,LAL,L (-10),1,37:00,5,9,.556,0,0,,3,4,.750,4,7,11,0,0,3,0,5,13,13.3,1991,spencfe01,https://www.basketball-reference.com/players/s/spencfe01/gamelog/1991
19,19,1990-12-11,22-330,MIN,,LAC,W (+6),1,35:00,7,10,.700,0,0,,9,11,.818,11,5,16,0,0,6,4,4,23,25.8,1991,spencfe01,https://www.basketball-reference.com/players/s/spencfe01/gamelog/1991
