Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,,2005-11-02,19-334,SEA,,LAC,L (-8),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2006,swiftro01,https://www.basketball-reference.com/players/s/swiftro01/gamelog/2006
2,,2005-11-04,19-336,SEA,,MIN,W (+5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2006,swiftro01,https://www.basketball-reference.com/players/s/swiftro01/gamelog/2006
3,,2005-11-08,19-340,SEA,@,MEM,L (-25),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2006,swiftro01,https://www.basketball-reference.com/players/s/swiftro01/gamelog/2006
4,,2005-11-09,19-341,SEA,@,CLE,L (-27),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2006,swiftro01,https://www.basketball-reference.com/players/s/swiftro01/gamelog/2006
5,,2005-11-11,19-343,SEA,@,WAS,L (-41),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2006,swiftro01,https://www.basketball-reference.com/players/s/swiftro01/gamelog/2006
6,,2005-11-13,19-345,SEA,@,TOR,W (+5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2006,swiftro01,https://www.basketball-reference.com/players/s/swiftro01/gamelog/2006
7,,2005-11-15,19-347,SEA,@,NJN,L (-10),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2006,swiftro01,https://www.basketball-reference.com/players/s/swiftro01/gamelog/2006
8,,2005-11-16,19-348,SEA,@,BOS,W (+13),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2006,swiftro01,https://www.basketball-reference.com/players/s/swiftro01/gamelog/2006
9,,2005-11-18,19-350,SEA,,CHI,W (+14),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2006,swiftro01,https://www.basketball-reference.com/players/s/swiftro01/gamelog/2006
10,,2005-11-20,19-352,SEA,,SAC,W (+2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2006,swiftro01,https://www.basketball-reference.com/players/s/swiftro01/gamelog/2006
11,,2005-11-22,19-354,SEA,,UTA,L (-6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2006,swiftro01,https://www.basketball-reference.com/players/s/swiftro01/gamelog/2006
12,,2005-11-24,19-356,SEA,@,LAL,L (-12),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2006,swiftro01,https://www.basketball-reference.com/players/s/swiftro01/gamelog/2006
13,,2005-11-26,19-358,SEA,,NOK,L (-6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2006,swiftro01,https://www.basketball-reference.com/players/s/swiftro01/gamelog/2006
14,,2005-11-30,19-362,SEA,,CHA,W (+10),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2006,swiftro01,https://www.basketball-reference.com/players/s/swiftro01/gamelog/2006
15,,2005-12-02,19-364,SEA,,CLE,W (+7),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2006,swiftro01,https://www.basketball-reference.com/players/s/swiftro01/gamelog/2006
16,,2005-12-04,20-001,SEA,,IND,W (+5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2006,swiftro01,https://www.basketball-reference.com/players/s/swiftro01/gamelog/2006
17,1,2005-12-06,20-003,SEA,,NYK,L (-3),0,9:45,0,2,.000,0,0,,0,0,,1,1,2,0,0,0,0,2,0,-1.2,-3,2006,swiftro01,https://www.basketball-reference.com/players/s/swiftro01/gamelog/2006
18,,2005-12-09,20-006,SEA,@,UTA,W (+16),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2006,swiftro01,https://www.basketball-reference.com/players/s/swiftro01/gamelog/2006
19,,2005-12-10,20-007,SEA,,SAC,L (-19),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2006,swiftro01,https://www.basketball-reference.com/players/s/swiftro01/gamelog/2006
20,,2005-12-13,20-010,SEA,,GSW,L (-3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2006,swiftro01,https://www.basketball-reference.com/players/s/swiftro01/gamelog/2006
21,,2005-12-15,20-012,SEA,,HOU,L (-6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2006,swiftro01,https://www.basketball-reference.com/players/s/swiftro01/gamelog/2006
22,2,2005-12-16,20-013,SEA,@,POR,W (+12),0,3:25,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-11,2006,swiftro01,https://www.basketball-reference.com/players/s/swiftro01/gamelog/2006
23,,2005-12-19,20-016,SEA,,WAS,W (+10),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2006,swiftro01,https://www.basketball-reference.com/players/s/swiftro01/gamelog/2006
24,,2005-12-20,20-017,SEA,@,PHO,L (-28),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2006,swiftro01,https://www.basketball-reference.com/players/s/swiftro01/gamelog/2006
25,,2005-12-23,20-020,SEA,,DAL,L (-3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2006,swiftro01,https://www.basketball-reference.com/players/s/swiftro01/gamelog/2006
26,,2005-12-26,20-023,SEA,,BOS,W (+7),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2006,swiftro01,https://www.basketball-reference.com/players/s/swiftro01/gamelog/2006
27,3,2005-12-28,20-025,SEA,@,MIN,L (-13),0,2:52,0,2,.000,0,0,,1,2,.500,2,0,2,0,0,0,0,1,1,0.2,+2,2006,swiftro01,https://www.basketball-reference.com/players/s/swiftro01/gamelog/2006
28,,2005-12-29,20-026,SEA,@,DEN,W (+7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2006,swiftro01,https://www.basketball-reference.com/players/s/swiftro01/gamelog/2006
29,,2006-01-02,20-030,SEA,@,IND,L (-19),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2006,swiftro01,https://www.basketball-reference.com/players/s/swiftro01/gamelog/2006
30,4,2006-01-04,20-032,SEA,@,CHI,W (+4),0,7:46,1,2,.500,0,0,,0,0,,0,0,0,0,0,1,0,5,2,-0.3,+11,2006,swiftro01,https://www.basketball-reference.com/players/s/swiftro01/gamelog/2006
31,,2006-01-06,20-034,SEA,@,DET,L (-12),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2006,swiftro01,https://www.basketball-reference.com/players/s/swiftro01/gamelog/2006
32,5,2006-01-08,20-036,SEA,@,NYK,L (-4),0,10:33,2,2,1.000,0,0,,0,2,.000,1,1,2,0,1,0,0,3,4,3.4,+8,2006,swiftro01,https://www.basketball-reference.com/players/s/swiftro01/gamelog/2006
33,6,2006-01-09,20-037,SEA,@,PHI,L (-9),0,13:26,3,6,.500,0,0,,0,0,,3,1,4,0,0,1,1,2,6,4.3,-13,2006,swiftro01,https://www.basketball-reference.com/players/s/swiftro01/gamelog/2006
34,7,2006-01-11,20-039,SEA,,ORL,W (+9),0,18:00,1,3,.333,0,0,,2,4,.500,2,1,3,0,0,1,2,6,4,-0.5,-11,2006,swiftro01,https://www.basketball-reference.com/players/s/swiftro01/gamelog/2006
35,8,2006-01-13,20-041,SEA,,MIA,L (-13),0,22:10,4,8,.500,0,0,,0,0,,5,3,8,0,0,1,0,2,8,8.3,0,2006,swiftro01,https://www.basketball-reference.com/players/s/swiftro01/gamelog/2006
36,9,2006-01-14,20-042,SEA,@,LAC,L (-26),0,21:23,3,8,.375,0,0,,0,2,.000,0,2,2,0,1,0,2,3,6,-0.8,-10,2006,swiftro01,https://www.basketball-reference.com/players/s/swiftro01/gamelog/2006
37,10,2006-01-16,20-044,SEA,@,GSW,L (-16),0,22:05,6,10,.600,0,0,,0,1,.000,4,3,7,1,0,2,0,0,12,12.8,-7,2006,swiftro01,https://www.basketball-reference.com/players/s/swiftro01/gamelog/2006
38,11,2006-01-20,20-048,SEA,,TOR,L (-8),0,9:01,2,4,.500,0,0,,0,1,.000,1,1,2,0,0,1,0,2,4,2.5,-3,2006,swiftro01,https://www.basketball-reference.com/players/s/swiftro01/gamelog/2006
39,12,2006-01-22,20-050,SEA,@,PHO,W (+3),1,38:12,5,9,.556,0,0,,5,8,.625,1,6,7,1,0,1,2,6,15,9.0,-13,2006,swiftro01,https://www.basketball-reference.com/players/s/swiftro01/gamelog/2006
40,13,2006-01-25,20-053,SEA,@,UTA,W (+19),1,25:57,3,7,.429,0,0,,0,0,,5,7,12,0,0,2,0,4,6,7.7,+17,2006,swiftro01,https://www.basketball-reference.com/players/s/swiftro01/gamelog/2006
41,14,2006-01-26,20-054,SEA,,DAL,L (-7),1,23:28,3,7,.429,0,0,,0,1,.000,3,3,6,1,0,1,1,0,6,5.3,-12,2006,swiftro01,https://www.basketball-reference.com/players/s/swiftro01/gamelog/2006
42,15,2006-01-28,20-056,SEA,,NJN,W (+9),1,28:04,6,8,.750,0,0,,2,3,.667,4,8,12,0,2,2,3,5,14,14.0,-7,2006,swiftro01,https://www.basketball-reference.com/players/s/swiftro01/gamelog/2006
43,16,2006-01-30,20-058,SEA,,POR,L (-5),1,27:50,4,9,.444,0,0,,1,1,1.000,3,4,7,0,0,1,0,3,9,7.1,-1,2006,swiftro01,https://www.basketball-reference.com/players/s/swiftro01/gamelog/2006
44,17,2006-02-01,20-060,SEA,,GSW,W (+4),1,27:26,4,7,.571,0,0,,2,4,.500,2,7,9,0,0,1,0,5,10,8.1,-2,2006,swiftro01,https://www.basketball-reference.com/players/s/swiftro01/gamelog/2006
45,18,2006-02-03,20-062,SEA,@,HOU,L (-23),1,33:41,3,3,1.000,0,0,,0,2,.000,1,6,7,1,1,3,4,4,6,5.0,-6,2006,swiftro01,https://www.basketball-reference.com/players/s/swiftro01/gamelog/2006
