Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2001-11-01,21-345,MEM,,DET,L (-10),1,30:40,5,7,.714,0,0,,6,8,.750,5,5,10,1,2,0,2,1,16,17.6,-11,2002,swiftst01,https://www.basketball-reference.com/players/s/swiftst01/gamelog/2002
2,2,2001-11-02,21-346,MEM,@,MIN,L (-9),1,24:00,5,5,1.000,0,0,,5,7,.714,4,3,7,1,1,0,0,6,15,15.7,-17,2002,swiftst01,https://www.basketball-reference.com/players/s/swiftst01/gamelog/2002
3,3,2001-11-04,21-348,MEM,,DAL,L (-9),1,30:47,1,9,.111,0,0,,6,8,.750,2,5,7,0,2,0,0,4,8,4.6,+2,2002,swiftst01,https://www.basketball-reference.com/players/s/swiftst01/gamelog/2002
4,,2001-11-06,21-350,MEM,@,PHO,L (-12),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,2002,swiftst01,https://www.basketball-reference.com/players/s/swiftst01/gamelog/2002
5,,2001-11-07,21-351,MEM,@,LAC,L (-16),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,2002,swiftst01,https://www.basketball-reference.com/players/s/swiftst01/gamelog/2002
6,4,2001-11-09,21-353,MEM,@,LAL,L (-24),0,28:56,10,13,.769,0,0,,1,2,.500,3,6,9,2,3,1,2,4,21,20.9,-13,2002,swiftst01,https://www.basketball-reference.com/players/s/swiftst01/gamelog/2002
7,5,2001-11-12,21-356,MEM,,GSW,L (-7),0,17:57,5,10,.500,0,0,,2,3,.667,2,0,2,0,1,2,1,1,12,9.0,-13,2002,swiftst01,https://www.basketball-reference.com/players/s/swiftst01/gamelog/2002
8,6,2001-11-15,21-359,MEM,,POR,L (-16),0,27:19,4,12,.333,0,0,,0,0,,8,1,9,1,1,0,2,4,8,5.2,-14,2002,swiftst01,https://www.basketball-reference.com/players/s/swiftst01/gamelog/2002
9,7,2001-11-17,21-361,MEM,,CLE,W (+5),0,28:49,7,13,.538,0,0,,3,6,.500,2,4,6,0,0,2,1,2,17,11.7,+10,2002,swiftst01,https://www.basketball-reference.com/players/s/swiftst01/gamelog/2002
10,8,2001-11-21,22-000,MEM,@,CLE,L (-7),0,27:31,8,12,.667,0,0,,8,8,1.000,2,3,5,1,0,2,1,4,24,20.6,0,2002,swiftst01,https://www.basketball-reference.com/players/s/swiftst01/gamelog/2002
