Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,session,player,gamelog_url
1,1,1979-02-15,27-251,SDC,,NOJ,W (+10),0,5:00,0,2,0.0,1,2,0.5,0.0,0.0,0,0,,0,,2,1,,1979,taylobr01,https://www.basketball-reference.com/players/t/taylobr01/gamelog/1979
2,2,1979-02-16,27-252,SDC,@,DEN,W (+14),0,4:00,1,2,0.5,0,0,,0.0,0.0,0,0,1.0,0,0.0,0,2,2.0,1979,taylobr01,https://www.basketball-reference.com/players/t/taylobr01/gamelog/1979
3,3,1979-02-18,27-254,SDC,,ATL,W (+15),0,9:00,1,2,0.5,2,2,1.0,,,1,0,2.0,0,,3,4,,1979,taylobr01,https://www.basketball-reference.com/players/t/taylobr01/gamelog/1979
4,4,1979-02-23,27-259,SDC,,PHI,W (+1),0,11:00,3,8,0.375,0,0,,0.0,0.0,0,1,,0,1.0,1,6,,1979,taylobr01,https://www.basketball-reference.com/players/t/taylobr01/gamelog/1979
5,5,1979-02-25,27-261,SDC,,BOS,W (+15),0,8:00,1,2,0.5,0,0,,0.0,4.0,4,1,1.0,0,0.0,2,2,3.1,1979,taylobr01,https://www.basketball-reference.com/players/t/taylobr01/gamelog/1979
6,6,1979-02-27,27-263,SDC,,IND,W (+17),0,5:00,0,2,0.0,0,0,,0.0,0.0,0,1,,0,,1,0,,1979,taylobr01,https://www.basketball-reference.com/players/t/taylobr01/gamelog/1979
7,7,1979-02-28,27-264,SDC,,KCK,W (+2),0,11:00,2,6,0.333,1,2,0.5,,,5,0,0.0,0,0.0,2,5,,1979,taylobr01,https://www.basketball-reference.com/players/t/taylobr01/gamelog/1979
8,8,1979-03-03,27-267,SDC,@,NYK,L (-3),0,16:00,1,5,0.2,0,0,,,,1,0,,0,0.0,3,2,,1979,taylobr01,https://www.basketball-reference.com/players/t/taylobr01/gamelog/1979
9,9,1979-03-07,27-271,SDC,,HOU,W (+23),0,8:00,1,4,0.25,2,2,1.0,,,1,5,2.0,0,0.0,0,4,,1979,taylobr01,https://www.basketball-reference.com/players/t/taylobr01/gamelog/1979
10,10,1979-03-10,27-274,SDC,,CLE,W (+6),0,4:00,1,2,0.5,0,0,,0.0,0.0,0,0,1.0,0,1.0,1,2,0.6,1979,taylobr01,https://www.basketball-reference.com/players/t/taylobr01/gamelog/1979
11,11,1979-03-17,27-281,SDC,,GSW,W (+5),0,4:00,0,1,0.0,0,0,,0.0,0.0,0,0,0.0,0,1.0,0,0,-1.7,1979,taylobr01,https://www.basketball-reference.com/players/t/taylobr01/gamelog/1979
12,12,1979-03-20,27-284,SDC,@,POR,L (-6),0,1:00,0,1,0.0,0,0,,1.0,0.0,1,0,0.0,0,0.0,0,0,0.0,1979,taylobr01,https://www.basketball-reference.com/players/t/taylobr01/gamelog/1979
13,13,1979-03-23,27-287,SDC,@,LAL,L (-37),0,29:00,5,10,0.5,3,3,1.0,1.0,1.0,2,0,6.0,0,2.0,4,13,11.4,1979,taylobr01,https://www.basketball-reference.com/players/t/taylobr01/gamelog/1979
14,14,1979-03-27,27-291,SDC,@,SEA,L (-6),0,1:00,0,0,,0,0,,0.0,0.0,0,0,,0,,0,0,,1979,taylobr01,https://www.basketball-reference.com/players/t/taylobr01/gamelog/1979
15,15,1979-03-29,27-293,SDC,,KCK,L (-5),0,28:00,4,10,0.4,2,2,1.0,,,4,4,3.0,0,3.0,1,10,,1979,taylobr01,https://www.basketball-reference.com/players/t/taylobr01/gamelog/1979
16,16,1979-03-30,27-294,SDC,@,DEN,L (-9),0,17:00,2,8,0.25,4,4,1.0,3.0,1.0,4,1,0.0,0,2.0,5,8,2.3,1979,taylobr01,https://www.basketball-reference.com/players/t/taylobr01/gamelog/1979
17,17,1979-04-01,27-296,SDC,,NYK,W (+10),0,16:00,5,8,0.625,1,1,1.0,,,2,0,2.0,0,2.0,2,11,,1979,taylobr01,https://www.basketball-reference.com/players/t/taylobr01/gamelog/1979
18,18,1979-04-04,27-299,SDC,,SEA,L (-8),0,9:00,1,3,0.333,0,0,,0.0,0.0,0,1,,0,,0,2,,1979,taylobr01,https://www.basketball-reference.com/players/t/taylobr01/gamelog/1979
19,19,1979-04-06,27-301,SDC,@,PHO,L (-1),0,16:00,2,5,0.4,0,0,,0.0,1.0,1,3,2.0,0,2.0,4,4,2.1,1979,taylobr01,https://www.basketball-reference.com/players/t/taylobr01/gamelog/1979
20,20,1979-04-07,27-302,SDC,,PHO,W (+4),0,10:00,0,2,0.0,0,0,,0.0,0.0,0,3,0.0,0,0.0,3,0,-0.5,1979,taylobr01,https://www.basketball-reference.com/players/t/taylobr01/gamelog/1979
