Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2013-10-30,24-160,CHA,@,HOU,L (-13),0,27:46,1,6,.167,0,2,.000,3,4,.750,0,2,2,0,1,1,0,0,5,3.1,-8,2014,tayloje03,https://www.basketball-reference.com/players/t/tayloje03/gamelog/2014
2,2,2013-11-01,24-162,CHA,,CLE,W (+6),0,21:36,3,8,.375,0,4,.000,2,4,.500,0,1,1,1,0,0,2,0,8,1.8,-6,2014,tayloje03,https://www.basketball-reference.com/players/t/tayloje03/gamelog/2014
3,3,2013-11-02,24-163,CHA,@,NOP,L (-21),0,24:59,1,9,.111,0,3,.000,3,7,.429,0,0,0,1,0,0,0,1,5,-2.2,-10,2014,tayloje03,https://www.basketball-reference.com/players/t/tayloje03/gamelog/2014
4,4,2013-11-05,24-166,CHA,@,NYK,W (+5),0,18:24,5,9,.556,2,4,.500,1,2,.500,2,2,4,1,0,0,2,5,13,7.0,0,2014,tayloje03,https://www.basketball-reference.com/players/t/tayloje03/gamelog/2014
5,5,2013-11-06,24-167,CHA,,TOR,W (+2),0,28:04,5,10,.500,1,4,.250,2,4,.500,1,2,3,1,0,0,2,3,13,6.0,0,2014,tayloje03,https://www.basketball-reference.com/players/t/tayloje03/gamelog/2014
6,6,2013-11-08,24-169,CHA,,NYK,L (-10),0,17:12,2,8,.250,1,4,.250,0,0,,1,1,2,1,0,1,1,2,5,0.8,-6,2014,tayloje03,https://www.basketball-reference.com/players/t/tayloje03/gamelog/2014
7,7,2013-11-11,24-172,CHA,,ATL,L (-9),0,25:24,4,10,.400,0,2,.000,2,3,.667,0,6,6,1,0,0,1,4,10,4.1,-13,2014,tayloje03,https://www.basketball-reference.com/players/t/tayloje03/gamelog/2014
8,8,2013-11-13,24-174,CHA,@,BOS,W (+6),0,29:23,4,8,.500,0,1,.000,4,4,1.000,0,1,1,1,0,0,0,2,12,8.2,-4,2014,tayloje03,https://www.basketball-reference.com/players/t/tayloje03/gamelog/2014
9,9,2013-11-15,24-176,CHA,@,CLE,W (+6),0,28:34,5,11,.455,1,2,.500,0,0,,2,3,5,1,0,0,0,1,11,7.9,+12,2014,tayloje03,https://www.basketball-reference.com/players/t/tayloje03/gamelog/2014
10,10,2013-11-16,24-177,CHA,,MIA,L (-16),0,30:14,5,14,.357,2,4,.500,2,5,.400,1,0,1,1,1,0,0,4,14,5.8,-19,2014,tayloje03,https://www.basketball-reference.com/players/t/tayloje03/gamelog/2014
