Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2014-10-29,28-174,WAS,@,MIA,L (-12),1,30:55,2,8,.250,2,6,.333,0,0,,2,5,7,1,2,1,3,1,6,4.1,-2,2015,templga01,https://www.basketball-reference.com/players/t/templga01/gamelog/2015
2,2,2014-10-30,28-175,WAS,@,ORL,W (+7),1,33:32,4,8,.500,2,3,.667,2,2,1.000,0,1,1,1,0,0,0,3,12,7.8,+20,2015,templga01,https://www.basketball-reference.com/players/t/templga01/gamelog/2015
3,3,2014-11-01,28-177,WAS,,MIL,W (+11),1,37:46,6,9,.667,2,4,.500,4,5,.800,0,1,1,1,3,0,2,2,18,14.9,+15,2015,templga01,https://www.basketball-reference.com/players/t/templga01/gamelog/2015
4,4,2014-11-04,28-180,WAS,@,NYK,W (+15),1,30:18,5,10,.500,4,7,.571,3,4,.750,1,4,5,2,1,1,2,3,17,13.4,+20,2015,templga01,https://www.basketball-reference.com/players/t/templga01/gamelog/2015
5,5,2014-11-05,28-181,WAS,,IND,W (+2),1,42:51,6,14,.429,4,7,.571,0,0,,1,6,7,4,2,0,1,3,16,13.7,+1,2015,templga01,https://www.basketball-reference.com/players/t/templga01/gamelog/2015
6,6,2014-11-07,28-183,WAS,@,TOR,L (-19),1,29:02,0,6,.000,0,5,.000,3,4,.750,0,2,2,3,2,1,0,3,3,2.6,-21,2015,templga01,https://www.basketball-reference.com/players/t/templga01/gamelog/2015
7,7,2014-11-08,28-184,WAS,@,IND,W (+7),1,31:26,1,4,.250,1,3,.333,0,0,,1,5,6,2,0,1,1,4,3,2.3,+12,2015,templga01,https://www.basketball-reference.com/players/t/templga01/gamelog/2015
8,8,2014-11-12,28-188,WAS,,DET,W (+4),1,21:41,1,5,.200,0,2,.000,4,4,1.000,2,1,3,1,2,0,0,4,6,5.7,-5,2015,templga01,https://www.basketball-reference.com/players/t/templga01/gamelog/2015
9,9,2014-11-15,28-191,WAS,,ORL,W (+5),1,22:50,0,3,.000,0,1,.000,1,2,.500,0,3,3,4,1,1,0,3,1,2.7,+5,2015,templga01,https://www.basketball-reference.com/players/t/templga01/gamelog/2015
10,10,2014-11-19,28-195,WAS,,DAL,L (-3),1,13:20,0,3,.000,0,2,.000,2,2,1.000,1,0,1,0,2,0,2,3,2,-0.6,+2,2015,templga01,https://www.basketball-reference.com/players/t/templga01/gamelog/2015
11,11,2014-11-21,28-197,WAS,,CLE,W (+13),1,9:37,0,2,.000,0,0,,0,0,,1,1,2,1,1,0,1,0,0,0.3,-11,2015,templga01,https://www.basketball-reference.com/players/t/templga01/gamelog/2015
12,12,2014-11-22,28-198,WAS,@,MIL,W (+11),1,17:57,0,3,.000,0,2,.000,1,2,.500,1,1,2,1,2,0,0,1,1,1.8,+6,2015,templga01,https://www.basketball-reference.com/players/t/templga01/gamelog/2015
13,13,2014-11-25,28-201,WAS,,ATL,L (-4),1,14:18,2,3,.667,1,2,.500,0,1,.000,2,0,2,3,1,0,1,1,5,6.4,-2,2015,templga01,https://www.basketball-reference.com/players/t/templga01/gamelog/2015
14,14,2014-11-26,28-202,WAS,@,CLE,L (-26),0,0:26,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+3,2015,templga01,https://www.basketball-reference.com/players/t/templga01/gamelog/2015
15,,2014-11-29,28-205,WAS,,NOP,W (+3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2015,templga01,https://www.basketball-reference.com/players/t/templga01/gamelog/2015
16,15,2014-12-01,28-207,WAS,,MIA,W (+21),0,2:55,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-3,2015,templga01,https://www.basketball-reference.com/players/t/templga01/gamelog/2015
17,,2014-12-03,28-209,WAS,,LAL,W (+16),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2015,templga01,https://www.basketball-reference.com/players/t/templga01/gamelog/2015
18,16,2014-12-05,28-211,WAS,,DEN,W (+30),0,4:19,0,1,.000,0,0,,0,0,,0,1,1,3,1,0,1,1,0,1.3,-1,2015,templga01,https://www.basketball-reference.com/players/t/templga01/gamelog/2015
19,17,2014-12-07,28-213,WAS,@,BOS,L (-8),0,0:01,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2,2015,templga01,https://www.basketball-reference.com/players/t/templga01/gamelog/2015
20,18,2014-12-08,28-214,WAS,,BOS,W (+1),0,0:03,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0,2015,templga01,https://www.basketball-reference.com/players/t/templga01/gamelog/2015
21,,2014-12-10,28-216,WAS,@,ORL,W (+2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2015,templga01,https://www.basketball-reference.com/players/t/templga01/gamelog/2015
