Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,session,player,gamelog_url
1,1,1979-10-13,22-000,CHI,@,GSW,W (+6),1,44:00,8,16,.500,0,0,,6,6,1.000,2,3,5,7,1,0,5,1,22,16.8,1980,theusre01,https://www.basketball-reference.com/players/t/theusre01/gamelog/1980
2,2,1979-10-14,22-001,CHI,@,PHO,L (-10),1,31:00,5,10,.500,0,1,.000,3,4,.750,0,1,1,2,0,0,3,3,13,5.1,1980,theusre01,https://www.basketball-reference.com/players/t/theusre01/gamelog/1980
3,3,1979-10-16,22-003,CHI,@,LAL,L (-9),1,33:00,4,13,.308,0,1,.000,4,5,.800,3,0,3,4,1,1,3,4,12,6.1,1980,theusre01,https://www.basketball-reference.com/players/t/theusre01/gamelog/1980
4,4,1979-10-18,22-005,CHI,@,SDC,L (-4),1,42:00,8,23,.348,0,0,,4,6,.667,1,1,2,3,1,0,3,5,20,5.4,1980,theusre01,https://www.basketball-reference.com/players/t/theusre01/gamelog/1980
5,5,1979-10-20,22-007,CHI,,PHO,W (+12),1,34:00,5,7,.714,0,0,,10,11,.909,1,1,2,9,3,1,4,6,20,21.3,1980,theusre01,https://www.basketball-reference.com/players/t/theusre01/gamelog/1980
6,6,1979-10-21,22-008,CHI,@,MIL,L (-2),1,41:00,10,22,.455,0,1,.000,5,6,.833,4,2,6,6,0,0,6,3,25,13.6,1980,theusre01,https://www.basketball-reference.com/players/t/theusre01/gamelog/1980
7,7,1979-10-23,22-010,CHI,,NJN,W (+5),1,29:00,4,10,.400,0,0,,2,3,.667,1,1,2,8,2,0,3,4,10,8.2,1980,theusre01,https://www.basketball-reference.com/players/t/theusre01/gamelog/1980
8,8,1979-10-25,22-012,CHI,@,UTA,L (-8),1,34:00,5,19,.263,0,1,.000,9,9,1.000,0,2,2,1,1,0,3,4,19,5.4,1980,theusre01,https://www.basketball-reference.com/players/t/theusre01/gamelog/1980
9,9,1979-10-26,22-013,CHI,@,POR,L (-2),1,42:00,7,17,.412,0,0,,9,9,1.000,0,6,6,6,1,0,5,3,23,14.7,1980,theusre01,https://www.basketball-reference.com/players/t/theusre01/gamelog/1980
10,10,1979-10-28,22-015,CHI,@,SEA,L (-11),1,39:00,7,15,.467,0,0,,4,7,.571,1,1,2,6,3,0,5,3,18,11.1,1980,theusre01,https://www.basketball-reference.com/players/t/theusre01/gamelog/1980
11,11,1979-10-30,22-017,CHI,,LAL,L (-6),1,34:00,6,15,.400,0,0,,1,4,.250,0,2,2,6,0,0,3,0,13,5.5,1980,theusre01,https://www.basketball-reference.com/players/t/theusre01/gamelog/1980
12,12,1979-11-02,22-020,CHI,@,DEN,L (-14),1,35:00,4,11,.364,0,0,,1,2,.500,0,3,3,3,2,0,1,3,9,5.3,1980,theusre01,https://www.basketball-reference.com/players/t/theusre01/gamelog/1980
13,13,1979-11-03,22-021,CHI,,MIL,L (-2),1,40:00,5,13,.385,0,0,,11,13,.846,0,0,0,13,3,0,4,1,21,20.8,1980,theusre01,https://www.basketball-reference.com/players/t/theusre01/gamelog/1980
14,14,1979-11-06,22-024,CHI,,SEA,L (-17),1,35:00,5,21,.238,0,0,,7,8,.875,4,1,5,4,0,0,2,3,17,6.6,1980,theusre01,https://www.basketball-reference.com/players/t/theusre01/gamelog/1980
15,15,1979-11-09,22-027,CHI,,SDC,W (+15),1,36:00,10,17,.588,0,0,,6,6,1.000,1,0,1,10,0,1,4,4,26,20.9,1980,theusre01,https://www.basketball-reference.com/players/t/theusre01/gamelog/1980
16,16,1979-11-10,22-028,CHI,,POR,L (-4),1,41:00,8,10,.800,0,0,,7,8,.875,0,3,3,5,3,0,7,4,23,17.6,1980,theusre01,https://www.basketball-reference.com/players/t/theusre01/gamelog/1980
17,17,1979-11-13,22-031,CHI,,HOU,L (-1),1,39:00,10,14,.714,0,0,,7,10,.700,4,1,5,10,1,1,8,3,27,22.6,1980,theusre01,https://www.basketball-reference.com/players/t/theusre01/gamelog/1980
18,18,1979-11-14,22-032,CHI,@,WSB,L (-13),1,27:00,6,15,.400,0,0,,7,9,.778,1,4,5,2,0,0,3,1,19,10.0,1980,theusre01,https://www.basketball-reference.com/players/t/theusre01/gamelog/1980
19,19,1979-11-16,22-034,CHI,@,KCK,L (-6),1,25:00,6,12,.500,0,0,,5,6,.833,4,1,5,2,1,0,2,3,17,12.9,1980,theusre01,https://www.basketball-reference.com/players/t/theusre01/gamelog/1980
20,20,1979-11-17,22-035,CHI,,PHI,W (+3),1,41:00,8,16,.500,0,0,,12,13,.923,4,13,17,10,1,0,8,6,28,23.9,1980,theusre01,https://www.basketball-reference.com/players/t/theusre01/gamelog/1980
21,21,1979-11-20,22-038,CHI,,DEN,L (-33),1,34:00,8,16,.500,0,0,,6,7,.857,1,3,4,6,1,0,3,3,22,16.2,1980,theusre01,https://www.basketball-reference.com/players/t/theusre01/gamelog/1980
22,22,1979-11-23,22-041,CHI,,ATL,W (+5),1,39:00,10,13,.769,0,0,,7,10,.700,5,2,7,6,2,1,10,5,27,19.7,1980,theusre01,https://www.basketball-reference.com/players/t/theusre01/gamelog/1980
