Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2001-10-30,24-246,MIL,@,UTA,W (+7),0,21:39,2,7,.286,0,3,.000,4,4,1.000,1,0,1,2,0,1,1,4,8,4.1,-6,2002,thomati01,https://www.basketball-reference.com/players/t/thomati01/gamelog/2002
2,2,2001-11-01,24-248,MIL,@,DEN,W (+1),0,31:35,5,9,.556,1,2,.500,2,3,.667,0,5,5,4,0,1,1,3,13,11.1,-1,2002,thomati01,https://www.basketball-reference.com/players/t/thomati01/gamelog/2002
3,3,2001-11-03,24-250,MIL,,BOS,W (+6),0,26:32,4,10,.400,0,3,.000,1,2,.500,2,2,4,0,0,1,2,2,9,3.1,-4,2002,thomati01,https://www.basketball-reference.com/players/t/thomati01/gamelog/2002
4,4,2001-11-08,24-255,MIL,,MIA,W (+4),0,21:15,1,4,.250,0,2,.000,1,2,.500,1,5,6,0,1,2,1,1,3,3.4,-4,2002,thomati01,https://www.basketball-reference.com/players/t/thomati01/gamelog/2002
5,5,2001-11-10,24-257,MIL,,MIN,L (-16),0,22:07,2,8,.250,2,4,.500,1,2,.500,0,3,3,0,0,1,1,1,7,2.0,-15,2002,thomati01,https://www.basketball-reference.com/players/t/thomati01/gamelog/2002
6,6,2001-11-14,24-261,MIL,@,WAS,W (+9),0,23:56,5,7,.714,2,2,1.000,0,0,,1,2,3,1,1,0,1,2,12,10.3,+15,2002,thomati01,https://www.basketball-reference.com/players/t/thomati01/gamelog/2002
7,7,2001-11-17,24-264,MIL,,UTA,W (+11),0,24:13,6,14,.429,2,7,.286,1,1,1.000,1,4,5,1,1,2,2,0,15,10.6,+12,2002,thomati01,https://www.basketball-reference.com/players/t/thomati01/gamelog/2002
8,8,2001-11-21,24-268,MIL,,CHI,W (+4),0,22:15,1,5,.200,0,2,.000,0,0,,1,2,3,0,0,0,2,1,2,-2.2,-5,2002,thomati01,https://www.basketball-reference.com/players/t/thomati01/gamelog/2002
9,9,2001-11-22,24-269,MIL,@,TOR,W (+3),0,23:00,4,9,.444,1,3,.333,0,0,,0,7,7,1,0,1,1,2,9,6.0,-3,2002,thomati01,https://www.basketball-reference.com/players/t/thomati01/gamelog/2002
10,10,2001-11-24,24-271,MIL,,ATL,W (+7),0,20:09,4,6,.667,2,3,.667,1,2,.500,1,2,3,1,1,0,0,4,11,9.4,-5,2002,thomati01,https://www.basketball-reference.com/players/t/thomati01/gamelog/2002
11,11,2001-11-27,24-274,MIL,@,LAL,L (-19),0,23:12,7,9,.778,3,4,.750,0,0,,0,2,2,0,0,0,3,5,17,9.1,-6,2002,thomati01,https://www.basketball-reference.com/players/t/thomati01/gamelog/2002
12,12,2001-11-28,24-275,MIL,@,PHO,L (-20),0,27:41,5,12,.417,0,6,.000,0,0,,0,7,7,2,2,0,3,1,10,5.7,-9,2002,thomati01,https://www.basketball-reference.com/players/t/thomati01/gamelog/2002
13,13,2001-11-30,24-277,MIL,@,POR,L (-6),0,28:38,4,11,.364,2,3,.667,0,2,.000,2,6,8,1,2,1,1,3,10,7.5,+2,2002,thomati01,https://www.basketball-reference.com/players/t/thomati01/gamelog/2002
14,14,2001-12-02,24-279,MIL,@,SEA,L (-14),1,38:52,9,18,.500,2,7,.286,5,5,1.000,1,5,6,3,1,1,2,3,25,18.8,-15,2002,thomati01,https://www.basketball-reference.com/players/t/thomati01/gamelog/2002
15,15,2001-12-04,24-281,MIL,,NYK,L (-14),1,29:25,4,11,.364,1,4,.250,4,6,.667,1,6,7,2,1,0,1,2,13,9.2,-22,2002,thomati01,https://www.basketball-reference.com/players/t/thomati01/gamelog/2002
16,16,2001-12-06,24-283,MIL,,TOR,W (+6),0,20:50,4,9,.444,3,6,.500,2,2,1.000,1,3,4,0,0,0,3,3,13,5.7,+11,2002,thomati01,https://www.basketball-reference.com/players/t/thomati01/gamelog/2002
17,17,2001-12-08,24-285,MIL,,NJN,W (+16),0,28:20,5,12,.417,0,2,.000,2,2,1.000,0,3,3,3,1,0,1,3,12,7.4,+11,2002,thomati01,https://www.basketball-reference.com/players/t/thomati01/gamelog/2002
18,18,2001-12-11,24-288,MIL,@,MIA,L (-2),0,27:46,5,13,.385,2,5,.400,6,7,.857,0,2,2,1,0,0,1,4,18,9.2,-1,2002,thomati01,https://www.basketball-reference.com/players/t/thomati01/gamelog/2002
19,19,2001-12-14,24-291,MIL,@,PHI,W (+16),0,29:47,6,10,.600,1,4,.250,3,5,.600,0,3,3,1,1,0,0,3,16,12.0,+15,2002,thomati01,https://www.basketball-reference.com/players/t/thomati01/gamelog/2002
20,20,2001-12-15,24-292,MIL,,IND,W (+20),0,31:09,4,9,.444,1,3,.333,0,0,,1,4,5,1,0,1,5,4,9,1.0,+11,2002,thomati01,https://www.basketball-reference.com/players/t/thomati01/gamelog/2002
21,21,2001-12-18,24-295,MIL,@,MEM,W (+9),0,21:18,4,8,.500,2,5,.400,3,4,.750,3,3,6,2,0,0,0,4,13,11.4,+8,2002,thomati01,https://www.basketball-reference.com/players/t/thomati01/gamelog/2002
22,22,2001-12-20,24-297,MIL,@,DAL,L (-12),0,26:03,3,9,.333,1,2,.500,2,3,.667,1,2,3,1,0,3,1,2,9,5.8,-10,2002,thomati01,https://www.basketball-reference.com/players/t/thomati01/gamelog/2002
23,23,2001-12-22,24-299,MIL,@,HOU,L (-5),0,32:23,5,12,.417,1,4,.250,0,0,,2,4,6,4,2,0,1,2,11,10.2,+3,2002,thomati01,https://www.basketball-reference.com/players/t/thomati01/gamelog/2002
24,24,2001-12-23,24-300,MIL,@,SAS,W (+10),0,29:02,3,10,.300,1,5,.200,1,2,.500,0,9,9,2,1,0,1,3,8,4.7,+3,2002,thomati01,https://www.basketball-reference.com/players/t/thomati01/gamelog/2002
25,25,2001-12-26,24-303,MIL,,ATL,W (+10),0,34:01,5,9,.556,2,5,.400,4,6,.667,1,8,9,2,3,1,3,1,16,15.7,+20,2002,thomati01,https://www.basketball-reference.com/players/t/thomati01/gamelog/2002
26,26,2001-12-28,24-305,MIL,@,CHH,W (+16),0,25:38,7,13,.538,3,7,.429,1,3,.333,3,2,5,1,0,1,3,3,18,10.8,+8,2002,thomati01,https://www.basketball-reference.com/players/t/thomati01/gamelog/2002
27,27,2001-12-29,24-306,MIL,,SAS,W (+3),0,38:34,9,19,.474,4,7,.571,2,2,1.000,1,8,9,0,0,0,2,1,24,15.0,+8,2002,thomati01,https://www.basketball-reference.com/players/t/thomati01/gamelog/2002
28,28,2001-12-31,24-308,MIL,@,CHI,L (-7),1,40:23,6,15,.400,2,5,.400,5,8,.625,2,3,5,1,1,0,3,6,19,8.3,-7,2002,thomati01,https://www.basketball-reference.com/players/t/thomati01/gamelog/2002
29,29,2002-01-02,24-310,MIL,@,MIN,L (-18),1,33:27,8,24,.333,1,7,.143,3,4,.750,1,4,5,3,0,0,1,3,20,7.8,-18,2002,thomati01,https://www.basketball-reference.com/players/t/thomati01/gamelog/2002
30,30,2002-01-05,24-313,MIL,@,LAC,L (-3),1,40:04,6,18,.333,2,8,.250,1,1,1.000,0,3,3,1,0,1,1,2,15,5.3,-9,2002,thomati01,https://www.basketball-reference.com/players/t/thomati01/gamelog/2002
31,31,2002-01-06,24-314,MIL,@,SAC,L (-14),1,39:43,8,19,.421,2,4,.500,2,2,1.000,1,6,7,4,0,0,1,3,20,13.0,-8,2002,thomati01,https://www.basketball-reference.com/players/t/thomati01/gamelog/2002
32,32,2002-01-08,24-316,MIL,@,GSW,W (+16),1,27:51,4,6,.667,3,5,.600,6,6,1.000,0,4,4,1,1,0,3,6,17,11.9,+9,2002,thomati01,https://www.basketball-reference.com/players/t/thomati01/gamelog/2002
33,33,2002-01-11,24-319,MIL,,WAS,W (+19),1,34:44,9,13,.692,4,4,1.000,3,3,1.000,3,3,6,4,0,1,1,4,25,23.4,+19,2002,thomati01,https://www.basketball-reference.com/players/t/thomati01/gamelog/2002
34,34,2002-01-12,24-320,MIL,@,NYK,W (+5),1,34:08,3,10,.300,0,3,.000,3,4,.750,0,4,4,2,2,0,4,3,9,2.2,-2,2002,thomati01,https://www.basketball-reference.com/players/t/thomati01/gamelog/2002
