Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,session,player,gamelog_url
1,1,1992-11-27,30-114,HOU,@,MIA,W (+8),0,13:00,2,4,.500,0,0,,0,0,,1,3,4,1,0,0,5,1,4,-1.1,1993,thorpot01,https://www.basketball-reference.com/players/t/thorpot01/gamelog/1993
2,2,1992-11-28,30-115,HOU,,UTA,L (-9),0,16:00,2,5,.400,0,0,,0,0,,4,1,5,0,0,0,1,3,4,2.2,1993,thorpot01,https://www.basketball-reference.com/players/t/thorpot01/gamelog/1993
3,3,1992-12-01,30-118,HOU,@,DEN,L (-7),0,28:00,5,8,.625,0,0,,8,10,.800,4,1,5,1,1,2,2,2,18,17.0,1993,thorpot01,https://www.basketball-reference.com/players/t/thorpot01/gamelog/1993
4,4,1992-12-03,30-120,HOU,,LAL,L (-6),1,32:00,5,9,.556,0,0,,1,1,1.000,2,3,5,1,0,0,2,5,11,5.7,1993,thorpot01,https://www.basketball-reference.com/players/t/thorpot01/gamelog/1993
5,5,1992-12-05,30-122,HOU,@,DAL,W (+21),1,37:00,10,17,.588,0,0,,4,7,.571,2,6,8,4,0,1,3,3,24,17.4,1993,thorpot01,https://www.basketball-reference.com/players/t/thorpot01/gamelog/1993
6,6,1992-12-08,30-125,HOU,,MIN,W (+8),1,36:00,7,9,.778,0,0,,7,8,.875,1,3,4,3,1,0,1,5,21,18.8,1993,thorpot01,https://www.basketball-reference.com/players/t/thorpot01/gamelog/1993
7,7,1992-12-11,30-128,HOU,@,CHI,W (+14),1,29:00,9,13,.692,0,0,,1,5,.200,2,6,8,6,1,0,3,2,19,16.5,1993,thorpot01,https://www.basketball-reference.com/players/t/thorpot01/gamelog/1993
8,8,1992-12-12,30-129,HOU,@,MIN,W (+17),1,39:00,6,13,.462,0,0,,4,6,.667,8,4,12,3,0,1,1,2,16,16.3,1993,thorpot01,https://www.basketball-reference.com/players/t/thorpot01/gamelog/1993
9,9,1992-12-15,30-132,HOU,@,CLE,L (-27),1,35:00,6,12,.500,0,0,,0,0,,4,2,6,1,0,1,1,4,12,8.2,1993,thorpot01,https://www.basketball-reference.com/players/t/thorpot01/gamelog/1993
10,10,1992-12-17,30-134,HOU,,SAS,W (+12),1,37:00,6,11,.545,0,0,,0,2,.000,7,12,19,10,0,0,1,3,12,19.2,1993,thorpot01,https://www.basketball-reference.com/players/t/thorpot01/gamelog/1993
11,11,1992-12-19,30-136,HOU,,DAL,W (+19),1,32:00,7,9,.778,0,0,,4,9,.444,4,6,10,5,0,0,1,1,18,19.2,1993,thorpot01,https://www.basketball-reference.com/players/t/thorpot01/gamelog/1993
12,12,1992-12-22,30-139,HOU,@,DET,L (-14),1,39:00,6,9,.667,0,0,,3,6,.500,7,4,11,6,0,0,2,4,15,16.6,1993,thorpot01,https://www.basketball-reference.com/players/t/thorpot01/gamelog/1993
13,13,1992-12-23,30-140,HOU,@,BOS,L (-4),1,35:00,3,10,.300,0,0,,3,4,.750,3,5,8,0,0,0,1,4,9,3.8,1993,thorpot01,https://www.basketball-reference.com/players/t/thorpot01/gamelog/1993
14,14,1992-12-26,30-143,HOU,,DEN,W (+8),1,35:00,6,13,.462,0,0,,1,2,.500,4,5,9,3,1,1,2,1,13,11.6,1993,thorpot01,https://www.basketball-reference.com/players/t/thorpot01/gamelog/1993
15,15,1992-12-29,30-146,HOU,,GSW,L (-20),1,28:00,4,6,.667,0,0,,1,1,1.000,2,4,6,1,0,0,3,4,9,5.1,1993,thorpot01,https://www.basketball-reference.com/players/t/thorpot01/gamelog/1993
16,16,1992-12-30,30-147,HOU,@,PHO,L (-23),1,34:00,7,13,.538,0,0,,1,4,.250,2,6,8,3,1,1,2,4,15,10.9,1993,thorpot01,https://www.basketball-reference.com/players/t/thorpot01/gamelog/1993
17,17,1993-01-02,30-150,HOU,@,GSW,L (-6),1,28:00,3,8,.375,0,0,,2,4,.500,5,5,10,2,1,1,1,5,8,7.9,1993,thorpot01,https://www.basketball-reference.com/players/t/thorpot01/gamelog/1993
