Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,session,player,gamelog_url
1,1,1971-10-15,30-082,GSW,@,BOS,W (+22),1,36:00,3,13,.231,5,9,.556,11,2,2,11,1972,thurmna01,https://www.basketball-reference.com/players/t/thurmna01/gamelog/1972
2,2,1971-10-16,30-083,GSW,@,BAL,L (-15),1,36:00,3,12,.250,3,4,.750,11,2,4,9,1972,thurmna01,https://www.basketball-reference.com/players/t/thurmna01/gamelog/1972
3,3,1971-10-19,30-086,GSW,@,NYK,L (-9),1,34:00,6,14,.429,3,5,.600,12,3,4,15,1972,thurmna01,https://www.basketball-reference.com/players/t/thurmna01/gamelog/1972
4,4,1971-10-20,30-087,GSW,@,CLE,W (+17),1,24:00,2,6,.333,1,4,.250,7,3,5,5,1972,thurmna01,https://www.basketball-reference.com/players/t/thurmna01/gamelog/1972
5,5,1971-10-23,30-090,GSW,,DET,W (+6),1,31:00,5,17,.294,0,2,.000,14,1,6,10,1972,thurmna01,https://www.basketball-reference.com/players/t/thurmna01/gamelog/1972
6,6,1971-10-26,30-093,GSW,,BUF,L (-2),1,48:00,5,16,.313,6,11,.545,18,5,0,16,1972,thurmna01,https://www.basketball-reference.com/players/t/thurmna01/gamelog/1972
7,7,1971-10-29,30-096,GSW,,CHI,W (+16),1,42:00,5,15,.333,4,6,.667,14,1,3,14,1972,thurmna01,https://www.basketball-reference.com/players/t/thurmna01/gamelog/1972
8,8,1971-10-30,30-097,GSW,,CIN,W (+4),1,34:00,2,6,.333,8,10,.800,16,1,5,12,1972,thurmna01,https://www.basketball-reference.com/players/t/thurmna01/gamelog/1972
9,9,1971-10-31,30-098,GSW,@,LAL,W (+4),1,48:00,9,21,.429,1,1,1.000,10,3,1,19,1972,thurmna01,https://www.basketball-reference.com/players/t/thurmna01/gamelog/1972
10,10,1971-11-02,30-100,GSW,,BAL,W (+15),1,45:00,6,15,.400,1,2,.500,13,4,4,13,1972,thurmna01,https://www.basketball-reference.com/players/t/thurmna01/gamelog/1972
11,11,1971-11-04,30-102,GSW,,SEA,W (+2),1,48:00,8,15,.533,3,6,.500,18,5,5,19,1972,thurmna01,https://www.basketball-reference.com/players/t/thurmna01/gamelog/1972
12,12,1971-11-06,30-104,GSW,,LAL,L (-16),1,42:00,4,18,.222,4,4,1.000,19,3,2,12,1972,thurmna01,https://www.basketball-reference.com/players/t/thurmna01/gamelog/1972
13,13,1971-11-07,30-105,GSW,@,SEA,W (+7),1,48:00,11,23,.478,6,8,.750,21,4,4,28,1972,thurmna01,https://www.basketball-reference.com/players/t/thurmna01/gamelog/1972
14,14,1971-11-09,30-107,GSW,,HOU,W (+16),1,46:00,6,14,.429,6,7,.857,12,3,2,18,1972,thurmna01,https://www.basketball-reference.com/players/t/thurmna01/gamelog/1972
15,15,1971-11-11,30-109,GSW,@,NYK,W (+9),1,48:00,11,18,.611,5,8,.625,20,3,0,27,1972,thurmna01,https://www.basketball-reference.com/players/t/thurmna01/gamelog/1972
16,16,1971-11-12,30-110,GSW,@,ATL,L (-2),1,43:00,10,21,.476,5,6,.833,7,3,1,25,1972,thurmna01,https://www.basketball-reference.com/players/t/thurmna01/gamelog/1972
17,17,1971-11-13,30-111,GSW,@,CIN,L (-9),1,38:00,9,18,.500,7,7,1.000,11,2,5,25,1972,thurmna01,https://www.basketball-reference.com/players/t/thurmna01/gamelog/1972
18,18,1971-11-16,30-114,GSW,@,DET,W (+21),1,45:00,11,18,.611,7,9,.778,13,2,2,29,1972,thurmna01,https://www.basketball-reference.com/players/t/thurmna01/gamelog/1972
19,19,1971-11-18,30-116,GSW,,POR,W (+10),1,44:00,5,13,.385,2,4,.500,16,3,0,12,1972,thurmna01,https://www.basketball-reference.com/players/t/thurmna01/gamelog/1972
20,20,1971-11-20,30-118,GSW,,MIL,W (+7),1,48:00,1,9,.111,4,6,.667,15,4,5,6,1972,thurmna01,https://www.basketball-reference.com/players/t/thurmna01/gamelog/1972
21,21,1971-11-21,30-119,GSW,,HOU,L (-19),1,41:00,8,21,.381,1,1,1.000,16,0,4,17,1972,thurmna01,https://www.basketball-reference.com/players/t/thurmna01/gamelog/1972
22,22,1971-11-25,30-123,GSW,,PHI,L (-1),1,28:00,3,9,.333,4,6,.667,6,0,2,10,1972,thurmna01,https://www.basketball-reference.com/players/t/thurmna01/gamelog/1972
23,23,1971-12-04,30-132,GSW,,PHO,L (-36),0,16:00,3,10,.300,2,3,.667,10,0,0,8,1972,thurmna01,https://www.basketball-reference.com/players/t/thurmna01/gamelog/1972
24,24,1971-12-05,30-133,GSW,@,PHO,L (-33),1,43:00,6,22,.273,5,7,.714,12,1,2,17,1972,thurmna01,https://www.basketball-reference.com/players/t/thurmna01/gamelog/1972
25,25,1971-12-07,30-135,GSW,,ATL,L (-3),1,48:00,3,11,.273,2,3,.667,16,2,4,8,1972,thurmna01,https://www.basketball-reference.com/players/t/thurmna01/gamelog/1972
26,26,1971-12-09,30-137,GSW,,LAL,L (-13),1,48:00,7,22,.318,0,0,,23,6,0,14,1972,thurmna01,https://www.basketball-reference.com/players/t/thurmna01/gamelog/1972
27,27,1971-12-10,30-138,GSW,@,SEA,L (-11),1,46:00,9,16,.563,4,6,.667,15,0,4,22,1972,thurmna01,https://www.basketball-reference.com/players/t/thurmna01/gamelog/1972
28,28,1971-12-16,30-144,GSW,,PHI,W (+20),1,46:00,8,20,.400,2,2,1.000,19,4,2,18,1972,thurmna01,https://www.basketball-reference.com/players/t/thurmna01/gamelog/1972
29,29,1971-12-17,30-145,GSW,@,LAL,L (-30),1,44:00,11,29,.379,2,4,.500,15,6,0,24,1972,thurmna01,https://www.basketball-reference.com/players/t/thurmna01/gamelog/1972
30,30,1971-12-18,30-146,GSW,,DET,W (+27),1,45:00,6,23,.261,6,6,1.000,23,2,4,18,1972,thurmna01,https://www.basketball-reference.com/players/t/thurmna01/gamelog/1972
31,31,1971-12-21,30-149,GSW,,NYK,L (-26),1,44:00,7,17,.412,6,8,.750,19,2,3,20,1972,thurmna01,https://www.basketball-reference.com/players/t/thurmna01/gamelog/1972
32,32,1971-12-25,30-153,GSW,@,NYK,L (-25),1,38:00,4,15,.267,0,0,,16,3,4,8,1972,thurmna01,https://www.basketball-reference.com/players/t/thurmna01/gamelog/1972
33,33,1971-12-27,30-155,GSW,@,BOS,L (-2),1,46:00,12,28,.429,4,6,.667,18,1,1,28,1972,thurmna01,https://www.basketball-reference.com/players/t/thurmna01/gamelog/1972
34,34,1971-12-29,30-157,GSW,@,CIN,W (+5),1,38:00,6,9,.667,4,9,.444,12,3,4,16,1972,thurmna01,https://www.basketball-reference.com/players/t/thurmna01/gamelog/1972
35,35,1971-12-30,30-158,GSW,@,DET,W (+6),1,48:00,15,24,.625,12,14,.857,19,1,2,42,1972,thurmna01,https://www.basketball-reference.com/players/t/thurmna01/gamelog/1972
36,36,1972-01-04,30-163,GSW,,BUF,W (+26),1,32:00,4,13,.308,3,3,1.000,13,3,4,11,1972,thurmna01,https://www.basketball-reference.com/players/t/thurmna01/gamelog/1972
37,37,1972-01-06,30-165,GSW,,POR,W (+4),1,48:00,17,27,.630,3,3,1.000,15,4,2,37,1972,thurmna01,https://www.basketball-reference.com/players/t/thurmna01/gamelog/1972
38,38,1972-01-08,30-167,GSW,,BOS,W (+22),1,39:00,3,15,.200,3,4,.750,17,2,2,9,1972,thurmna01,https://www.basketball-reference.com/players/t/thurmna01/gamelog/1972
39,39,1972-01-09,30-168,GSW,@,HOU,W (+1),1,48:00,7,14,.500,11,14,.786,17,1,3,25,1972,thurmna01,https://www.basketball-reference.com/players/t/thurmna01/gamelog/1972
40,40,1972-01-11,30-170,GSW,,CLE,W (+9),1,48:00,7,17,.412,1,1,1.000,19,1,4,15,1972,thurmna01,https://www.basketball-reference.com/players/t/thurmna01/gamelog/1972
41,41,1972-01-14,30-173,GSW,,NYK,W (+4),1,47:00,13,23,.565,5,8,.625,17,4,2,31,1972,thurmna01,https://www.basketball-reference.com/players/t/thurmna01/gamelog/1972
42,42,1972-01-15,30-174,GSW,,BAL,W (+10),1,48:00,7,20,.350,6,10,.600,20,7,1,20,1972,thurmna01,https://www.basketball-reference.com/players/t/thurmna01/gamelog/1972
43,43,1972-01-21,30-180,GSW,@,ATL,W (+2),1,44:00,11,20,.550,3,4,.750,11,1,4,25,1972,thurmna01,https://www.basketball-reference.com/players/t/thurmna01/gamelog/1972
44,44,1972-01-22,30-181,GSW,@,PHI,W (+7),1,45:00,7,18,.389,8,10,.800,21,2,2,22,1972,thurmna01,https://www.basketball-reference.com/players/t/thurmna01/gamelog/1972
45,45,1972-01-24,30-183,GSW,@,CHI,L (-5),1,48:00,4,18,.222,11,12,.917,23,3,3,19,1972,thurmna01,https://www.basketball-reference.com/players/t/thurmna01/gamelog/1972
46,46,1972-01-25,30-184,GSW,@,CLE,W (+6),1,47:00,10,20,.500,2,4,.500,14,5,3,22,1972,thurmna01,https://www.basketball-reference.com/players/t/thurmna01/gamelog/1972
47,47,1972-01-27,30-186,GSW,,CHI,W (+1),1,48:00,10,21,.476,11,16,.688,20,3,4,31,1972,thurmna01,https://www.basketball-reference.com/players/t/thurmna01/gamelog/1972
48,48,1972-01-28,30-187,GSW,@,POR,W (+3),1,47:00,11,26,.423,5,5,1.000,15,3,3,27,1972,thurmna01,https://www.basketball-reference.com/players/t/thurmna01/gamelog/1972
49,49,1972-01-29,30-188,GSW,,PHO,W (+11),1,47:00,11,25,.440,6,10,.600,18,4,2,28,1972,thurmna01,https://www.basketball-reference.com/players/t/thurmna01/gamelog/1972
50,50,1972-02-01,30-191,GSW,,MIL,L (-11),1,46:00,7,21,.333,4,5,.800,14,5,3,18,1972,thurmna01,https://www.basketball-reference.com/players/t/thurmna01/gamelog/1972
51,51,1972-02-03,30-193,GSW,,ATL,W (+17),1,43:00,11,19,.579,3,5,.600,21,2,2,25,1972,thurmna01,https://www.basketball-reference.com/players/t/thurmna01/gamelog/1972
52,52,1972-02-04,30-194,GSW,@,PHO,L (-8),1,47:00,11,28,.393,13,15,.867,16,1,3,35,1972,thurmna01,https://www.basketball-reference.com/players/t/thurmna01/gamelog/1972
53,53,1972-02-05,30-195,GSW,,LAL,L (-12),1,48:00,12,23,.522,5,8,.625,24,1,2,29,1972,thurmna01,https://www.basketball-reference.com/players/t/thurmna01/gamelog/1972
54,54,1972-02-08,30-198,GSW,,BAL,W (+4),1,45:00,14,30,.467,10,16,.625,23,2,1,38,1972,thurmna01,https://www.basketball-reference.com/players/t/thurmna01/gamelog/1972
