Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,session,player,gamelog_url
1,1,1992-11-06,28-150,SAC,,SAS,W (+8),1,30:00,4,8,.500,0,0,,1,2,.500,2,5,7,0,0,1,3,3,9,4.0,1993,tisdawa01,https://www.basketball-reference.com/players/t/tisdawa01/gamelog/1993
2,2,1992-11-08,28-152,SAC,@,LAL,W (+10),1,44:00,12,21,.571,0,0,,1,2,.500,2,8,10,2,0,0,1,5,25,16.9,1993,tisdawa01,https://www.basketball-reference.com/players/t/tisdawa01/gamelog/1993
3,3,1992-11-10,28-154,SAC,,LAC,W (+2),1,43:00,5,18,.278,0,0,,1,2,.500,3,7,10,2,0,0,1,3,11,3.4,1993,tisdawa01,https://www.basketball-reference.com/players/t/tisdawa01/gamelog/1993
4,4,1992-11-11,28-155,SAC,@,LAC,L (-8),1,21:00,6,9,.667,0,0,,0,2,.000,0,5,5,0,0,1,2,3,12,6.3,1993,tisdawa01,https://www.basketball-reference.com/players/t/tisdawa01/gamelog/1993
5,5,1992-11-14,28-158,SAC,@,SEA,L (-16),1,35:00,8,11,.727,0,0,,3,4,.750,1,6,7,2,0,0,1,5,19,15.0,1993,tisdawa01,https://www.basketball-reference.com/players/t/tisdawa01/gamelog/1993
6,6,1992-11-15,28-159,SAC,,CLE,W (+2),1,44:00,8,19,.421,0,0,,1,2,.500,2,8,10,6,0,0,0,4,17,12.9,1993,tisdawa01,https://www.basketball-reference.com/players/t/tisdawa01/gamelog/1993
7,7,1992-11-17,28-161,SAC,@,HOU,L (-7),1,33:00,7,12,.583,0,0,,3,5,.600,0,6,6,2,1,0,2,3,17,11.6,1993,tisdawa01,https://www.basketball-reference.com/players/t/tisdawa01/gamelog/1993
8,8,1992-11-18,28-162,SAC,@,PHO,L (-16),1,25:00,7,10,.700,0,0,,1,1,1.000,2,3,5,1,1,1,1,3,15,13.3,1993,tisdawa01,https://www.basketball-reference.com/players/t/tisdawa01/gamelog/1993
9,9,1992-11-20,28-164,SAC,,POR,L (-5),1,39:00,10,19,.526,0,0,,3,3,1.000,1,8,9,1,1,1,2,3,23,16.0,1993,tisdawa01,https://www.basketball-reference.com/players/t/tisdawa01/gamelog/1993
10,10,1992-11-23,28-167,SAC,,SEA,W (+4),1,41:00,12,17,.706,0,0,,4,4,1.000,1,13,14,0,0,0,3,5,28,20.5,1993,tisdawa01,https://www.basketball-reference.com/players/t/tisdawa01/gamelog/1993
