Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,session,player,gamelog_url
1,1,1967-10-14,30-155,STL,@,SDR,W (+1),,4:00,0,2,.000,0,1,.000,0,0,1,0,1968,tormobu01,https://www.basketball-reference.com/players/t/tormobu01/gamelog/1968
2,2,1967-10-15,30-156,STL,@,SFW,W (+5),,13:00,2,5,.400,1,2,.500,4,3,1,5,1968,tormobu01,https://www.basketball-reference.com/players/t/tormobu01/gamelog/1968
3,3,1967-10-17,30-158,STL,@,SDR,W (+18),,,0,,,0,0,,,,0,0,1968,tormobu01,https://www.basketball-reference.com/players/t/tormobu01/gamelog/1968
4,4,1967-10-19,30-160,STL,,LAL,W (+5),,15:00,3,4,.750,1,3,.333,8,1,2,7,1968,tormobu01,https://www.basketball-reference.com/players/t/tormobu01/gamelog/1968
5,5,1967-10-20,30-161,STL,@,CHI,W (+27),,15:00,2,4,.500,2,2,1.000,2,0,1,6,1968,tormobu01,https://www.basketball-reference.com/players/t/tormobu01/gamelog/1968
6,6,1967-10-21,30-162,STL,,SFW,W (+5),,5:00,0,2,.000,0,0,,2,1,2,0,1968,tormobu01,https://www.basketball-reference.com/players/t/tormobu01/gamelog/1968
7,7,1967-10-24,30-165,STL,@,NYK,W (+5),,23:00,4,8,.500,0,1,.000,11,2,3,8,1968,tormobu01,https://www.basketball-reference.com/players/t/tormobu01/gamelog/1968
8,8,1967-10-25,30-166,STL,@,BOS,L (-14),,11:00,0,3,.000,0,1,.000,5,0,2,0,1968,tormobu01,https://www.basketball-reference.com/players/t/tormobu01/gamelog/1968
9,9,1967-10-28,30-169,STL,,SEA,W (+7),,5:00,1,4,.250,0,0,,1,0,1,2,1968,tormobu01,https://www.basketball-reference.com/players/t/tormobu01/gamelog/1968
10,10,1967-10-31,30-172,STL,,BAL,W (+11),,2:00,0,1,.000,0,0,,0,0,1,0,1968,tormobu01,https://www.basketball-reference.com/players/t/tormobu01/gamelog/1968
11,11,1967-11-01,30-173,STL,@,CIN,W (+5),,5:00,0,2,.000,2,2,1.000,5,1,1,2,1968,tormobu01,https://www.basketball-reference.com/players/t/tormobu01/gamelog/1968
12,12,1967-11-04,30-176,STL,,BOS,W (+7),,11:00,3,5,.600,0,0,,0,0,3,6,1968,tormobu01,https://www.basketball-reference.com/players/t/tormobu01/gamelog/1968
13,13,1967-11-08,30-180,STL,,SEA,W (+15),,8:00,2,3,.667,1,1,1.000,6,2,1,5,1968,tormobu01,https://www.basketball-reference.com/players/t/tormobu01/gamelog/1968
14,14,1967-11-10,30-182,STL,@,DET,W (+3),,7:00,2,2,1.000,0,0,,1,1,2,4,1968,tormobu01,https://www.basketball-reference.com/players/t/tormobu01/gamelog/1968
15,15,1967-11-11,30-183,STL,,SFW,W (+1),,5:00,0,0,,0,0,,0,1,1,0,1968,tormobu01,https://www.basketball-reference.com/players/t/tormobu01/gamelog/1968
16,16,1967-11-12,30-184,STL,,SDR,W (+11),,14:00,1,5,.200,2,5,.400,9,2,0,4,1968,tormobu01,https://www.basketball-reference.com/players/t/tormobu01/gamelog/1968
17,17,1967-11-14,30-186,STL,,DET,L (-17),,13:00,3,7,.429,0,0,,4,3,1,6,1968,tormobu01,https://www.basketball-reference.com/players/t/tormobu01/gamelog/1968
18,18,1967-11-17,30-189,STL,,PHI,L (-8),,10:00,2,5,.400,0,1,.000,5,1,0,4,1968,tormobu01,https://www.basketball-reference.com/players/t/tormobu01/gamelog/1968
19,19,1967-11-18,30-190,STL,,LAL,L (-20),,5:00,2,3,.667,0,0,,0,0,1,4,1968,tormobu01,https://www.basketball-reference.com/players/t/tormobu01/gamelog/1968
20,20,1967-11-22,30-194,STL,,PHI,W (+2),,8:00,2,5,.400,0,0,,2,0,2,4,1968,tormobu01,https://www.basketball-reference.com/players/t/tormobu01/gamelog/1968
21,21,1967-11-25,30-197,STL,,SDR,W (+1),,16:00,4,8,.500,2,3,.667,10,1,1,10,1968,tormobu01,https://www.basketball-reference.com/players/t/tormobu01/gamelog/1968
22,22,1967-11-26,30-198,STL,@,LAL,L (-4),,10:00,1,4,.250,0,0,,5,1,1,2,1968,tormobu01,https://www.basketball-reference.com/players/t/tormobu01/gamelog/1968
23,23,1967-11-28,30-200,STL,@,LAL,L (-17),,8:00,3,6,.500,0,0,,3,1,0,6,1968,tormobu01,https://www.basketball-reference.com/players/t/tormobu01/gamelog/1968
24,24,1967-11-30,30-202,STL,@,SDR,W (+42),,,1,,,0,0,,,,2,2,1968,tormobu01,https://www.basketball-reference.com/players/t/tormobu01/gamelog/1968
25,25,1967-12-01,30-203,STL,@,SFW,L (-23),,6:00,1,2,.500,0,0,,1,0,1,2,1968,tormobu01,https://www.basketball-reference.com/players/t/tormobu01/gamelog/1968
26,26,1967-12-03,30-205,STL,@,SEA,W (+14),,3:00,0,2,.000,0,0,,2,0,0,0,1968,tormobu01,https://www.basketball-reference.com/players/t/tormobu01/gamelog/1968
27,27,1967-12-08,30-210,STL,,CIN,W (+6),,2:00,0,1,.000,0,0,,0,0,1,0,1968,tormobu01,https://www.basketball-reference.com/players/t/tormobu01/gamelog/1968
28,28,1967-12-10,30-212,STL,,BAL,W (+2),,8:00,1,1,1.000,0,0,,1,1,1,2,1968,tormobu01,https://www.basketball-reference.com/players/t/tormobu01/gamelog/1968
29,29,1967-12-12,30-214,STL,@,NYK,W (+3),,3:00,0,1,.000,0,0,,2,0,1,0,1968,tormobu01,https://www.basketball-reference.com/players/t/tormobu01/gamelog/1968
30,30,1967-12-15,30-217,STL,@,PHI,L (-9),,8:00,0,2,.000,0,0,,1,1,1,0,1968,tormobu01,https://www.basketball-reference.com/players/t/tormobu01/gamelog/1968
31,31,1967-12-16,30-218,STL,,SFW,W (+7),,3:00,0,2,.000,0,0,,2,0,1,0,1968,tormobu01,https://www.basketball-reference.com/players/t/tormobu01/gamelog/1968
32,32,1967-12-17,30-219,STL,,SFW,W (+18),,19:00,2,3,.667,3,3,1.000,8,2,4,7,1968,tormobu01,https://www.basketball-reference.com/players/t/tormobu01/gamelog/1968
33,33,1967-12-26,30-228,STL,@,DET,L (-17),,4:00,0,1,.000,2,2,1.000,2,1,1,2,1968,tormobu01,https://www.basketball-reference.com/players/t/tormobu01/gamelog/1968
34,34,1967-12-27,30-229,STL,,BOS,W (+3),,,0,1,.000,0,0,,0,0,0,0,1968,tormobu01,https://www.basketball-reference.com/players/t/tormobu01/gamelog/1968
35,35,1967-12-30,30-232,STL,,LAL,L (-2),,5:00,0,3,.000,0,0,,3,0,0,0,1968,tormobu01,https://www.basketball-reference.com/players/t/tormobu01/gamelog/1968
36,36,1968-01-01,30-234,STL,@,SEA,W (+21),,12:00,1,1,1.000,0,0,,1,2,1,2,1968,tormobu01,https://www.basketball-reference.com/players/t/tormobu01/gamelog/1968
37,37,1968-01-03,30-236,STL,@,SDR,L (-2),,8:00,0,2,.000,0,0,,2,0,2,0,1968,tormobu01,https://www.basketball-reference.com/players/t/tormobu01/gamelog/1968
38,38,1968-01-04,30-237,STL,@,SFW,W (+8),,16:00,3,6,.500,1,3,.333,1,1,2,7,1968,tormobu01,https://www.basketball-reference.com/players/t/tormobu01/gamelog/1968
39,39,1968-01-06,30-239,STL,,PHI,L (-11),,12:00,1,4,.250,0,0,,2,2,4,2,1968,tormobu01,https://www.basketball-reference.com/players/t/tormobu01/gamelog/1968
40,40,1968-01-09,30-242,STL,,CHI,W (+12),,10:00,3,5,.600,0,2,.000,4,1,5,6,1968,tormobu01,https://www.basketball-reference.com/players/t/tormobu01/gamelog/1968
41,41,1968-01-10,30-243,STL,@,PHI,W (+12),,8:00,2,5,.400,0,0,,4,1,2,4,1968,tormobu01,https://www.basketball-reference.com/players/t/tormobu01/gamelog/1968
42,42,1968-01-11,30-244,STL,@,BAL,W (+7),,9:00,0,2,.000,0,0,,2,2,1,0,1968,tormobu01,https://www.basketball-reference.com/players/t/tormobu01/gamelog/1968
43,43,1968-01-12,30-245,STL,,SDR,W (+22),,12:00,2,4,.500,2,5,.400,7,0,1,6,1968,tormobu01,https://www.basketball-reference.com/players/t/tormobu01/gamelog/1968
44,44,1968-01-14,30-247,STL,,CHI,W (+7),,11:00,0,2,.000,0,0,,3,2,1,0,1968,tormobu01,https://www.basketball-reference.com/players/t/tormobu01/gamelog/1968
45,45,1968-01-17,30-250,STL,@,BOS,L (-12),,6:00,0,1,.000,0,0,,1,0,0,0,1968,tormobu01,https://www.basketball-reference.com/players/t/tormobu01/gamelog/1968
46,46,1968-01-20,30-253,STL,,SEA,W (+5),,14:00,3,6,.500,0,0,,2,0,1,6,1968,tormobu01,https://www.basketball-reference.com/players/t/tormobu01/gamelog/1968
47,47,1968-01-21,30-254,STL,,CHI,W (+8),,4:00,1,1,1.000,1,3,.333,3,0,0,3,1968,tormobu01,https://www.basketball-reference.com/players/t/tormobu01/gamelog/1968
48,48,1968-01-25,30-258,STL,,BOS,W (+12),,4:00,1,3,.333,1,2,.500,2,0,1,3,1968,tormobu01,https://www.basketball-reference.com/players/t/tormobu01/gamelog/1968
49,49,1968-01-26,30-259,STL,,NYK,W (+9),,9:00,1,4,.250,0,0,,5,1,2,2,1968,tormobu01,https://www.basketball-reference.com/players/t/tormobu01/gamelog/1968
50,50,1968-01-27,30-260,STL,@,CIN,W (+9),,9:00,1,2,.500,0,0,,2,0,2,2,1968,tormobu01,https://www.basketball-reference.com/players/t/tormobu01/gamelog/1968
51,51,1968-01-28,30-261,STL,,LAL,L (-15),,7:00,2,5,.400,0,0,,3,0,0,4,1968,tormobu01,https://www.basketball-reference.com/players/t/tormobu01/gamelog/1968
52,52,1968-01-31,30-264,STL,@,LAL,L (-8),,,1,2,.500,0,0,,0,2,1,2,1968,tormobu01,https://www.basketball-reference.com/players/t/tormobu01/gamelog/1968
53,53,1968-02-01,30-265,STL,@,SEA,W (+3),,12:00,3,7,.429,1,1,1.000,5,0,2,7,1968,tormobu01,https://www.basketball-reference.com/players/t/tormobu01/gamelog/1968
