Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2000-12-17,26-086,DAL,@,DET,W (+9),0,9:27,2,3,.667,0,0,,0,0,,1,1,2,0,0,0,1,4,4,1.1,-5,2001,trentga01,https://www.basketball-reference.com/players/t/trentga01/gamelog/2001
2,2,2000-12-18,26-087,DAL,@,BOS,W (+8),0,12:04,2,3,.667,0,0,,0,0,,1,2,3,0,0,0,1,1,4,2.6,+1,2001,trentga01,https://www.basketball-reference.com/players/t/trentga01/gamelog/2001
3,3,2000-12-20,26-089,DAL,,POR,W (+5),0,14:53,1,5,.200,0,0,,0,0,,4,2,6,0,2,0,1,0,2,3.3,+2,2001,trentga01,https://www.basketball-reference.com/players/t/trentga01/gamelog/2001
4,4,2000-12-22,26-091,DAL,,LAL,L (-5),0,5:58,1,3,.333,0,0,,0,0,,0,0,0,1,0,0,0,3,2,-0.2,-6,2001,trentga01,https://www.basketball-reference.com/players/t/trentga01/gamelog/2001
5,5,2000-12-26,26-095,DAL,,SEA,W (+21),0,7:02,0,2,.000,0,0,,0,2,.000,0,2,2,0,0,0,0,1,0,-2.0,+3,2001,trentga01,https://www.basketball-reference.com/players/t/trentga01/gamelog/2001
6,6,2000-12-28,26-097,DAL,,LAC,W (+9),0,11:39,3,5,.600,0,0,,1,2,.500,0,2,2,0,0,0,3,1,7,1.5,-6,2001,trentga01,https://www.basketball-reference.com/players/t/trentga01/gamelog/2001
7,7,2000-12-30,26-099,DAL,,HOU,L (-15),0,4:56,0,0,,0,0,,0,0,,2,1,3,1,0,0,1,1,0,1.0,-4,2001,trentga01,https://www.basketball-reference.com/players/t/trentga01/gamelog/2001
8,8,2001-01-03,26-103,DAL,,DET,L (-3),0,8:21,1,3,.333,0,0,,0,0,,1,1,2,0,1,0,0,0,2,2.3,-8,2001,trentga01,https://www.basketball-reference.com/players/t/trentga01/gamelog/2001
9,9,2001-01-05,26-105,DAL,@,TOR,W (+10),0,5:25,3,4,.750,0,0,,0,0,,0,1,1,0,0,1,0,2,6,4.6,-4,2001,trentga01,https://www.basketball-reference.com/players/t/trentga01/gamelog/2001
10,10,2001-01-06,26-106,DAL,@,WAS,W (+18),0,5:43,1,2,.500,0,0,,0,0,,0,1,1,0,0,0,1,0,2,0.3,-2,2001,trentga01,https://www.basketball-reference.com/players/t/trentga01/gamelog/2001
11,11,2001-01-08,26-108,DAL,@,CHI,W (+13),0,8:27,1,2,.500,0,0,,1,2,.500,1,2,3,0,1,0,0,1,3,3.5,0,2001,trentga01,https://www.basketball-reference.com/players/t/trentga01/gamelog/2001
12,12,2001-01-10,26-110,DAL,@,MIN,W (+20),0,14:11,2,4,.500,0,0,,1,4,.250,0,6,6,0,1,0,1,4,5,2.0,-2,2001,trentga01,https://www.basketball-reference.com/players/t/trentga01/gamelog/2001
13,13,2001-01-11,26-111,DAL,@,MIL,L (-8),0,9:01,1,3,.333,0,0,,0,0,,2,0,2,0,0,0,1,1,2,0.3,-7,2001,trentga01,https://www.basketball-reference.com/players/t/trentga01/gamelog/2001
