Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2006-11-01,21-180,TOR,@,NJN,L (-10),0,8:06,0,2,.000,0,0,,3,4,.750,1,3,4,0,1,0,1,1,3,2.4,0,2007,tuckepj01,https://www.basketball-reference.com/players/t/tuckepj01/gamelog/2007
2,2,2006-11-03,21-182,TOR,,MIL,W (+17),0,3:12,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1.1,-6,2007,tuckepj01,https://www.basketball-reference.com/players/t/tuckepj01/gamelog/2007
3,,2006-11-05,21-184,TOR,,SAS,L (-9),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2007,tuckepj01,https://www.basketball-reference.com/players/t/tuckepj01/gamelog/2007
4,,2006-11-08,21-187,TOR,,PHI,W (+2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2007,tuckepj01,https://www.basketball-reference.com/players/t/tuckepj01/gamelog/2007
5,3,2006-11-10,21-189,TOR,,ATL,L (-9),0,0:16,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0,2007,tuckepj01,https://www.basketball-reference.com/players/t/tuckepj01/gamelog/2007
6,4,2006-11-12,21-191,TOR,@,SAC,L (-15),0,4:29,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,1,0,-1.4,-4,2007,tuckepj01,https://www.basketball-reference.com/players/t/tuckepj01/gamelog/2007
7,5,2006-11-14,21-193,TOR,@,GSW,L (-11),0,1:06,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0,2007,tuckepj01,https://www.basketball-reference.com/players/t/tuckepj01/gamelog/2007
8,,2006-11-17,21-196,TOR,@,LAL,L (-7),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2007,tuckepj01,https://www.basketball-reference.com/players/t/tuckepj01/gamelog/2007
9,,2006-11-18,21-197,TOR,@,DEN,L (-8),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2007,tuckepj01,https://www.basketball-reference.com/players/t/tuckepj01/gamelog/2007
10,,2006-11-20,21-199,TOR,@,UTA,L (-5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2007,tuckepj01,https://www.basketball-reference.com/players/t/tuckepj01/gamelog/2007
11,,2006-11-22,21-201,TOR,,CLE,W (+8),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2007,tuckepj01,https://www.basketball-reference.com/players/t/tuckepj01/gamelog/2007
12,,2006-11-24,21-203,TOR,@,ATL,L (-4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2007,tuckepj01,https://www.basketball-reference.com/players/t/tuckepj01/gamelog/2007
13,,2006-11-26,21-205,TOR,,IND,W (+9),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2007,tuckepj01,https://www.basketball-reference.com/players/t/tuckepj01/gamelog/2007
14,6,2006-11-28,21-207,TOR,@,NOK,W (+17),0,2:41,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-4,2007,tuckepj01,https://www.basketball-reference.com/players/t/tuckepj01/gamelog/2007
15,7,2006-11-29,21-208,TOR,@,DAL,L (-19),0,4:47,1,3,.333,0,0,,0,0,,1,0,1,0,0,0,1,0,2,0.0,+1,2007,tuckepj01,https://www.basketball-reference.com/players/t/tuckepj01/gamelog/2007
16,,2006-12-01,21-210,TOR,,BOS,W (+4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2007,tuckepj01,https://www.basketball-reference.com/players/t/tuckepj01/gamelog/2007
