Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,session,player,gamelog_url
1,1,1983-10-28,23-312,NYK,@,CLE,W (+7),0,6:00,2,3,.667,0,1,.000,0,0,,1,0,1,2,1,0,0,1,4,5.4,1984,tucketr01,https://www.basketball-reference.com/players/t/tucketr01/gamelog/1984
2,2,1983-10-29,23-313,NYK,,WSB,W (+3),0,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,1984,tucketr01,https://www.basketball-reference.com/players/t/tucketr01/gamelog/1984
3,3,1983-11-02,23-317,NYK,@,SEA,L (-6),0,13:00,2,4,.500,0,1,.000,0,0,,0,2,2,1,0,1,0,1,4,3.6,1984,tucketr01,https://www.basketball-reference.com/players/t/tucketr01/gamelog/1984
4,4,1983-11-10,23-325,NYK,@,IND,W (+8),0,18:00,1,6,.167,0,0,,0,0,,1,2,3,1,1,0,1,1,2,-0.2,1984,tucketr01,https://www.basketball-reference.com/players/t/tucketr01/gamelog/1984
5,5,1983-11-11,23-326,NYK,,SDC,W (+21),0,14:00,3,4,.750,0,0,,0,0,,0,0,0,2,0,0,2,4,6,2.2,1984,tucketr01,https://www.basketball-reference.com/players/t/tucketr01/gamelog/1984
6,6,1983-11-15,23-330,NYK,,IND,W (+7),0,19:00,5,12,.417,0,0,,0,0,,1,1,2,1,1,0,1,0,10,5.3,1984,tucketr01,https://www.basketball-reference.com/players/t/tucketr01/gamelog/1984
7,7,1983-11-16,23-331,NYK,@,PHI,L (-5),0,33:00,7,15,.467,0,1,.000,0,0,,0,2,2,5,2,0,1,1,14,11.0,1984,tucketr01,https://www.basketball-reference.com/players/t/tucketr01/gamelog/1984
8,8,1983-11-18,23-333,NYK,@,BOS,W (+7),0,11:00,0,3,.000,0,0,,0,0,,0,1,1,0,0,0,2,1,0,-4.2,1984,tucketr01,https://www.basketball-reference.com/players/t/tucketr01/gamelog/1984
9,9,1983-11-19,23-334,NYK,,DET,W (+3),0,9:00,1,3,.333,0,0,,0,0,,0,1,1,0,3,1,0,0,2,4.3,1984,tucketr01,https://www.basketball-reference.com/players/t/tucketr01/gamelog/1984
10,10,1983-11-26,23-341,NYK,,CLE,W (+12),0,6:00,0,4,.000,0,0,,0,0,,0,1,1,1,0,0,0,1,0,-2.2,1984,tucketr01,https://www.basketball-reference.com/players/t/tucketr01/gamelog/1984
11,11,1983-11-29,23-344,NYK,,SAS,W (+12),0,14:00,1,4,.250,0,0,,2,3,.667,2,1,3,0,0,0,3,2,4,-0.9,1984,tucketr01,https://www.basketball-reference.com/players/t/tucketr01/gamelog/1984
12,12,1983-12-01,23-346,NYK,,WSB,W (+34),0,10:00,0,6,.000,0,1,.000,0,0,,0,0,0,1,0,0,0,0,0,-3.5,1984,tucketr01,https://www.basketball-reference.com/players/t/tucketr01/gamelog/1984
13,13,1983-12-08,23-353,NYK,@,PHO,L (-23),0,14:00,1,8,.125,0,1,.000,0,0,,1,0,1,2,1,0,0,2,2,-0.9,1984,tucketr01,https://www.basketball-reference.com/players/t/tucketr01/gamelog/1984
14,14,1983-12-28,24-008,NYK,,DET,L (-3),0,6:00,0,1,.000,0,0,,0,0,,1,1,2,2,0,0,0,1,0,1.3,1984,tucketr01,https://www.basketball-reference.com/players/t/tucketr01/gamelog/1984
15,15,1984-01-03,24-014,NYK,,LAL,W (+12),1,18:00,2,5,.400,0,0,,0,0,,0,0,0,1,1,0,0,2,4,2.2,1984,tucketr01,https://www.basketball-reference.com/players/t/tucketr01/gamelog/1984
16,16,1984-01-06,24-017,NYK,@,DET,L (-11),1,17:00,2,6,.333,0,0,,0,0,,0,0,0,0,1,0,0,3,4,0.4,1984,tucketr01,https://www.basketball-reference.com/players/t/tucketr01/gamelog/1984
17,17,1984-01-07,24-018,NYK,,IND,W (+37),0,8:00,2,3,.667,0,0,,0,0,,0,0,0,1,0,0,1,1,4,2.0,1984,tucketr01,https://www.basketball-reference.com/players/t/tucketr01/gamelog/1984
18,18,1984-01-09,24-020,NYK,,PHI,W (+38),0,7:00,2,3,.667,0,0,,0,0,,0,2,2,3,0,0,0,0,4,5.4,1984,tucketr01,https://www.basketball-reference.com/players/t/tucketr01/gamelog/1984
19,19,1984-01-17,24-028,NYK,,NJN,L (-6),0,17:00,4,7,.571,0,0,,0,0,,0,2,2,0,1,0,0,4,8,4.7,1984,tucketr01,https://www.basketball-reference.com/players/t/tucketr01/gamelog/1984
20,20,1984-01-19,24-030,NYK,,CHI,W (+17),1,28:00,4,10,.400,0,0,,0,0,,0,1,1,3,0,0,1,3,8,2.8,1984,tucketr01,https://www.basketball-reference.com/players/t/tucketr01/gamelog/1984
21,21,1984-01-21,24-032,NYK,,ATL,L (-2),1,25:00,5,7,.714,0,0,,0,0,,1,1,2,1,1,0,2,4,10,6.2,1984,tucketr01,https://www.basketball-reference.com/players/t/tucketr01/gamelog/1984
22,22,1984-01-24,24-035,NYK,,PHI,W (+9),1,37:00,9,12,.750,0,0,,0,0,,1,1,2,4,1,1,1,5,18,15.7,1984,tucketr01,https://www.basketball-reference.com/players/t/tucketr01/gamelog/1984
23,23,1984-01-26,24-037,NYK,@,WSB,W (+7),1,33:00,7,10,.700,0,0,,0,0,,0,4,4,3,1,0,2,3,14,10.9,1984,tucketr01,https://www.basketball-reference.com/players/t/tucketr01/gamelog/1984
24,24,1984-01-31,24-042,NYK,@,SAS,W (+4),1,36:00,5,12,.417,0,0,,1,1,1.000,0,0,0,3,2,0,1,2,11,6.9,1984,tucketr01,https://www.basketball-reference.com/players/t/tucketr01/gamelog/1984
25,25,1984-02-01,24-043,NYK,@,DAL,W (+7),1,30:00,3,5,.600,0,0,,1,1,1.000,0,2,2,3,2,0,0,5,7,7.4,1984,tucketr01,https://www.basketball-reference.com/players/t/tucketr01/gamelog/1984
26,26,1984-02-04,24-046,NYK,@,HOU,W (+8),1,29:00,3,8,.375,0,1,.000,0,0,,0,3,3,5,4,0,1,4,6,7.4,1984,tucketr01,https://www.basketball-reference.com/players/t/tucketr01/gamelog/1984
27,27,1984-02-06,24-048,NYK,,GSW,W (+22),1,28:00,4,12,.333,0,0,,1,2,.500,0,3,3,5,2,0,0,1,9,7.8,1984,tucketr01,https://www.basketball-reference.com/players/t/tucketr01/gamelog/1984
28,28,1984-02-08,24-050,NYK,@,MIL,L (-10),1,13:00,1,3,.333,0,0,,0,0,,0,0,0,2,0,0,0,1,2,1.3,1984,tucketr01,https://www.basketball-reference.com/players/t/tucketr01/gamelog/1984
29,29,1984-02-10,24-052,NYK,@,UTA,W (+10),1,14:00,2,4,.500,0,0,,0,0,,0,0,0,2,1,0,0,1,4,4.0,1984,tucketr01,https://www.basketball-reference.com/players/t/tucketr01/gamelog/1984
30,30,1984-02-11,24-053,NYK,@,DEN,W (+26),1,23:00,3,11,.273,0,0,,1,2,.500,1,3,4,4,1,0,0,2,7,4.7,1984,tucketr01,https://www.basketball-reference.com/players/t/tucketr01/gamelog/1984
31,31,1984-02-14,24-056,NYK,@,KCK,W (+6),1,21:00,1,3,.333,0,1,.000,0,0,,0,1,1,2,3,0,2,3,2,1.8,1984,tucketr01,https://www.basketball-reference.com/players/t/tucketr01/gamelog/1984
32,32,1984-02-16,24-058,NYK,,IND,W (+6),1,23:00,6,9,.667,0,0,,0,0,,2,1,3,1,1,0,1,1,12,10.1,1984,tucketr01,https://www.basketball-reference.com/players/t/tucketr01/gamelog/1984
33,33,1984-02-18,24-060,NYK,,NJN,W (+10),1,32:00,5,11,.455,0,0,,0,0,,0,6,6,2,0,2,0,4,10,7.3,1984,tucketr01,https://www.basketball-reference.com/players/t/tucketr01/gamelog/1984
34,34,1984-02-19,24-061,NYK,@,PHI,L (-4),1,31:00,4,9,.444,0,0,,0,0,,0,6,6,1,1,0,2,1,8,4.4,1984,tucketr01,https://www.basketball-reference.com/players/t/tucketr01/gamelog/1984
35,35,1984-02-21,24-063,NYK,,POR,L (-17),1,26:00,5,8,.625,0,0,,0,0,,1,2,3,4,1,0,0,1,10,11.1,1984,tucketr01,https://www.basketball-reference.com/players/t/tucketr01/gamelog/1984
36,36,1984-02-22,24-064,NYK,@,DET,L (-3),1,28:00,4,8,.500,0,0,,0,0,,4,1,5,2,0,1,2,2,8,6.4,1984,tucketr01,https://www.basketball-reference.com/players/t/tucketr01/gamelog/1984
37,37,1984-02-24,24-066,NYK,@,ATL,L (-1),0,20:00,4,9,.444,0,0,,3,4,.750,1,2,3,1,2,0,1,3,11,7.7,1984,tucketr01,https://www.basketball-reference.com/players/t/tucketr01/gamelog/1984
38,38,1984-02-25,24-067,NYK,@,NJN,L (-13),0,18:00,3,5,.600,1,1,1.000,0,0,,0,2,2,2,1,0,1,4,7,5.1,1984,tucketr01,https://www.basketball-reference.com/players/t/tucketr01/gamelog/1984
39,39,1984-02-27,24-069,NYK,,ATL,W (+4),0,13:00,3,6,.500,0,0,,0,0,,0,0,0,1,0,0,1,2,6,1.9,1984,tucketr01,https://www.basketball-reference.com/players/t/tucketr01/gamelog/1984
40,40,1984-02-29,24-071,NYK,@,BOS,W (+4),0,14:00,3,5,.600,0,0,,0,0,,2,4,6,2,1,0,0,1,6,8.3,1984,tucketr01,https://www.basketball-reference.com/players/t/tucketr01/gamelog/1984
41,41,1984-03-02,24-073,NYK,@,DET,W (+15),0,14:00,4,5,.800,0,0,,0,0,,2,0,2,2,0,0,1,2,8,7.1,1984,tucketr01,https://www.basketball-reference.com/players/t/tucketr01/gamelog/1984
42,42,1984-03-03,24-074,NYK,,MIL,L (-5),0,15:00,2,3,.667,0,0,,0,0,,1,2,3,1,0,0,3,1,4,1.3,1984,tucketr01,https://www.basketball-reference.com/players/t/tucketr01/gamelog/1984
43,43,1984-03-06,24-077,NYK,,SEA,W (+14),0,21:00,5,7,.714,0,0,,0,0,,1,0,1,5,3,0,1,3,10,12.1,1984,tucketr01,https://www.basketball-reference.com/players/t/tucketr01/gamelog/1984
44,44,1984-03-10,24-081,NYK,,UTA,W (+9),0,23:00,5,10,.500,0,0,,2,2,1.000,2,3,5,3,4,0,2,2,12,12.6,1984,tucketr01,https://www.basketball-reference.com/players/t/tucketr01/gamelog/1984
45,45,1984-03-13,24-084,NYK,,PHO,W (+21),0,16:00,2,4,.500,0,0,,0,0,,2,2,4,2,1,0,1,2,4,4.6,1984,tucketr01,https://www.basketball-reference.com/players/t/tucketr01/gamelog/1984
46,46,1984-03-15,24-086,NYK,,CLE,W (+23),0,23:00,7,12,.583,1,1,1.000,0,0,,0,0,0,3,1,0,0,2,15,11.7,1984,tucketr01,https://www.basketball-reference.com/players/t/tucketr01/gamelog/1984
47,47,1984-03-17,24-088,NYK,,KCK,W (+14),0,18:00,3,3,1.000,0,0,,2,2,1.000,1,2,3,1,1,0,3,2,8,6.3,1984,tucketr01,https://www.basketball-reference.com/players/t/tucketr01/gamelog/1984
48,48,1984-03-21,24-092,NYK,@,CLE,L (-1),0,14:00,6,7,.857,0,0,,0,0,,0,0,0,2,0,0,1,3,12,8.7,1984,tucketr01,https://www.basketball-reference.com/players/t/tucketr01/gamelog/1984
49,49,1984-03-22,24-093,NYK,,BOS,L (-8),0,19:00,6,6,1.000,2,2,1.000,2,4,.500,0,1,1,3,0,0,0,3,16,14.6,1984,tucketr01,https://www.basketball-reference.com/players/t/tucketr01/gamelog/1984
50,50,1984-03-24,24-095,NYK,,WSB,W (+8),0,17:00,5,7,.714,0,0,,0,0,,0,1,1,4,2,0,3,2,10,8.4,1984,tucketr01,https://www.basketball-reference.com/players/t/tucketr01/gamelog/1984
