Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2010-10-27,22-000,PHI,,MIA,L (-10),0,30:40,7,10,.700,0,0,,2,3,.667,1,6,7,4,0,1,2,2,16,14.6,+5,2011,turneev01,https://www.basketball-reference.com/players/t/turneev01/gamelog/2011
2,2,2010-10-29,22-002,PHI,,ATL,L (-3),0,18:30,0,5,.000,0,1,.000,0,0,,0,2,2,4,0,1,0,3,0,-0.6,-6,2011,turneev01,https://www.basketball-reference.com/players/t/turneev01/gamelog/2011
3,3,2010-10-30,22-003,PHI,@,IND,L (-13),0,33:03,4,11,.364,0,0,,1,2,.500,1,6,7,2,0,0,2,3,9,3.2,+5,2011,turneev01,https://www.basketball-reference.com/players/t/turneev01/gamelog/2011
4,4,2010-11-02,22-006,PHI,@,WAS,L (-1),0,27:51,4,7,.571,0,0,,1,2,.500,0,6,6,1,1,0,3,3,9,4.6,-15,2011,turneev01,https://www.basketball-reference.com/players/t/turneev01/gamelog/2011
5,5,2010-11-03,22-007,PHI,,IND,W (+26),0,22:36,5,8,.625,0,1,.000,2,2,1.000,0,6,6,3,1,0,3,2,12,9.5,+23,2011,turneev01,https://www.basketball-reference.com/players/t/turneev01/gamelog/2011
6,6,2010-11-05,22-009,PHI,,CLE,L (-7),0,25:07,2,7,.286,0,2,.000,1,1,1.000,0,4,4,1,1,0,2,4,5,0.2,+9,2011,turneev01,https://www.basketball-reference.com/players/t/turneev01/gamelog/2011
7,7,2010-11-07,22-011,PHI,@,NYK,W (+10),1,35:17,6,11,.545,0,0,,2,3,.667,1,9,10,3,1,0,5,4,14,8.2,0,2011,turneev01,https://www.basketball-reference.com/players/t/turneev01/gamelog/2011
8,8,2010-11-10,22-014,PHI,@,OKC,L (-6),1,38:53,6,13,.462,0,1,.000,3,3,1.000,2,6,8,1,1,0,0,5,15,11.2,-4,2011,turneev01,https://www.basketball-reference.com/players/t/turneev01/gamelog/2011
9,9,2010-11-12,22-016,PHI,@,DAL,L (-9),1,27:49,2,6,.333,0,1,.000,1,3,.333,0,6,6,2,1,1,2,2,5,2.9,-1,2011,turneev01,https://www.basketball-reference.com/players/t/turneev01/gamelog/2011
10,10,2010-11-13,22-017,PHI,@,SAS,L (-23),1,27:28,0,3,.000,0,0,,0,0,,0,4,4,0,0,0,1,2,0,-2.7,-8,2011,turneev01,https://www.basketball-reference.com/players/t/turneev01/gamelog/2011
11,11,2010-11-16,22-020,PHI,@,CLE,L (-8),1,38:36,4,13,.308,1,3,.333,7,8,.875,1,8,9,0,0,1,4,4,16,6.3,0,2011,turneev01,https://www.basketball-reference.com/players/t/turneev01/gamelog/2011
12,12,2010-11-17,22-021,PHI,,TOR,L (-8),1,43:28,3,8,.375,0,0,,5,6,.833,1,11,12,4,2,0,1,3,11,12.8,-4,2011,turneev01,https://www.basketball-reference.com/players/t/turneev01/gamelog/2011
13,13,2010-11-19,22-023,PHI,,MIL,W (+11),1,28:46,4,6,.667,0,0,,0,0,,1,1,2,6,1,1,1,3,8,10.1,-4,2011,turneev01,https://www.basketball-reference.com/players/t/turneev01/gamelog/2011
14,14,2010-11-23,22-027,PHI,@,WAS,L (-2),1,20:11,3,7,.429,0,1,.000,5,8,.625,0,2,2,1,1,0,0,3,11,7.2,-21,2011,turneev01,https://www.basketball-reference.com/players/t/turneev01/gamelog/2011
15,15,2010-11-24,22-028,PHI,@,TOR,L (-16),1,15:59,0,0,,0,0,,2,2,1.000,0,2,2,0,0,0,0,0,2,2.6,-2,2011,turneev01,https://www.basketball-reference.com/players/t/turneev01/gamelog/2011
16,16,2010-11-26,22-030,PHI,@,MIA,L (-9),1,22:40,0,2,.000,0,0,,0,0,,0,1,1,2,0,0,1,0,0,-0.7,-13,2011,turneev01,https://www.basketball-reference.com/players/t/turneev01/gamelog/2011
17,17,2010-11-27,22-031,PHI,,NJN,W (+16),1,23:27,2,8,.250,0,0,,0,0,,0,3,3,1,0,0,0,1,4,0.4,+1,2011,turneev01,https://www.basketball-reference.com/players/t/turneev01/gamelog/2011
18,18,2010-11-30,22-034,PHI,,POR,W (+9),1,19:23,0,4,.000,0,0,,1,2,.500,0,2,2,3,2,0,0,1,1,2.1,+2,2011,turneev01,https://www.basketball-reference.com/players/t/turneev01/gamelog/2011
19,19,2010-12-03,22-037,PHI,@,ATL,L (-5),0,19:11,5,7,.714,0,1,.000,1,1,1.000,0,4,4,1,0,0,0,3,11,8.8,+4,2011,turneev01,https://www.basketball-reference.com/players/t/turneev01/gamelog/2011
20,20,2010-12-04,22-038,PHI,,CHA,W (+18),0,11:27,0,1,.000,0,0,,0,0,,0,2,2,1,0,0,1,0,0,-0.4,-4,2011,turneev01,https://www.basketball-reference.com/players/t/turneev01/gamelog/2011
21,21,2010-12-07,22-041,PHI,,CLE,W (+20),0,14:37,1,3,.333,0,0,,0,0,,0,1,1,1,0,0,1,1,2,-0.1,+5,2011,turneev01,https://www.basketball-reference.com/players/t/turneev01/gamelog/2011
22,22,2010-12-09,22-043,PHI,,BOS,L (-1),0,6:26,0,1,.000,0,0,,0,0,,0,0,0,1,1,0,0,1,0,0.6,-1,2011,turneev01,https://www.basketball-reference.com/players/t/turneev01/gamelog/2011
23,23,2010-12-12,22-046,PHI,,NOH,W (+18),0,21:08,3,4,.750,1,1,1.000,0,0,,0,4,4,3,1,0,1,1,7,8.3,+9,2011,turneev01,https://www.basketball-reference.com/players/t/turneev01/gamelog/2011
24,24,2010-12-14,22-048,PHI,@,NJN,W (+5),0,15:13,0,3,.000,0,0,,0,0,,0,6,6,0,0,0,1,1,0,-1.7,-6,2011,turneev01,https://www.basketball-reference.com/players/t/turneev01/gamelog/2011
25,25,2010-12-15,22-049,PHI,,LAC,W (+14),0,9:31,1,2,.500,0,0,,1,2,.500,1,2,3,1,0,0,0,1,3,3.2,-6,2011,turneev01,https://www.basketball-reference.com/players/t/turneev01/gamelog/2011
26,,2010-12-17,22-051,PHI,,LAL,L (-12),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2011,turneev01,https://www.basketball-reference.com/players/t/turneev01/gamelog/2011
27,26,2010-12-18,22-052,PHI,@,ORL,W (+8),0,9:15,1,5,.200,0,0,,0,0,,1,2,3,0,0,0,0,2,2,-0.6,+4,2011,turneev01,https://www.basketball-reference.com/players/t/turneev01/gamelog/2011
28,27,2010-12-21,22-055,PHI,@,CHI,L (-45),0,29:36,2,11,.182,0,1,.000,2,2,1.000,1,0,1,3,0,0,2,0,6,-0.1,-23,2011,turneev01,https://www.basketball-reference.com/players/t/turneev01/gamelog/2011
29,,2010-12-22,22-056,PHI,@,BOS,L (-4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2011,turneev01,https://www.basketball-reference.com/players/t/turneev01/gamelog/2011
