Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,session,player,gamelog_url
1,1,1976-10-22,33-243,PHO,@,NOJ,L (-13),0,16:00,3,6,.500,6,6,1.000,0,1,1,1,1,0,2,12,1977,vanardi01,https://www.basketball-reference.com/players/v/vanardi01/gamelog/1977
2,2,1976-10-23,33-244,PHO,@,HOU,L (-3),0,17:00,1,7,.143,0,0,,2,1,3,2,0,0,3,2,1977,vanardi01,https://www.basketball-reference.com/players/v/vanardi01/gamelog/1977
3,3,1976-10-27,33-248,PHO,@,SAS,L (-9),0,18:00,2,6,.333,1,2,.500,1,1,2,3,0,0,2,5,1977,vanardi01,https://www.basketball-reference.com/players/v/vanardi01/gamelog/1977
4,4,1976-10-29,33-250,PHO,@,CHI,W (+13),0,28:00,7,11,.636,3,4,.750,2,1,3,5,1,0,1,17,1977,vanardi01,https://www.basketball-reference.com/players/v/vanardi01/gamelog/1977
5,5,1976-10-30,33-251,PHO,@,DEN,L (-6),0,19:00,3,7,.429,2,2,1.000,0,0,0,1,0,0,1,8,1977,vanardi01,https://www.basketball-reference.com/players/v/vanardi01/gamelog/1977
6,6,1976-11-05,33-257,PHO,@,SEA,L (-4),0,13:00,1,2,.500,4,4,1.000,0,1,1,0,0,0,0,6,1977,vanardi01,https://www.basketball-reference.com/players/v/vanardi01/gamelog/1977
7,7,1976-11-11,33-263,PHO,,IND,W (+10),0,27:00,7,12,.583,1,2,.500,0,3,3,3,1,0,0,15,1977,vanardi01,https://www.basketball-reference.com/players/v/vanardi01/gamelog/1977
8,8,1976-11-13,33-265,PHO,,CLE,L (-13),1,33:00,6,10,.600,3,3,1.000,1,2,3,2,0,0,2,15,1977,vanardi01,https://www.basketball-reference.com/players/v/vanardi01/gamelog/1977
9,9,1976-11-17,33-269,PHO,,MIL,W (+8),1,27:00,8,10,.800,3,3,1.000,0,1,1,5,0,0,1,19,1977,vanardi01,https://www.basketball-reference.com/players/v/vanardi01/gamelog/1977
10,10,1976-11-18,33-270,PHO,@,GSW,L (-20),1,18:00,1,3,.333,2,2,1.000,0,1,1,1,0,1,2,4,1977,vanardi01,https://www.basketball-reference.com/players/v/vanardi01/gamelog/1977
11,11,1976-11-19,33-271,PHO,,NYN,L (-2),0,32:00,5,11,.455,5,6,.833,2,0,2,3,0,0,2,15,1977,vanardi01,https://www.basketball-reference.com/players/v/vanardi01/gamelog/1977
12,12,1976-11-21,33-273,PHO,,CHI,W (+5),0,21:00,3,6,.500,0,0,,0,1,1,3,1,0,1,6,1977,vanardi01,https://www.basketball-reference.com/players/v/vanardi01/gamelog/1977
13,13,1976-11-25,33-277,PHO,,WSB,W (+6),0,19:00,3,5,.600,0,1,.000,0,1,1,3,0,0,1,6,1977,vanardi01,https://www.basketball-reference.com/players/v/vanardi01/gamelog/1977
14,14,1976-11-27,33-279,PHO,,SEA,W (+12),0,21:00,5,12,.417,2,2,1.000,0,2,2,4,1,0,1,12,1977,vanardi01,https://www.basketball-reference.com/players/v/vanardi01/gamelog/1977
15,15,1976-11-30,33-282,PHO,@,IND,L (-6),0,16:00,4,7,.571,0,0,,1,1,2,1,2,0,0,8,1977,vanardi01,https://www.basketball-reference.com/players/v/vanardi01/gamelog/1977
16,16,1976-12-01,33-283,PHO,@,NYN,W (+10),0,31:00,6,9,.667,4,4,1.000,0,3,3,1,1,1,3,16,1977,vanardi01,https://www.basketball-reference.com/players/v/vanardi01/gamelog/1977
17,17,1976-12-03,33-285,PHO,,POR,L (-14),0,18:00,2,4,.500,2,2,1.000,0,1,1,3,1,1,2,6,1977,vanardi01,https://www.basketball-reference.com/players/v/vanardi01/gamelog/1977
18,18,1976-12-05,33-287,PHO,,SAS,W (+5),0,21:00,3,8,.375,3,3,1.000,0,2,2,1,1,0,0,9,1977,vanardi01,https://www.basketball-reference.com/players/v/vanardi01/gamelog/1977
19,19,1976-12-08,33-290,PHO,,HOU,W (+21),0,17:00,2,3,.667,2,2,1.000,0,2,2,1,0,0,1,6,1977,vanardi01,https://www.basketball-reference.com/players/v/vanardi01/gamelog/1977
20,20,1976-12-10,33-292,PHO,@,BOS,W (+4),0,18:00,2,4,.500,2,4,.500,0,1,1,1,0,0,0,6,1977,vanardi01,https://www.basketball-reference.com/players/v/vanardi01/gamelog/1977
21,21,1976-12-11,33-293,PHO,@,NYK,L (-16),0,13:00,5,10,.500,4,4,1.000,0,1,1,2,0,0,1,14,1977,vanardi01,https://www.basketball-reference.com/players/v/vanardi01/gamelog/1977
22,22,1976-12-12,33-294,PHO,@,ATL,W (+15),0,16:00,1,4,.250,3,4,.750,0,1,1,2,0,0,2,5,1977,vanardi01,https://www.basketball-reference.com/players/v/vanardi01/gamelog/1977
23,23,1976-12-14,33-296,PHO,@,BUF,L (-9),0,19:00,5,9,.556,0,0,,1,0,1,0,1,0,1,10,1977,vanardi01,https://www.basketball-reference.com/players/v/vanardi01/gamelog/1977
24,24,1976-12-15,33-297,PHO,@,PHI,L (-10),0,27:00,0,8,.000,0,0,,2,1,3,1,0,0,0,0,1977,vanardi01,https://www.basketball-reference.com/players/v/vanardi01/gamelog/1977
25,25,1976-12-17,33-299,PHO,@,LAL,L (-13),0,16:00,2,4,.500,0,0,,0,1,1,3,0,0,0,4,1977,vanardi01,https://www.basketball-reference.com/players/v/vanardi01/gamelog/1977
26,26,1976-12-18,33-300,PHO,,KCK,L (-1),0,25:00,2,6,.333,0,0,,1,1,2,2,0,0,2,4,1977,vanardi01,https://www.basketball-reference.com/players/v/vanardi01/gamelog/1977
27,27,1976-12-23,33-305,PHO,,BUF,W (+15),0,19:00,4,6,.667,0,0,,1,1,2,0,1,0,1,8,1977,vanardi01,https://www.basketball-reference.com/players/v/vanardi01/gamelog/1977
28,28,1976-12-25,33-307,PHO,,LAL,W (+17),0,16:00,0,3,.000,2,2,1.000,,,2,2,,,2,2,1977,vanardi01,https://www.basketball-reference.com/players/v/vanardi01/gamelog/1977
29,29,1976-12-28,33-310,PHO,@,DEN,L (-8),0,20:00,2,6,.333,4,4,1.000,1,4,5,2,0,0,0,8,1977,vanardi01,https://www.basketball-reference.com/players/v/vanardi01/gamelog/1977
30,30,1976-12-29,33-311,PHO,,BOS,W (+10),0,20:00,2,5,.400,0,0,,0,2,2,2,0,0,0,4,1977,vanardi01,https://www.basketball-reference.com/players/v/vanardi01/gamelog/1977
31,31,1977-01-02,33-315,PHO,@,KCK,L (-1),0,26:00,5,11,.455,0,0,,1,0,1,1,1,0,0,10,1977,vanardi01,https://www.basketball-reference.com/players/v/vanardi01/gamelog/1977
32,32,1977-01-04,33-317,PHO,@,MIL,L (-28),0,20:00,1,6,.167,5,6,.833,0,3,3,1,0,1,0,7,1977,vanardi01,https://www.basketball-reference.com/players/v/vanardi01/gamelog/1977
33,33,1977-01-05,33-318,PHO,@,DET,L (-3),0,26:00,6,11,.545,1,1,1.000,0,1,1,1,1,0,1,13,1977,vanardi01,https://www.basketball-reference.com/players/v/vanardi01/gamelog/1977
34,34,1977-01-07,33-320,PHO,@,WSB,L (-10),0,22:00,2,9,.222,2,3,.667,0,1,1,2,1,0,2,6,1977,vanardi01,https://www.basketball-reference.com/players/v/vanardi01/gamelog/1977
35,35,1977-01-08,33-321,PHO,@,NYK,L (-7),0,17:00,1,6,.167,0,0,,0,0,0,1,0,0,1,2,1977,vanardi01,https://www.basketball-reference.com/players/v/vanardi01/gamelog/1977
36,36,1977-01-10,33-323,PHO,@,ATL,W (+1),0,22:00,1,5,.200,1,2,.500,2,0,2,0,0,0,0,3,1977,vanardi01,https://www.basketball-reference.com/players/v/vanardi01/gamelog/1977
37,37,1977-01-11,33-324,PHO,@,CHI,L (-3),0,26:00,2,5,.400,0,2,.000,0,2,2,1,2,0,2,4,1977,vanardi01,https://www.basketball-reference.com/players/v/vanardi01/gamelog/1977
38,38,1977-01-13,33-326,PHO,,DET,W (+30),0,23:00,4,9,.444,6,6,1.000,1,0,1,0,1,0,2,14,1977,vanardi01,https://www.basketball-reference.com/players/v/vanardi01/gamelog/1977
39,39,1977-01-15,33-328,PHO,,CLE,W (+15),0,26:00,2,5,.400,2,2,1.000,0,1,1,3,0,0,2,6,1977,vanardi01,https://www.basketball-reference.com/players/v/vanardi01/gamelog/1977
40,40,1977-01-19,33-332,PHO,,NYK,W (+7),0,26:00,1,5,.200,1,2,.500,1,3,4,1,0,0,2,3,1977,vanardi01,https://www.basketball-reference.com/players/v/vanardi01/gamelog/1977
