Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,1996-11-01,32-284,MIN,,SAS,W (+4),1,26:35,3,4,.750,0,0,,0,0,,0,4,4,1,0,5,1,2,6,8.0,+16,1997,vrankst01,https://www.basketball-reference.com/players/v/vrankst01/gamelog/1997
2,2,1996-11-03,32-286,MIN,@,LAL,L (-6),1,12:23,0,3,.000,0,0,,0,0,,1,4,5,1,0,1,1,4,0,-1.4,-3,1997,vrankst01,https://www.basketball-reference.com/players/v/vrankst01/gamelog/1997
3,3,1996-11-05,32-288,MIN,@,PHO,W (+3),1,30:43,3,6,.500,0,0,,2,2,1.000,1,6,7,1,0,2,4,4,8,4.0,-4,1997,vrankst01,https://www.basketball-reference.com/players/v/vrankst01/gamelog/1997
4,4,1996-11-07,32-290,MIN,@,POR,L (-1),1,25:52,2,7,.286,0,0,,0,0,,1,2,3,0,1,2,1,4,4,1.0,-7,1997,vrankst01,https://www.basketball-reference.com/players/v/vrankst01/gamelog/1997
5,5,1996-11-10,32-293,MIN,@,LAC,L (-11),1,21:01,2,6,.333,0,0,,0,0,,1,4,5,0,1,3,2,4,4,2.0,+8,1997,vrankst01,https://www.basketball-reference.com/players/v/vrankst01/gamelog/1997
6,6,1996-11-12,32-295,MIN,,POR,W (+3),1,11:19,2,2,1.000,0,0,,0,0,,0,0,0,1,0,2,1,2,4,3.7,+7,1997,vrankst01,https://www.basketball-reference.com/players/v/vrankst01/gamelog/1997
7,7,1996-11-14,32-297,MIN,,DAL,W (+10),1,20:31,2,4,.500,0,0,,0,0,,1,2,3,0,0,4,3,3,4,1.9,+7,1997,vrankst01,https://www.basketball-reference.com/players/v/vrankst01/gamelog/1997
8,8,1996-11-16,32-299,MIN,@,NYK,L (-3),1,19:37,3,3,1.000,0,0,,0,2,.000,1,0,1,0,0,0,1,5,6,2.0,+7,1997,vrankst01,https://www.basketball-reference.com/players/v/vrankst01/gamelog/1997
9,9,1996-11-19,32-302,MIN,@,HOU,L (-29),1,21:06,1,5,.200,0,0,,0,0,,1,2,3,1,1,3,1,4,2,1.4,-11,1997,vrankst01,https://www.basketball-reference.com/players/v/vrankst01/gamelog/1997
10,10,1996-11-21,32-304,MIN,@,ORL,L (-4),1,21:41,2,3,.667,0,0,,0,0,,0,3,3,0,0,1,0,4,4,2.7,+9,1997,vrankst01,https://www.basketball-reference.com/players/v/vrankst01/gamelog/1997
11,11,1996-11-23,32-306,MIN,,LAC,W (+2),1,17:53,1,2,.500,0,0,,2,2,1.000,3,2,5,0,0,0,2,6,4,1.3,-3,1997,vrankst01,https://www.basketball-reference.com/players/v/vrankst01/gamelog/1997
