Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,session,player,gamelog_url
1,1,1949-11-03,28-233,BOS,@,SHE,L (-15),,,2,3,.667,0,0,,,2,0,4,1950,walkebr01,https://www.basketball-reference.com/players/w/walkebr01/gamelog/1950
2,2,1949-11-05,28-235,BOS,@,CHS,L (-16),,,2,,,1,2,.500,,,,5,1950,walkebr01,https://www.basketball-reference.com/players/w/walkebr01/gamelog/1950
3,3,1949-11-06,28-236,BOS,@,WAT,L (-14),,,1,,,0,0,,,,,2,1950,walkebr01,https://www.basketball-reference.com/players/w/walkebr01/gamelog/1950
4,4,1949-11-10,28-240,BOS,,MNL,L (-14),,,2,,,0,0,,,,0,4,1950,walkebr01,https://www.basketball-reference.com/players/w/walkebr01/gamelog/1950
5,5,1949-11-12,28-242,BOS,@,WSC,W (+8),,,9,,,2,2,1.000,,,,20,1950,walkebr01,https://www.basketball-reference.com/players/w/walkebr01/gamelog/1950
6,6,1949-11-15,28-245,BOS,,BLB,L (-5),,,5,,,3,3,1.000,,,,13,1950,walkebr01,https://www.basketball-reference.com/players/w/walkebr01/gamelog/1950
7,7,1949-11-16,28-246,BOS,@,PHW,L (-13),,,6,12,.500,2,2,1.000,,0,3,14,1950,walkebr01,https://www.basketball-reference.com/players/w/walkebr01/gamelog/1950
8,8,1949-11-17,28-247,BOS,,INO,W (+22),,,6,,,1,2,.500,,,,13,1950,walkebr01,https://www.basketball-reference.com/players/w/walkebr01/gamelog/1950
9,9,1949-11-19,28-249,BOS,@,BLB,W (+9),,,7,,,2,4,.500,,,,16,1950,walkebr01,https://www.basketball-reference.com/players/w/walkebr01/gamelog/1950
10,10,1949-11-20,28-250,BOS,@,FTW,L (-10),,,4,,,1,1,1.000,,,,9,1950,walkebr01,https://www.basketball-reference.com/players/w/walkebr01/gamelog/1950
11,11,1949-11-21,28-251,BOS,@,AND,W (+14),,,7,,,1,3,.333,,,,15,1950,walkebr01,https://www.basketball-reference.com/players/w/walkebr01/gamelog/1950
