Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2011-12-26,21-111,WAS,,NJN,L (-6),1,39:13,3,13,.231,0,0,,7,13,.538,3,5,8,5,3,1,4,2,13,8.7,-6,2012,walljo01,https://www.basketball-reference.com/players/w/walljo01/gamelog/2012
2,2,2011-12-28,21-113,WAS,@,ATL,L (-18),1,37:10,6,15,.400,0,0,,8,10,.800,1,1,2,6,3,1,6,1,20,13.6,-23,2012,walljo01,https://www.basketball-reference.com/players/w/walljo01/gamelog/2012
3,3,2011-12-30,21-115,WAS,@,MIL,L (-21),1,36:22,1,9,.111,0,1,.000,4,4,1.000,1,0,1,7,1,3,4,1,6,4.4,-16,2012,walljo01,https://www.basketball-reference.com/players/w/walljo01/gamelog/2012
4,4,2012-01-01,21-117,WAS,,BOS,L (-8),1,39:25,6,13,.462,0,0,,7,9,.778,0,7,7,8,1,1,1,4,19,18.3,-12,2012,walljo01,https://www.basketball-reference.com/players/w/walljo01/gamelog/2012
5,5,2012-01-02,21-118,WAS,@,BOS,L (-8),1,40:11,4,13,.308,0,0,,3,4,.750,0,3,3,8,2,2,7,2,11,5.2,-2,2012,walljo01,https://www.basketball-reference.com/players/w/walljo01/gamelog/2012
6,6,2012-01-04,21-120,WAS,@,ORL,L (-18),1,33:27,6,16,.375,0,0,,2,4,.500,2,2,4,5,1,0,0,4,14,9.3,-25,2012,walljo01,https://www.basketball-reference.com/players/w/walljo01/gamelog/2012
7,7,2012-01-06,21-122,WAS,,NYK,L (-3),1,42:41,10,22,.455,0,1,.000,2,4,.500,1,4,5,9,1,0,5,4,22,12.4,-3,2012,walljo01,https://www.basketball-reference.com/players/w/walljo01/gamelog/2012
8,8,2012-01-08,21-124,WAS,,MIN,L (-21),1,34:31,3,10,.300,0,1,.000,4,4,1.000,2,3,5,6,2,0,4,3,10,7.5,-9,2012,walljo01,https://www.basketball-reference.com/players/w/walljo01/gamelog/2012
9,9,2012-01-10,21-126,WAS,,TOR,W (+15),1,33:45,3,12,.250,0,2,.000,2,3,.667,0,2,2,9,0,3,2,1,8,7.0,+5,2012,walljo01,https://www.basketball-reference.com/players/w/walljo01/gamelog/2012
10,10,2012-01-11,21-127,WAS,@,CHI,L (-14),1,39:07,4,13,.308,0,0,,3,5,.600,1,4,5,8,0,0,4,3,11,5.0,-6,2012,walljo01,https://www.basketball-reference.com/players/w/walljo01/gamelog/2012
