Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,session,player,gamelog_url
1,1,1985-10-25,32-354,BOS,@,NJN,L (-4),0,19:00,2,4,.500,0,0,,0,0,,1,4,5,0,1,0,7,5,4,-4.1,1986,waltobi01,https://www.basketball-reference.com/players/w/waltobi01/gamelog/1986
2,2,1985-10-26,32-355,BOS,@,CLE,W (+5),0,23:00,3,3,1.000,0,0,,1,4,.250,1,6,7,0,1,0,1,3,7,6.2,1986,waltobi01,https://www.basketball-reference.com/players/w/waltobi01/gamelog/1986
3,3,1985-10-30,32-359,BOS,,MIL,W (+11),0,10:00,0,2,.000,0,0,,3,4,.750,2,1,3,2,1,0,5,5,3,-1.7,1986,waltobi01,https://www.basketball-reference.com/players/w/waltobi01/gamelog/1986
4,4,1985-11-01,32-361,BOS,,ATL,W (+4),0,24:00,5,6,.833,0,0,,4,5,.800,3,5,8,0,0,1,1,3,14,13.5,1986,waltobi01,https://www.basketball-reference.com/players/w/waltobi01/gamelog/1986
5,5,1985-11-02,32-362,BOS,@,WSB,W (+15),0,18:00,2,5,.400,0,0,,0,0,,3,5,8,3,0,2,2,4,4,4.8,1986,waltobi01,https://www.basketball-reference.com/players/w/waltobi01/gamelog/1986
6,6,1985-11-08,33-003,BOS,,PHO,W (+24),0,17:00,2,5,.400,0,0,,0,2,.000,1,2,3,1,2,1,2,2,4,2.4,1986,waltobi01,https://www.basketball-reference.com/players/w/waltobi01/gamelog/1986
7,7,1985-11-09,33-004,BOS,@,DET,W (+19),0,22:00,1,2,.500,0,0,,5,6,.833,0,4,4,4,0,1,4,5,7,4.3,1986,waltobi01,https://www.basketball-reference.com/players/w/waltobi01/gamelog/1986
8,8,1985-11-13,33-008,BOS,,IND,W (+4),0,16:00,3,6,.500,0,0,,2,2,1.000,2,1,3,2,0,0,0,2,8,7.3,1986,waltobi01,https://www.basketball-reference.com/players/w/waltobi01/gamelog/1986
9,9,1985-11-15,33-010,BOS,,WSB,W (+4),0,28:00,7,10,.700,0,0,,5,6,.833,6,3,9,1,0,4,3,5,19,18.0,1986,waltobi01,https://www.basketball-reference.com/players/w/waltobi01/gamelog/1986
10,10,1985-11-16,33-011,BOS,@,IND,L (-2),0,22:00,7,10,.700,0,0,,2,2,1.000,3,3,6,4,0,1,2,3,16,15.1,1986,waltobi01,https://www.basketball-reference.com/players/w/waltobi01/gamelog/1986
11,11,1985-11-20,33-015,BOS,,UTA,W (+9),0,13:00,0,3,.000,0,0,,0,0,,1,5,6,0,0,0,1,2,0,-1.7,1986,waltobi01,https://www.basketball-reference.com/players/w/waltobi01/gamelog/1986
12,12,1985-11-22,33-017,BOS,,PHI,W (+7),0,13:00,2,6,.333,0,0,,0,0,,2,2,4,1,1,0,1,2,4,2.5,1986,waltobi01,https://www.basketball-reference.com/players/w/waltobi01/gamelog/1986
13,13,1985-11-23,33-018,BOS,@,NYK,W (+9),0,19:00,2,4,.500,0,0,,1,2,.500,2,9,11,2,1,0,2,4,5,5.5,1986,waltobi01,https://www.basketball-reference.com/players/w/waltobi01/gamelog/1986
14,14,1985-11-26,33-021,BOS,@,PHI,W (+7),0,10:00,2,3,.667,0,0,,0,0,,1,0,1,2,0,0,2,3,4,1.6,1986,waltobi01,https://www.basketball-reference.com/players/w/waltobi01/gamelog/1986
