Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,session,player,gamelog_url
1,1,1965-10-30,24-054,PHI,,CIN,W (+20),,22:00,2,4,.500,0,0,,2,3,6,4,1966,wardge01,https://www.basketball-reference.com/players/w/wardge01/gamelog/1966
2,2,1965-11-03,24-058,PHI,@,DET,L (-10),,23:00,2,4,.500,0,0,,5,2,5,4,1966,wardge01,https://www.basketball-reference.com/players/w/wardge01/gamelog/1966
3,3,1965-11-05,24-060,PHI,,SFW,W (+18),,14:00,2,6,.333,2,2,1.000,2,2,1,6,1966,wardge01,https://www.basketball-reference.com/players/w/wardge01/gamelog/1966
4,4,1965-11-06,24-061,PHI,@,BOS,L (-10),,17:00,0,1,.000,1,1,1.000,0,1,1,1,1966,wardge01,https://www.basketball-reference.com/players/w/wardge01/gamelog/1966
5,5,1965-11-09,24-064,PHI,,LAL,W (+8),,27:00,2,10,.200,0,0,,6,3,4,4,1966,wardge01,https://www.basketball-reference.com/players/w/wardge01/gamelog/1966
6,6,1965-11-11,24-066,PHI,,SFW,W (+8),,8:00,0,1,.000,0,0,,0,0,1,0,1966,wardge01,https://www.basketball-reference.com/players/w/wardge01/gamelog/1966
7,7,1965-11-12,24-067,PHI,,BOS,W (+9),,,0,0,,0,0,,1,0,1,0,1966,wardge01,https://www.basketball-reference.com/players/w/wardge01/gamelog/1966
8,8,1965-11-13,24-068,PHI,@,NYK,W (+8),,7:00,0,0,,0,0,,2,0,0,0,1966,wardge01,https://www.basketball-reference.com/players/w/wardge01/gamelog/1966
9,9,1965-11-16,24-071,PHI,,STL,W (+9),,24:00,2,3,.667,0,0,,3,4,3,4,1966,wardge01,https://www.basketball-reference.com/players/w/wardge01/gamelog/1966
10,10,1965-11-17,24-072,PHI,@,CIN,L (-16),,8:00,0,2,.000,0,0,,0,1,1,0,1966,wardge01,https://www.basketball-reference.com/players/w/wardge01/gamelog/1966
11,11,1965-11-19,24-074,PHI,,BAL,L (-10),,5:00,0,1,.000,0,0,,0,1,4,0,1966,wardge01,https://www.basketball-reference.com/players/w/wardge01/gamelog/1966
12,12,1965-11-20,24-075,PHI,@,BAL,L (-5),,23:00,1,3,.333,2,2,1.000,1,2,3,4,1966,wardge01,https://www.basketball-reference.com/players/w/wardge01/gamelog/1966
13,13,1965-11-21,24-076,PHI,@,LAL,W (+6),,,0,0,,0,0,,1,0,2,0,1966,wardge01,https://www.basketball-reference.com/players/w/wardge01/gamelog/1966
14,14,1965-11-24,24-079,PHI,@,LAL,L (-3),,,0,3,.000,0,0,,2,3,1,0,1966,wardge01,https://www.basketball-reference.com/players/w/wardge01/gamelog/1966
15,15,1965-11-27,24-082,PHI,@,SFW,W (+7),,16:00,2,6,.333,0,0,,3,1,0,4,1966,wardge01,https://www.basketball-reference.com/players/w/wardge01/gamelog/1966
16,16,1965-12-03,24-088,PHI,@,BOS,W (+16),,6:00,0,2,.000,0,0,,2,0,1,0,1966,wardge01,https://www.basketball-reference.com/players/w/wardge01/gamelog/1966
17,17,1965-12-06,24-091,PHI,,LAL,W (+9),,25:00,2,4,.500,5,9,.556,2,1,2,9,1966,wardge01,https://www.basketball-reference.com/players/w/wardge01/gamelog/1966
18,18,1965-12-08,24-093,PHI,@,BAL,L (-2),,5:00,1,2,.500,0,0,,0,0,0,2,1966,wardge01,https://www.basketball-reference.com/players/w/wardge01/gamelog/1966
19,19,1965-12-10,24-095,PHI,,DET,L (-2),,1:00,0,0,,0,0,,0,0,1,0,1966,wardge01,https://www.basketball-reference.com/players/w/wardge01/gamelog/1966
20,20,1965-12-11,24-096,PHI,,CIN,W (+3),,32:00,1,5,.200,1,1,1.000,1,3,5,3,1966,wardge01,https://www.basketball-reference.com/players/w/wardge01/gamelog/1966
21,21,1965-12-14,24-099,PHI,@,CIN,L (-3),,7:00,0,1,.000,0,0,,4,0,1,0,1966,wardge01,https://www.basketball-reference.com/players/w/wardge01/gamelog/1966
22,22,1965-12-15,24-100,PHI,@,LAL,W (+14),,,1,2,.500,1,2,.500,0,0,2,3,1966,wardge01,https://www.basketball-reference.com/players/w/wardge01/gamelog/1966
23,23,1965-12-17,24-102,PHI,@,LAL,W (+10),,,0,4,.000,0,0,,1,1,3,0,1966,wardge01,https://www.basketball-reference.com/players/w/wardge01/gamelog/1966
24,24,1965-12-26,24-111,PHI,,SFW,W (+14),,2:00,1,1,1.000,0,0,,0,0,1,2,1966,wardge01,https://www.basketball-reference.com/players/w/wardge01/gamelog/1966
25,25,1965-12-28,24-113,PHI,,BOS,W (+9),,7:00,1,2,.500,0,0,,2,0,3,2,1966,wardge01,https://www.basketball-reference.com/players/w/wardge01/gamelog/1966
26,26,1966-01-02,24-118,PHI,,NYK,W (+11),,29:00,1,6,.167,1,1,1.000,1,4,5,3,1966,wardge01,https://www.basketball-reference.com/players/w/wardge01/gamelog/1966
27,27,1966-01-04,24-120,PHI,@,NYK,W (+2),,4:00,1,2,.500,0,0,,1,0,2,2,1966,wardge01,https://www.basketball-reference.com/players/w/wardge01/gamelog/1966
28,28,1966-01-06,24-122,PHI,,BAL,W (+6),,5:00,1,3,.333,0,0,,0,1,2,2,1966,wardge01,https://www.basketball-reference.com/players/w/wardge01/gamelog/1966
29,29,1966-01-07,24-123,PHI,,LAL,L (-6),,6:00,1,2,.500,0,0,,0,3,2,2,1966,wardge01,https://www.basketball-reference.com/players/w/wardge01/gamelog/1966
30,30,1966-01-08,24-124,PHI,@,STL,L (-10),,12:00,0,1,.000,1,1,1.000,0,0,1,1,1966,wardge01,https://www.basketball-reference.com/players/w/wardge01/gamelog/1966
31,31,1966-01-09,24-125,PHI,@,STL,W (+10),,13:00,0,1,.000,0,0,,0,0,4,0,1966,wardge01,https://www.basketball-reference.com/players/w/wardge01/gamelog/1966
32,32,1966-01-12,24-128,PHI,@,DET,L (-18),,19:00,3,8,.375,2,2,1.000,5,2,4,8,1966,wardge01,https://www.basketball-reference.com/players/w/wardge01/gamelog/1966
33,33,1966-01-14,24-130,PHI,,BOS,W (+12),,8:00,0,0,,0,0,,1,0,0,0,1966,wardge01,https://www.basketball-reference.com/players/w/wardge01/gamelog/1966
34,34,1966-01-16,24-132,PHI,@,BOS,L (-15),,10:00,0,2,.000,0,0,,0,0,1,0,1966,wardge01,https://www.basketball-reference.com/players/w/wardge01/gamelog/1966
35,35,1966-01-19,24-135,PHI,,DET,W (+17),,13:00,1,2,.500,0,0,,0,1,5,2,1966,wardge01,https://www.basketball-reference.com/players/w/wardge01/gamelog/1966
36,36,1966-01-21,24-137,PHI,,NYK,W (+11),,4:00,0,0,,0,0,,0,0,0,0,1966,wardge01,https://www.basketball-reference.com/players/w/wardge01/gamelog/1966
37,37,1966-01-23,24-139,PHI,@,STL,W (+6),,7:00,0,4,.000,0,0,,0,0,1,0,1966,wardge01,https://www.basketball-reference.com/players/w/wardge01/gamelog/1966
38,38,1966-01-25,24-141,PHI,,LAL,W (+4),,14:00,0,2,.000,2,2,1.000,2,5,3,2,1966,wardge01,https://www.basketball-reference.com/players/w/wardge01/gamelog/1966
39,39,1966-01-28,24-144,PHI,,CIN,W (+22),,15:00,2,5,.400,0,1,.000,0,0,4,4,1966,wardge01,https://www.basketball-reference.com/players/w/wardge01/gamelog/1966
40,40,1966-01-30,24-146,PHI,,DET,W (+19),,11:00,1,2,.500,1,2,.500,1,1,4,3,1966,wardge01,https://www.basketball-reference.com/players/w/wardge01/gamelog/1966
41,41,1966-02-02,24-149,PHI,,STL,L (-7),,4:00,0,1,.000,0,0,,2,,0,0,1966,wardge01,https://www.basketball-reference.com/players/w/wardge01/gamelog/1966
42,42,1966-02-05,24-152,PHI,@,NYK,L (-7),,,1,4,.250,0,0,,1,2,2,2,1966,wardge01,https://www.basketball-reference.com/players/w/wardge01/gamelog/1966
43,43,1966-02-06,24-153,PHI,@,BOS,L (-1),,7:00,1,3,.333,1,1,1.000,0,1,2,3,1966,wardge01,https://www.basketball-reference.com/players/w/wardge01/gamelog/1966
44,44,1966-02-07,24-154,PHI,,LAL,W (+7),,31:00,0,2,.000,2,3,.667,3,9,6,2,1966,wardge01,https://www.basketball-reference.com/players/w/wardge01/gamelog/1966
45,45,1966-02-08,24-155,PHI,@,NYK,L (-13),,15:00,4,10,.400,1,2,.500,2,0,2,9,1966,wardge01,https://www.basketball-reference.com/players/w/wardge01/gamelog/1966
46,46,1966-02-09,24-156,PHI,@,DET,W (+17),,,1,3,.333,1,2,.500,1,0,1,3,1966,wardge01,https://www.basketball-reference.com/players/w/wardge01/gamelog/1966
47,47,1966-02-11,24-158,PHI,,CIN,W (+19),,13:00,1,3,.333,1,3,.333,1,0,4,3,1966,wardge01,https://www.basketball-reference.com/players/w/wardge01/gamelog/1966
