Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,session,player,gamelog_url
1,1,1980-10-10,29-023,POR,@,UTA,L (-10),1,22:00,0,4,.000,0,0,,0,0,,2,2,4,1,0,0,3,4,0,-4.7,1981,washike01,https://www.basketball-reference.com/players/w/washike01/gamelog/1981
2,2,1980-10-12,29-025,POR,,SEA,W (+11),1,36:00,5,9,.556,0,0,,3,5,.600,2,7,9,2,0,2,2,3,13,11.0,1981,washike01,https://www.basketball-reference.com/players/w/washike01/gamelog/1981
3,3,1980-10-15,29-028,POR,@,GSW,L (-3),1,28:00,0,2,.000,0,0,,4,4,1.000,5,7,12,2,1,0,1,4,4,8.0,1981,washike01,https://www.basketball-reference.com/players/w/washike01/gamelog/1981
4,4,1980-10-17,29-030,POR,,HOU,L (-3),0,37:00,9,14,.643,0,0,,2,3,.667,7,8,15,3,0,3,4,3,20,19.7,1981,washike01,https://www.basketball-reference.com/players/w/washike01/gamelog/1981
5,5,1980-10-21,29-034,POR,,LAL,W (+4),1,33:00,7,11,.636,0,0,,2,2,1.000,7,9,16,2,2,2,3,3,16,19.3,1981,washike01,https://www.basketball-reference.com/players/w/washike01/gamelog/1981
6,6,1980-10-24,29-037,POR,,DAL,W (+15),1,32:00,4,6,.667,0,0,,6,7,.857,5,6,11,3,2,2,1,5,14,18.8,1981,washike01,https://www.basketball-reference.com/players/w/washike01/gamelog/1981
7,7,1980-10-26,29-039,POR,@,SEA,L (-13),1,31:00,4,7,.571,0,0,,2,4,.500,3,7,10,2,1,0,4,3,10,7.3,1981,washike01,https://www.basketball-reference.com/players/w/washike01/gamelog/1981
8,8,1980-10-28,29-041,POR,@,SAS,L (-8),1,39:00,6,10,.600,0,0,,1,3,.333,4,8,12,7,0,3,4,4,13,14.2,1981,washike01,https://www.basketball-reference.com/players/w/washike01/gamelog/1981
9,9,1980-10-29,29-042,POR,@,KCK,L (-17),1,25:00,5,9,.556,0,0,,5,8,.625,4,6,10,0,0,2,4,6,15,9.1,1981,washike01,https://www.basketball-reference.com/players/w/washike01/gamelog/1981
10,10,1980-11-01,29-045,POR,,UTA,L (-8),1,32:00,5,8,.625,0,0,,2,4,.500,6,11,17,1,1,3,7,4,12,10.3,1981,washike01,https://www.basketball-reference.com/players/w/washike01/gamelog/1981
11,11,1980-11-02,29-046,POR,,CLE,W (+6),1,23:00,3,5,.600,0,0,,8,10,.800,4,5,9,1,1,0,5,5,14,9.9,1981,washike01,https://www.basketball-reference.com/players/w/washike01/gamelog/1981
12,12,1980-11-04,29-048,POR,@,LAL,L (-1),1,34:00,9,19,.474,0,0,,0,1,.000,5,6,11,5,3,3,3,0,18,18.8,1981,washike01,https://www.basketball-reference.com/players/w/washike01/gamelog/1981
13,13,1980-11-07,29-051,POR,,GSW,W (+9),1,40:00,6,10,.600,0,0,,5,7,.714,6,11,17,2,3,4,3,5,17,21.3,1981,washike01,https://www.basketball-reference.com/players/w/washike01/gamelog/1981
14,14,1980-11-08,29-052,POR,,SDC,L (-4),1,41:00,8,14,.571,0,0,,2,7,.286,6,5,11,2,1,3,2,3,18,16.4,1981,washike01,https://www.basketball-reference.com/players/w/washike01/gamelog/1981
15,15,1980-11-11,29-055,POR,,KCK,L (-1),1,41:00,5,10,.500,0,0,,9,13,.692,7,12,19,0,0,1,3,3,19,17.4,1981,washike01,https://www.basketball-reference.com/players/w/washike01/gamelog/1981
16,16,1980-11-14,29-058,POR,@,DAL,L (-7),1,20:00,5,11,.455,0,0,,1,1,1.000,3,4,7,1,0,0,3,5,11,4.3,1981,washike01,https://www.basketball-reference.com/players/w/washike01/gamelog/1981
17,17,1980-11-15,29-059,POR,@,DEN,L (-2),1,36:00,11,17,.647,0,0,,5,9,.556,6,6,12,1,1,2,2,4,27,23.4,1981,washike01,https://www.basketball-reference.com/players/w/washike01/gamelog/1981
18,18,1980-11-16,29-060,POR,@,PHO,L (-12),1,33:00,7,10,.700,0,0,,1,3,.333,2,4,6,2,0,0,0,5,15,12.0,1981,washike01,https://www.basketball-reference.com/players/w/washike01/gamelog/1981
19,19,1980-11-18,29-062,POR,,DEN,W (+19),1,31:00,7,10,.700,0,0,,3,4,.750,3,8,11,5,3,0,1,3,17,21.2,1981,washike01,https://www.basketball-reference.com/players/w/washike01/gamelog/1981
20,20,1980-11-20,29-064,POR,,MIL,L (-4),1,36:00,7,12,.583,0,0,,3,3,1.000,2,7,9,0,2,2,4,5,17,12.3,1981,washike01,https://www.basketball-reference.com/players/w/washike01/gamelog/1981
21,21,1980-11-23,29-067,POR,,DAL,W (+20),1,35:00,4,7,.571,0,0,,1,4,.250,3,8,11,2,1,2,1,1,9,11.4,1981,washike01,https://www.basketball-reference.com/players/w/washike01/gamelog/1981
22,22,1980-11-25,29-069,POR,@,ATL,L (-4),1,29:00,3,10,.300,0,0,,2,2,1.000,4,6,10,0,0,2,2,3,8,5.0,1981,washike01,https://www.basketball-reference.com/players/w/washike01/gamelog/1981
23,23,1980-12-05,29-079,POR,,CHI,W (+1),0,35:00,3,10,.300,0,0,,6,11,.545,5,2,7,5,4,2,2,4,12,13.6,1981,washike01,https://www.basketball-reference.com/players/w/washike01/gamelog/1981
24,24,1980-12-07,29-081,POR,,SAS,W (+1),0,19:00,6,9,.667,0,0,,1,3,.333,4,4,8,1,1,1,1,3,13,12.5,1981,washike01,https://www.basketball-reference.com/players/w/washike01/gamelog/1981
25,25,1980-12-09,29-083,POR,,SEA,W (+13),0,20:00,2,7,.286,0,0,,4,7,.571,5,3,8,1,3,1,2,2,8,8.7,1981,washike01,https://www.basketball-reference.com/players/w/washike01/gamelog/1981
26,26,1980-12-12,29-086,POR,,HOU,W (+6),0,26:00,5,7,.714,0,0,,1,2,.500,2,5,7,3,1,0,1,1,11,12.3,1981,washike01,https://www.basketball-reference.com/players/w/washike01/gamelog/1981
27,27,1980-12-14,29-088,POR,@,PHO,W (+6),0,21:00,2,7,.286,0,0,,2,2,1.000,4,0,4,2,1,1,1,2,6,6.0,1981,washike01,https://www.basketball-reference.com/players/w/washike01/gamelog/1981
28,28,1980-12-23,29-097,POR,,LAL,W (+6),0,9:00,0,0,,0,0,,0,0,,0,0,0,0,0,1,0,1,0,0.3,1981,washike01,https://www.basketball-reference.com/players/w/washike01/gamelog/1981
29,29,1980-12-25,29-099,POR,,GSW,W (+1),0,11:00,0,1,.000,0,0,,2,2,1.000,0,4,4,0,0,0,3,0,2,-0.5,1981,washike01,https://www.basketball-reference.com/players/w/washike01/gamelog/1981
30,30,1980-12-26,29-100,POR,@,SEA,W (+6),0,17:00,2,4,.500,0,0,,0,0,,1,3,4,1,0,0,3,4,4,-0.3,1981,washike01,https://www.basketball-reference.com/players/w/washike01/gamelog/1981
31,31,1980-12-30,29-104,POR,,PHI,W (+1),0,19:00,3,4,.750,0,0,,3,8,.375,2,2,4,1,0,0,2,3,9,4.9,1981,washike01,https://www.basketball-reference.com/players/w/washike01/gamelog/1981
32,32,1981-01-01,29-106,POR,,DEN,W (+3),0,22:00,4,6,.667,0,0,,2,6,.333,3,8,11,1,1,0,1,3,10,9.8,1981,washike01,https://www.basketball-reference.com/players/w/washike01/gamelog/1981
33,33,1981-01-03,29-108,POR,@,UTA,L (-6),0,14:00,3,4,.750,0,0,,4,4,1.000,2,1,3,0,0,3,0,5,10,10.2,1981,washike01,https://www.basketball-reference.com/players/w/washike01/gamelog/1981
