Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,session,player,gamelog_url
1,1,1992-11-06,29-116,SAC,,SAS,W (+8),1,42:00,9,21,.429,0,2,.000,5,8,.625,2,3,5,10,1,0,2,5,23,17.0,1993,webbsp01,https://www.basketball-reference.com/players/w/webbsp01/gamelog/1993
2,2,1992-11-08,29-118,SAC,@,LAL,W (+10),1,19:00,3,4,.750,0,1,.000,2,2,1.000,0,1,1,5,1,0,0,2,8,10.4,1993,webbsp01,https://www.basketball-reference.com/players/w/webbsp01/gamelog/1993
3,3,1992-12-08,29-148,SAC,,WSB,L (-8),1,35:00,2,12,.167,1,3,.333,2,2,1.000,0,1,1,7,1,0,2,2,7,2.8,1993,webbsp01,https://www.basketball-reference.com/players/w/webbsp01/gamelog/1993
4,4,1992-12-10,29-150,SAC,,IND,L (-7),1,40:00,5,9,.556,1,2,.500,2,2,1.000,0,0,0,4,2,0,0,4,13,11.9,1993,webbsp01,https://www.basketball-reference.com/players/w/webbsp01/gamelog/1993
5,5,1992-12-12,29-152,SAC,,GSW,L (-4),1,38:00,3,10,.300,0,1,.000,12,13,.923,2,4,6,7,2,0,2,5,18,17.3,1993,webbsp01,https://www.basketball-reference.com/players/w/webbsp01/gamelog/1993
6,6,1992-12-15,29-155,SAC,@,MIA,L (-8),1,37:00,6,8,.750,0,1,.000,2,2,1.000,1,0,1,6,0,0,5,4,14,9.1,1993,webbsp01,https://www.basketball-reference.com/players/w/webbsp01/gamelog/1993
7,7,1992-12-17,29-157,SAC,@,ORL,L (-21),1,29:00,3,11,.273,0,1,.000,6,6,1.000,0,1,1,11,1,1,4,2,12,10.4,1993,webbsp01,https://www.basketball-reference.com/players/w/webbsp01/gamelog/1993
8,8,1992-12-18,29-158,SAC,@,CLE,L (-11),1,27:00,2,5,.400,0,1,.000,4,4,1.000,0,0,0,5,0,0,1,1,8,7.4,1993,webbsp01,https://www.basketball-reference.com/players/w/webbsp01/gamelog/1993
9,9,1992-12-20,29-160,SAC,@,NJN,L (-6),1,37:00,6,9,.667,0,0,,4,4,1.000,0,2,2,2,4,0,3,4,16,13.5,1993,webbsp01,https://www.basketball-reference.com/players/w/webbsp01/gamelog/1993
10,10,1992-12-22,29-162,SAC,@,MIL,W (+3),1,41:00,3,12,.250,0,1,.000,6,7,.857,2,2,4,9,2,0,2,3,12,11.5,1993,webbsp01,https://www.basketball-reference.com/players/w/webbsp01/gamelog/1993
11,11,1992-12-23,29-163,SAC,@,MIN,W (+6),1,37:00,4,12,.333,0,0,,4,4,1.000,0,2,2,5,2,0,6,3,12,4.1,1993,webbsp01,https://www.basketball-reference.com/players/w/webbsp01/gamelog/1993
12,12,1992-12-27,29-167,SAC,,BOS,W (+16),1,41:00,2,7,.286,0,1,.000,8,10,.800,0,3,3,10,2,0,4,2,12,12.2,1993,webbsp01,https://www.basketball-reference.com/players/w/webbsp01/gamelog/1993
13,13,1992-12-29,29-169,SAC,,DAL,W (+58),1,19:00,1,5,.200,0,0,,0,0,,0,3,3,10,0,0,1,1,2,5.4,1993,webbsp01,https://www.basketball-reference.com/players/w/webbsp01/gamelog/1993
14,14,1993-01-02,29-173,SAC,,PHI,W (+56),1,28:00,6,9,.667,0,0,,3,4,.750,1,6,7,9,4,0,3,1,15,20.1,1993,webbsp01,https://www.basketball-reference.com/players/w/webbsp01/gamelog/1993
15,15,1993-01-05,29-176,SAC,,DEN,W (+20),1,34:00,8,15,.533,1,2,.500,1,2,.500,1,0,1,13,4,0,4,3,18,18.9,1993,webbsp01,https://www.basketball-reference.com/players/w/webbsp01/gamelog/1993
