Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,1999-02-05,35-285,CHI,@,UTA,L (-8),0,12:17,2,5,.400,0,0,,0,0,,0,1,1,1,1,0,0,1,4,2.9,-5,1999,wennibi01,https://www.basketball-reference.com/players/w/wennibi01/gamelog/1999
2,2,1999-02-07,35-287,CHI,@,LAC,W (+5),0,17:42,3,7,.429,1,1,1.000,2,2,1.000,1,3,4,0,1,1,0,4,9,7.0,-4,1999,wennibi01,https://www.basketball-reference.com/players/w/wennibi01/gamelog/1999
3,3,1999-02-09,35-289,CHI,,ATL,L (-16),0,14:55,3,8,.375,0,0,,0,2,.000,2,0,2,1,0,0,1,3,6,0.7,0,1999,wennibi01,https://www.basketball-reference.com/players/w/wennibi01/gamelog/1999
4,4,1999-02-11,35-291,CHI,,NYK,L (-5),0,11:51,4,9,.444,0,0,,0,0,,1,2,3,0,0,0,0,1,8,4.2,+5,1999,wennibi01,https://www.basketball-reference.com/players/w/wennibi01/gamelog/1999
5,5,1999-02-14,35-294,CHI,,SAS,L (-13),0,14:40,2,6,.333,0,0,,1,2,.500,1,1,2,0,1,0,1,4,5,0.6,-4,1999,wennibi01,https://www.basketball-reference.com/players/w/wennibi01/gamelog/1999
6,6,1999-02-16,35-296,CHI,,ATL,L (-16),0,13:33,0,4,.000,0,0,,0,0,,2,0,2,0,0,1,0,4,0,-2.3,-14,1999,wennibi01,https://www.basketball-reference.com/players/w/wennibi01/gamelog/1999
7,,1999-02-17,35-297,CHI,@,MIL,L (-8),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,1999,wennibi01,https://www.basketball-reference.com/players/w/wennibi01/gamelog/1999
8,,1999-02-19,35-299,CHI,@,WAS,L (-2),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,1999,wennibi01,https://www.basketball-reference.com/players/w/wennibi01/gamelog/1999
9,7,1999-02-27,35-307,CHI,,CHH,W (+17),0,8:26,0,5,.000,0,0,,0,0,,0,0,0,0,2,0,0,1,0,-1.9,-3,1999,wennibi01,https://www.basketball-reference.com/players/w/wennibi01/gamelog/1999
10,8,1999-02-28,35-308,CHI,@,TOR,W (+2),0,6:00,0,1,.000,0,0,,2,2,1.000,0,1,1,0,0,0,1,0,2,0.6,-7,1999,wennibi01,https://www.basketball-reference.com/players/w/wennibi01/gamelog/1999
