Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,session,player,gamelog_url
1,1,1985-10-25,24-354,CLE,@,CHI,L (-1),1,21:00,3,3,1.000,0,0,,0,0,,1,6,7,0,0,3,2,4,6,6.1,1986,westma01,https://www.basketball-reference.com/players/w/westma01/gamelog/1986
2,2,1985-10-26,24-355,CLE,,BOS,L (-5),1,24:00,1,4,.250,0,0,,3,6,.500,3,6,9,2,1,2,1,6,5,5.7,1986,westma01,https://www.basketball-reference.com/players/w/westma01/gamelog/1986
3,3,1985-10-29,24-358,CLE,,WSB,L (-7),1,16:00,1,3,.333,0,0,,0,2,.000,1,3,4,0,0,1,1,4,2,-0.8,1986,westma01,https://www.basketball-reference.com/players/w/westma01/gamelog/1986
4,4,1985-10-31,24-360,CLE,@,WSB,W (+7),0,15:00,2,5,.400,0,0,,0,0,,1,1,2,0,1,2,1,6,4,1.3,1986,westma01,https://www.basketball-reference.com/players/w/westma01/gamelog/1986
5,5,1985-11-03,24-363,CLE,,MIL,L (-10),0,18:00,1,4,.250,0,0,,2,2,1.000,2,4,6,0,1,1,2,2,4,3.1,1986,westma01,https://www.basketball-reference.com/players/w/westma01/gamelog/1986
6,6,1985-11-05,25-000,CLE,@,LAL,W (+18),0,29:00,3,7,.429,0,0,,4,6,.667,2,6,8,0,0,1,4,4,10,3.8,1986,westma01,https://www.basketball-reference.com/players/w/westma01/gamelog/1986
7,7,1985-11-07,25-002,CLE,@,SAC,W (+1),0,28:00,1,2,.500,0,0,,0,0,,2,6,8,0,1,2,1,3,2,4.4,1986,westma01,https://www.basketball-reference.com/players/w/westma01/gamelog/1986
8,8,1985-11-09,25-004,CLE,@,UTA,L (-7),0,22:00,2,4,.500,0,0,,4,6,.667,2,6,8,0,1,0,2,4,8,5.8,1986,westma01,https://www.basketball-reference.com/players/w/westma01/gamelog/1986
9,9,1985-11-10,25-005,CLE,@,POR,L (-3),0,23:00,3,5,.600,0,0,,2,2,1.000,1,7,8,0,0,1,2,5,8,5.2,1986,westma01,https://www.basketball-reference.com/players/w/westma01/gamelog/1986
10,10,1985-11-14,25-009,CLE,@,IND,W (+8),0,12:00,1,3,.333,0,0,,1,2,.500,0,6,6,1,1,0,1,4,3,1.8,1986,westma01,https://www.basketball-reference.com/players/w/westma01/gamelog/1986
11,11,1985-11-16,25-011,CLE,@,CHI,W (+4),0,9:00,0,0,,0,0,,0,0,,0,1,1,0,0,1,0,5,0,-1.0,1986,westma01,https://www.basketball-reference.com/players/w/westma01/gamelog/1986
12,12,1985-11-19,25-014,CLE,,GSW,L (-6),0,19:00,2,2,1.000,0,0,,2,3,.667,2,5,7,0,1,1,1,4,6,7.0,1986,westma01,https://www.basketball-reference.com/players/w/westma01/gamelog/1986
13,13,1985-11-20,25-015,CLE,@,WSB,L (-3),0,28:00,3,8,.375,0,0,,3,4,.750,3,5,8,1,1,1,3,3,9,6.0,1986,westma01,https://www.basketball-reference.com/players/w/westma01/gamelog/1986
14,14,1985-11-22,25-017,CLE,,UTA,L (-8),0,17:00,1,3,.333,0,0,,0,0,,1,3,4,1,1,0,2,4,2,0.0,1986,westma01,https://www.basketball-reference.com/players/w/westma01/gamelog/1986
