Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2016-10-26,21-246,MIN,@,MEM,L (-4),1,34:29,7,14,.500,1,1,1.000,10,14,.714,4,3,7,0,0,1,2,1,25,18.4,-5,2017,wiggian01,https://www.basketball-reference.com/players/w/wiggian01/gamelog/2017
2,2,2016-10-29,21-249,MIN,@,SAC,L (-3),1,36:51,10,20,.500,1,5,.200,8,11,.727,0,1,1,0,1,1,3,2,29,16.0,-7,2017,wiggian01,https://www.basketball-reference.com/players/w/wiggian01/gamelog/2017
3,3,2016-11-01,21-252,MIN,,MEM,W (+36),1,29:14,6,11,.545,2,2,1.000,3,5,.600,1,2,3,4,0,1,3,3,17,11.5,+38,2017,wiggian01,https://www.basketball-reference.com/players/w/wiggian01/gamelog/2017
4,4,2016-11-03,21-254,MIN,,DEN,L (-3),1,34:45,9,18,.500,2,3,.667,5,5,1.000,1,2,3,1,0,0,1,3,25,15.8,+2,2017,wiggian01,https://www.basketball-reference.com/players/w/wiggian01/gamelog/2017
5,5,2016-11-05,21-256,MIN,@,OKC,L (-20),1,26:47,3,13,.231,0,1,.000,1,2,.500,1,2,3,1,1,1,3,2,7,-1.4,-27,2017,wiggian01,https://www.basketball-reference.com/players/w/wiggian01/gamelog/2017
6,6,2016-11-08,21-259,MIN,@,BRK,L (-9),1,40:45,13,29,.448,6,7,.857,4,8,.500,5,3,8,2,1,0,4,2,36,21.3,-4,2017,wiggian01,https://www.basketball-reference.com/players/w/wiggian01/gamelog/2017
7,7,2016-11-09,21-260,MIN,@,ORL,W (+16),1,38:35,10,18,.556,2,4,.500,7,9,.778,1,3,4,6,0,0,2,2,29,22.6,+21,2017,wiggian01,https://www.basketball-reference.com/players/w/wiggian01/gamelog/2017
8,8,2016-11-12,21-263,MIN,,LAC,L (-14),1,36:46,8,24,.333,1,4,.250,5,5,1.000,1,3,4,3,1,0,3,1,22,9.7,-21,2017,wiggian01,https://www.basketball-reference.com/players/w/wiggian01/gamelog/2017
9,9,2016-11-13,21-264,MIN,,LAL,W (+26),1,41:06,14,21,.667,2,5,.400,17,22,.773,1,3,4,3,0,1,2,2,47,37.5,+34,2017,wiggian01,https://www.basketball-reference.com/players/w/wiggian01/gamelog/2017
10,10,2016-11-15,21-266,MIN,,CHO,L (-7),1,42:16,10,24,.417,3,6,.500,6,9,.667,0,2,2,3,0,2,4,1,29,14.7,-9,2017,wiggian01,https://www.basketball-reference.com/players/w/wiggian01/gamelog/2017
11,11,2016-11-17,21-268,MIN,,PHI,W (+24),1,38:18,14,20,.700,3,6,.500,4,4,1.000,4,6,10,4,1,0,3,0,35,32.0,+21,2017,wiggian01,https://www.basketball-reference.com/players/w/wiggian01/gamelog/2017
12,12,2016-11-19,21-270,MIN,@,MEM,L (-22),1,32:17,2,11,.182,0,3,.000,3,4,.750,0,4,4,1,0,1,5,1,7,-3.1,-15,2017,wiggian01,https://www.basketball-reference.com/players/w/wiggian01/gamelog/2017
13,13,2016-11-21,21-272,MIN,,BOS,L (-6),1,39:25,5,18,.278,0,5,.000,4,6,.667,0,4,4,1,0,0,2,1,14,2.1,-8,2017,wiggian01,https://www.basketball-reference.com/players/w/wiggian01/gamelog/2017
14,14,2016-11-23,21-274,MIN,@,NOP,L (-21),1,30:37,2,19,.105,0,3,.000,9,10,.900,0,0,0,0,1,0,2,1,13,-1.3,-29,2017,wiggian01,https://www.basketball-reference.com/players/w/wiggian01/gamelog/2017
15,15,2016-11-25,21-276,MIN,@,PHO,W (+13),1,40:45,7,18,.389,1,3,.333,10,11,.909,0,5,5,1,0,0,2,3,25,13.8,+19,2017,wiggian01,https://www.basketball-reference.com/players/w/wiggian01/gamelog/2017
16,16,2016-11-26,21-277,MIN,@,GSW,L (-13),1,39:08,6,15,.400,1,6,.167,3,4,.750,0,3,3,3,1,0,3,1,16,8.1,-15,2017,wiggian01,https://www.basketball-reference.com/players/w/wiggian01/gamelog/2017
17,17,2016-11-28,21-279,MIN,,UTA,L (-9),1,34:28,6,16,.375,1,2,.500,0,0,,0,2,2,4,0,0,2,6,13,3.2,-4,2017,wiggian01,https://www.basketball-reference.com/players/w/wiggian01/gamelog/2017
18,18,2016-11-30,21-281,MIN,,NYK,L (-2),1,39:47,8,20,.400,3,4,.750,0,1,.000,2,5,7,4,1,0,1,2,19,12.7,+12,2017,wiggian01,https://www.basketball-reference.com/players/w/wiggian01/gamelog/2017
19,19,2016-12-02,21-283,MIN,@,NYK,L (-4),1,35:50,6,14,.429,0,2,.000,7,8,.875,1,2,3,4,1,0,1,3,19,14.1,-14,2017,wiggian01,https://www.basketball-reference.com/players/w/wiggian01/gamelog/2017
20,20,2016-12-03,21-284,MIN,@,CHO,W (+5),1,37:05,11,20,.550,2,7,.286,5,5,1.000,0,1,1,4,3,0,4,3,29,20.3,-5,2017,wiggian01,https://www.basketball-reference.com/players/w/wiggian01/gamelog/2017
21,21,2016-12-06,21-287,MIN,,SAS,L (-14),1,38:21,5,12,.417,0,2,.000,1,3,.333,2,5,7,2,0,0,4,4,11,2.5,-14,2017,wiggian01,https://www.basketball-reference.com/players/w/wiggian01/gamelog/2017
22,22,2016-12-08,21-289,MIN,@,TOR,L (-14),1,36:07,10,19,.526,1,4,.250,4,6,.667,3,2,5,1,0,0,2,5,25,14.3,-16,2017,wiggian01,https://www.basketball-reference.com/players/w/wiggian01/gamelog/2017
23,23,2016-12-09,21-290,MIN,,DET,L (-27),1,26:43,6,16,.375,1,3,.333,3,4,.750,0,2,2,0,0,0,1,0,16,6.4,-15,2017,wiggian01,https://www.basketball-reference.com/players/w/wiggian01/gamelog/2017
