Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,,2010-10-27,28-054,DET,@,NJN,L (-3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2011,wilcoch01,https://www.basketball-reference.com/players/w/wilcoch01/gamelog/2011
2,,2010-10-29,28-056,DET,,OKC,L (-1),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2011,wilcoch01,https://www.basketball-reference.com/players/w/wilcoch01/gamelog/2011
3,,2010-10-30,28-057,DET,@,CHI,L (-10),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2011,wilcoch01,https://www.basketball-reference.com/players/w/wilcoch01/gamelog/2011
4,,2010-11-02,28-060,DET,,BOS,L (-23),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2011,wilcoch01,https://www.basketball-reference.com/players/w/wilcoch01/gamelog/2011
5,,2010-11-03,28-061,DET,@,ATL,L (-9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2011,wilcoch01,https://www.basketball-reference.com/players/w/wilcoch01/gamelog/2011
6,,2010-11-05,28-063,DET,,CHA,W (+7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2011,wilcoch01,https://www.basketball-reference.com/players/w/wilcoch01/gamelog/2011
7,,2010-11-07,28-065,DET,,GSW,W (+5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2011,wilcoch01,https://www.basketball-reference.com/players/w/wilcoch01/gamelog/2011
8,,2010-11-09,28-067,DET,@,POR,L (-22),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2011,wilcoch01,https://www.basketball-reference.com/players/w/wilcoch01/gamelog/2011
9,,2010-11-12,28-070,DET,@,LAC,W (+6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2011,wilcoch01,https://www.basketball-reference.com/players/w/wilcoch01/gamelog/2011
10,,2010-11-14,28-072,DET,@,SAC,W (+6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2011,wilcoch01,https://www.basketball-reference.com/players/w/wilcoch01/gamelog/2011
11,,2010-11-15,28-073,DET,@,GSW,L (-4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2011,wilcoch01,https://www.basketball-reference.com/players/w/wilcoch01/gamelog/2011
12,1,2010-11-17,28-075,DET,,LAL,L (-13),0,3:27,1,3,.333,0,0,,2,2,1.000,1,0,1,0,0,0,0,0,4,3.0,+4,2011,wilcoch01,https://www.basketball-reference.com/players/w/wilcoch01/gamelog/2011
13,,2010-11-21,28-079,DET,,WAS,W (+5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2011,wilcoch01,https://www.basketball-reference.com/players/w/wilcoch01/gamelog/2011
14,,2010-11-23,28-081,DET,@,DAL,L (-4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2011,wilcoch01,https://www.basketball-reference.com/players/w/wilcoch01/gamelog/2011
15,2,2010-11-24,28-082,DET,@,MEM,L (-21),0,3:57,3,4,.750,0,0,,0,0,,2,1,3,0,0,0,0,0,6,6.1,+2,2011,wilcoch01,https://www.basketball-reference.com/players/w/wilcoch01/gamelog/2011
