Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2004-11-03,32-109,NJN,,MIA,L (-23),1,25:37,0,6,.000,0,0,,0,0,,1,3,4,1,1,0,2,4,0,-4.5,-16,2005,willier01,https://www.basketball-reference.com/players/w/willier01/gamelog/2005
2,2,2004-11-05,32-111,NJN,@,CHI,W (+5),1,22:23,1,4,.250,1,2,.500,2,2,1.000,0,2,2,2,0,1,1,6,5,1.9,+1,2005,willier01,https://www.basketball-reference.com/players/w/willier01/gamelog/2005
3,3,2004-11-06,32-112,NJN,,PHO,L (-32),1,34:34,3,9,.333,0,2,.000,3,4,.750,1,2,3,1,1,0,1,5,9,3.5,-29,2005,willier01,https://www.basketball-reference.com/players/w/willier01/gamelog/2005
4,4,2004-11-09,32-115,NJN,,POR,W (+4),1,22:55,0,7,.000,0,0,,0,2,.000,2,2,4,2,0,0,1,3,0,-4.5,+3,2005,willier01,https://www.basketball-reference.com/players/w/willier01/gamelog/2005
5,5,2004-11-10,32-116,NJN,@,PHI,L (-8),1,38:44,5,12,.417,1,3,.333,6,7,.857,3,0,3,2,1,0,2,6,17,10.3,-5,2005,willier01,https://www.basketball-reference.com/players/w/willier01/gamelog/2005
6,6,2004-11-13,32-119,NJN,,DAL,L (-16),1,39:00,4,9,.444,4,6,.667,3,4,.750,2,5,7,1,1,1,1,3,15,13.0,-4,2005,willier01,https://www.basketball-reference.com/players/w/willier01/gamelog/2005
7,7,2004-11-15,32-121,NJN,,HOU,L (-11),1,39:21,3,9,.333,0,3,.000,0,0,,3,5,8,1,0,0,1,4,6,2.6,-6,2005,willier01,https://www.basketball-reference.com/players/w/willier01/gamelog/2005
8,8,2004-11-17,32-123,NJN,,SEA,L (-11),1,41:46,1,4,.250,0,0,,1,2,.500,0,3,3,2,1,0,3,4,3,-1.1,+2,2005,willier01,https://www.basketball-reference.com/players/w/willier01/gamelog/2005
9,9,2004-11-20,32-126,NJN,,WAS,L (-11),1,41:34,5,9,.556,1,2,.500,5,5,1.000,1,5,6,5,1,0,3,4,16,13.8,-3,2005,willier01,https://www.basketball-reference.com/players/w/willier01/gamelog/2005
10,10,2004-11-23,32-129,NJN,@,DEN,L (-2),1,36:49,4,8,.500,0,2,.000,1,2,.500,1,5,6,2,1,0,1,4,9,6.6,-16,2005,willier01,https://www.basketball-reference.com/players/w/willier01/gamelog/2005
11,11,2004-11-25,32-131,NJN,@,LAC,L (-13),1,35:07,5,9,.556,0,2,.000,4,8,.500,4,2,6,1,2,0,1,3,14,12.0,-13,2005,willier01,https://www.basketball-reference.com/players/w/willier01/gamelog/2005
12,12,2004-11-26,32-132,NJN,@,SEA,L (-13),1,32:26,6,13,.462,0,1,.000,8,11,.727,2,3,5,1,2,0,0,5,20,15.1,-10,2005,willier01,https://www.basketball-reference.com/players/w/willier01/gamelog/2005
13,13,2004-11-28,32-134,NJN,@,POR,L (-12),1,34:13,6,11,.545,1,3,.333,1,2,.500,0,4,4,1,1,0,2,5,14,7.2,-4,2005,willier01,https://www.basketball-reference.com/players/w/willier01/gamelog/2005
14,14,2004-11-30,32-136,NJN,,CHA,W (+13),1,37:06,8,12,.667,0,1,.000,6,8,.750,1,1,2,4,0,0,0,3,22,18.6,+16,2005,willier01,https://www.basketball-reference.com/players/w/willier01/gamelog/2005
15,15,2004-12-01,32-137,NJN,@,WAS,L (-27),1,38:20,4,9,.444,0,0,,9,13,.692,2,4,6,0,0,0,4,3,17,8.1,-21,2005,willier01,https://www.basketball-reference.com/players/w/willier01/gamelog/2005
16,16,2004-12-04,32-140,NJN,,ATL,W (+21),1,30:22,7,8,.875,3,3,1.000,4,6,.667,0,1,1,1,1,0,3,1,21,16.0,+19,2005,willier01,https://www.basketball-reference.com/players/w/willier01/gamelog/2005
17,17,2004-12-06,32-142,NJN,,TOR,W (+2),1,35:00,4,12,.333,0,2,.000,4,6,.667,2,6,8,2,2,0,1,3,12,8.8,+4,2005,willier01,https://www.basketball-reference.com/players/w/willier01/gamelog/2005
18,18,2004-12-07,32-143,NJN,@,CLE,L (-6),1,31:45,1,2,.500,0,0,,3,4,.750,0,2,2,6,0,0,2,4,5,4.8,+6,2005,willier01,https://www.basketball-reference.com/players/w/willier01/gamelog/2005
19,19,2004-12-10,32-146,NJN,,NOH,W (+3),1,41:56,7,11,.636,2,2,1.000,3,4,.750,2,3,5,2,1,0,1,2,19,16.6,+13,2005,willier01,https://www.basketball-reference.com/players/w/willier01/gamelog/2005
20,20,2004-12-11,32-147,NJN,@,ATL,W (+5),1,38:00,7,10,.700,2,2,1.000,4,6,.667,0,4,4,4,0,0,1,3,20,16.8,+4,2005,willier01,https://www.basketball-reference.com/players/w/willier01/gamelog/2005
