Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,session,player,gamelog_url
1,1,1981-10-30,23-256,IND,,CHI,W (+2),0,24:00,4,7,.571,0,0,,1,2,.500,2,6,8,2,1,1,1,4,9,9.0,1982,willihe01,https://www.basketball-reference.com/players/w/willihe01/gamelog/1982
2,2,1981-10-31,23-257,IND,@,NYK,W (+7),0,15:00,1,3,.333,0,,,1,2,.500,,,3,0,,3,,1,3,,1982,willihe01,https://www.basketball-reference.com/players/w/willihe01/gamelog/1982
3,3,1981-11-04,23-261,IND,@,PHI,L (-8),0,13:00,3,5,.600,0,0,,0,0,,,,2,1,0,0,,5,6,,1982,willihe01,https://www.basketball-reference.com/players/w/willihe01/gamelog/1982
4,4,1981-11-06,23-263,IND,@,BOS,L (-17),0,17:00,3,5,.600,0,0,,2,2,1.000,0,0,0,0,0,2,,1,8,,1982,willihe01,https://www.basketball-reference.com/players/w/willihe01/gamelog/1982
5,5,1981-11-08,23-265,IND,@,NJN,L (-3),0,10:00,0,2,.000,0,0,,0,0,,,,1,0,,2,,5,0,,1982,willihe01,https://www.basketball-reference.com/players/w/willihe01/gamelog/1982
6,6,1981-11-10,23-267,IND,,CLE,W (+7),1,21:00,3,4,.750,0,0,,3,4,.750,2,4,6,2,1,2,2,5,9,9.4,1982,willihe01,https://www.basketball-reference.com/players/w/willihe01/gamelog/1982
7,7,1981-11-12,23-269,IND,@,PHO,L (-2),1,23:00,2,4,.500,0,0,,2,2,1.000,0,2,2,3,1,3,2,2,6,7.0,1982,willihe01,https://www.basketball-reference.com/players/w/willihe01/gamelog/1982
8,8,1981-11-14,23-271,IND,@,SDC,W (+9),1,11:00,4,5,.800,0,0,,0,0,,,,2,0,0,1,1,4,8,,1982,willihe01,https://www.basketball-reference.com/players/w/willihe01/gamelog/1982
9,9,1981-11-15,23-272,IND,@,LAL,L (-1),1,44:00,7,13,.538,0,0,,0,2,.000,,,6,4,1,8,,2,14,,1982,willihe01,https://www.basketball-reference.com/players/w/willihe01/gamelog/1982
10,10,1981-11-17,23-274,IND,,HOU,L (-20),1,25:00,3,10,.300,0,0,,0,0,,,,5,1,0,3,,4,6,,1982,willihe01,https://www.basketball-reference.com/players/w/willihe01/gamelog/1982
