Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,session,player,gamelog_url
1,1,1976-10-22,24-347,NYN,@,GSW,W (+1),1,36:00,12,19,.632,3,3,1.000,0,5,5,4,0,1,4,27,1977,willijo01,https://www.basketball-reference.com/players/w/willijo01/gamelog/1977
2,2,1976-10-23,24-348,NYN,@,POR,L (-10),1,35:00,11,19,.579,5,6,.833,0,1,1,0,4,0,4,27,1977,willijo01,https://www.basketball-reference.com/players/w/willijo01/gamelog/1977
3,3,1976-10-24,24-349,NYN,@,SEA,L (-11),1,30:00,9,20,.450,3,3,1.000,,,3,1,,,1,21,1977,willijo01,https://www.basketball-reference.com/players/w/willijo01/gamelog/1977
4,4,1976-10-27,24-352,NYN,,WSB,W (+3),1,34:00,9,18,.500,4,7,.571,,,3,1,,,5,22,1977,willijo01,https://www.basketball-reference.com/players/w/willijo01/gamelog/1977
5,5,1976-10-29,24-354,NYN,,IND,L (-1),1,34:00,10,20,.500,0,0,,,,4,4,1,1,3,20,1977,willijo01,https://www.basketball-reference.com/players/w/willijo01/gamelog/1977
6,6,1976-10-30,24-355,NYN,@,PHI,L (-24),1,30:00,8,15,.533,0,0,,,,1,0,,,5,16,1977,willijo01,https://www.basketball-reference.com/players/w/willijo01/gamelog/1977
7,7,1976-11-01,24-357,NYN,,CLE,L (-7),1,38:00,6,19,.316,4,5,.800,1,5,6,1,3,0,2,16,1977,willijo01,https://www.basketball-reference.com/players/w/willijo01/gamelog/1977
8,8,1976-11-03,24-359,NYN,,BUF,W (+4),1,41:00,14,26,.538,8,13,.615,,,4,2,,,5,36,1977,willijo01,https://www.basketball-reference.com/players/w/willijo01/gamelog/1977
9,9,1976-11-05,24-361,NYN,,HOU,W (+4),1,40:00,7,18,.389,5,5,1.000,,,3,1,1,0,4,19,1977,willijo01,https://www.basketball-reference.com/players/w/willijo01/gamelog/1977
10,10,1976-11-06,24-362,NYN,@,CLE,L (-8),1,39:00,12,25,.480,4,4,1.000,0,5,5,3,2,0,5,28,1977,willijo01,https://www.basketball-reference.com/players/w/willijo01/gamelog/1977
11,11,1976-11-09,24-365,NYN,@,NOJ,L (-11),1,39:00,10,31,.323,0,2,.000,,,1,0,,,4,20,1977,willijo01,https://www.basketball-reference.com/players/w/willijo01/gamelog/1977
12,12,1976-11-11,25-001,NYN,@,SAS,L (-4),1,41:00,11,25,.440,9,12,.750,,,5,3,2,0,6,31,1977,willijo01,https://www.basketball-reference.com/players/w/willijo01/gamelog/1977
13,13,1976-11-13,25-003,NYN,@,HOU,W (+4),1,,14,23,.609,9,9,1.000,0,0,0,6,1,0,,37,1977,willijo01,https://www.basketball-reference.com/players/w/willijo01/gamelog/1977
14,14,1976-11-17,25-007,NYN,@,DEN,L (-34),1,19:00,7,16,.438,1,1,1.000,0,1,1,0,1,0,5,15,1977,willijo01,https://www.basketball-reference.com/players/w/willijo01/gamelog/1977
15,15,1976-11-19,25-009,NYN,@,PHO,W (+2),1,44:00,11,22,.500,7,7,1.000,2,7,9,3,2,1,4,29,1977,willijo01,https://www.basketball-reference.com/players/w/willijo01/gamelog/1977
16,16,1976-11-21,25-011,NYN,@,LAL,L (-5),1,37:00,11,27,.407,5,7,.714,,,2,1,,,2,27,1977,willijo01,https://www.basketball-reference.com/players/w/willijo01/gamelog/1977
17,17,1976-11-24,25-014,NYN,,SAS,W (+8),1,41:00,6,22,.273,2,2,1.000,,,4,7,2,0,3,14,1977,willijo01,https://www.basketball-reference.com/players/w/willijo01/gamelog/1977
18,18,1976-11-26,25-016,NYN,,ATL,L (-4),1,43:00,13,34,.382,8,13,.615,,,4,2,,,2,34,1977,willijo01,https://www.basketball-reference.com/players/w/willijo01/gamelog/1977
19,19,1976-11-27,25-017,NYN,@,MIL,W (+5),1,28:00,7,15,.467,2,2,1.000,,,6,3,1,0,4,16,1977,willijo01,https://www.basketball-reference.com/players/w/willijo01/gamelog/1977
20,20,1976-11-30,25-020,NYN,@,NYK,W (+1),1,41:00,11,24,.458,2,3,.667,,,3,2,,,1,24,1977,willijo01,https://www.basketball-reference.com/players/w/willijo01/gamelog/1977
21,21,1976-12-01,25-021,NYN,,PHO,L (-10),1,19:00,1,8,.125,6,11,.545,0,2,2,2,0,1,5,8,1977,willijo01,https://www.basketball-reference.com/players/w/willijo01/gamelog/1977
22,22,1976-12-03,25-023,NYN,,DEN,L (-2),1,37:00,12,21,.571,6,10,.600,0,4,4,4,6,0,5,30,1977,willijo01,https://www.basketball-reference.com/players/w/willijo01/gamelog/1977
23,23,1976-12-04,25-024,NYN,@,ATL,W (+2),1,32:00,11,17,.647,6,6,1.000,,,3,1,,,4,28,1977,willijo01,https://www.basketball-reference.com/players/w/willijo01/gamelog/1977
24,24,1976-12-08,25-028,NYN,,NYK,L (-10),1,36:00,6,14,.429,6,7,.857,,,4,0,,,2,18,1977,willijo01,https://www.basketball-reference.com/players/w/willijo01/gamelog/1977
25,25,1976-12-10,25-030,NYN,,DET,L (-2),1,28:00,6,15,.400,0,0,,,,3,4,,,2,12,1977,willijo01,https://www.basketball-reference.com/players/w/willijo01/gamelog/1977
26,26,1976-12-11,25-031,NYN,@,DET,W (+27),1,32:00,11,21,.524,8,10,.800,,,3,1,,,2,30,1977,willijo01,https://www.basketball-reference.com/players/w/willijo01/gamelog/1977
27,27,1976-12-16,25-036,NYN,@,KCK,L (-10),1,26:00,6,17,.353,0,0,,,,3,1,2,0,6,12,1977,willijo01,https://www.basketball-reference.com/players/w/willijo01/gamelog/1977
28,28,1976-12-17,25-037,NYN,,MIL,L (-16),1,38:00,7,18,.389,4,5,.800,,,1,2,2,0,2,18,1977,willijo01,https://www.basketball-reference.com/players/w/willijo01/gamelog/1977
29,29,1976-12-19,25-039,NYN,,BOS,L (-7),1,33:00,4,17,.235,4,4,1.000,,,3,2,,,1,12,1977,willijo01,https://www.basketball-reference.com/players/w/willijo01/gamelog/1977
30,30,1976-12-22,25-042,NYN,,NOJ,W (+34),1,30:00,8,14,.571,5,6,.833,,,2,4,,,5,21,1977,willijo01,https://www.basketball-reference.com/players/w/willijo01/gamelog/1977
31,31,1976-12-23,25-043,NYN,@,IND,L (-2),1,48:00,13,22,.591,2,4,.500,,,2,4,,,3,28,1977,willijo01,https://www.basketball-reference.com/players/w/willijo01/gamelog/1977
32,32,1976-12-29,25-049,NYN,,SEA,L (-6),1,38:00,9,21,.429,8,9,.889,,,3,3,,,1,26,1977,willijo01,https://www.basketball-reference.com/players/w/willijo01/gamelog/1977
33,33,1977-01-01,25-052,NYN,@,BUF,L (-15),1,32:00,6,17,.353,2,2,1.000,,,1,0,,,3,14,1977,willijo01,https://www.basketball-reference.com/players/w/willijo01/gamelog/1977
34,34,1977-01-02,25-053,NYN,,PHI,L (-29),1,32:00,11,16,.688,3,4,.750,,,1,0,,,4,25,1977,willijo01,https://www.basketball-reference.com/players/w/willijo01/gamelog/1977
35,35,1977-01-04,25-055,NYN,@,CHI,L (-8),1,39:00,8,18,.444,4,4,1.000,1,1,2,3,2,0,6,20,1977,willijo01,https://www.basketball-reference.com/players/w/willijo01/gamelog/1977
36,36,1977-01-05,25-056,NYN,@,WSB,L (-15),1,42:00,9,23,.391,2,2,1.000,,,2,5,,,5,20,1977,willijo01,https://www.basketball-reference.com/players/w/willijo01/gamelog/1977
37,37,1977-01-07,25-058,NYN,,LAL,L (-3),1,46:00,6,20,.300,4,4,1.000,,,3,3,,,0,16,1977,willijo01,https://www.basketball-reference.com/players/w/willijo01/gamelog/1977
38,38,1977-01-14,25-065,NYN,,ATL,L (-19),1,33:00,10,25,.400,3,3,1.000,,,2,2,,,4,23,1977,willijo01,https://www.basketball-reference.com/players/w/willijo01/gamelog/1977
39,39,1977-01-16,25-067,NYN,@,BOS,L (-15),1,31:00,6,18,.333,5,5,1.000,,,3,3,,,5,17,1977,willijo01,https://www.basketball-reference.com/players/w/willijo01/gamelog/1977
40,40,1977-01-19,25-070,NYN,,POR,L (-15),1,14:00,3,7,.429,0,0,,0,1,1,0,0,0,2,6,1977,willijo01,https://www.basketball-reference.com/players/w/willijo01/gamelog/1977
