Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,1999-11-02,28-025,ORL,@,CHH,L (-14),0,18:40,2,4,.500,0,0,,2,2,1.000,0,2,2,3,0,1,0,5,6,5.4,-2,2000,willimo01,https://www.basketball-reference.com/players/w/willimo01/gamelog/2000
2,2,1999-11-03,28-026,ORL,,DET,W (+9),0,28:52,5,12,.417,0,0,,2,3,.667,6,1,7,2,0,1,2,4,12,8.2,+5,2000,willimo01,https://www.basketball-reference.com/players/w/willimo01/gamelog/2000
3,3,1999-11-05,28-028,ORL,,CLE,L (-5),0,20:50,3,5,.600,0,0,,2,2,1.000,2,3,5,2,0,0,0,3,8,8.2,-7,2000,willimo01,https://www.basketball-reference.com/players/w/willimo01/gamelog/2000
4,4,1999-11-06,28-029,ORL,@,WAS,W (+3),0,17:42,3,5,.600,0,0,,4,4,1.000,0,4,4,0,0,0,1,0,10,7.9,-2,2000,willimo01,https://www.basketball-reference.com/players/w/willimo01/gamelog/2000
5,5,1999-11-08,28-031,ORL,@,HOU,W (+5),0,10:13,2,6,.333,0,0,,0,0,,0,1,1,1,1,0,1,1,4,1.2,-8,2000,willimo01,https://www.basketball-reference.com/players/w/willimo01/gamelog/2000
6,6,1999-11-10,28-033,ORL,,PHI,W (+5),0,23:52,6,9,.667,0,0,,0,2,.000,1,3,4,2,2,1,1,1,12,11.6,-10,2000,willimo01,https://www.basketball-reference.com/players/w/willimo01/gamelog/2000
7,7,1999-11-11,28-034,ORL,@,IND,L (-15),0,28:53,5,10,.500,0,0,,1,2,.500,2,1,3,2,1,0,1,5,11,6.7,-11,2000,willimo01,https://www.basketball-reference.com/players/w/willimo01/gamelog/2000
8,8,1999-11-13,28-036,ORL,@,DAL,L (-8),0,38:53,9,13,.692,0,0,,0,0,,3,5,8,5,1,1,4,5,18,15.3,-3,2000,willimo01,https://www.basketball-reference.com/players/w/willimo01/gamelog/2000
9,9,1999-11-17,28-040,ORL,,POR,L (-2),1,29:57,1,9,.111,0,1,.000,0,0,,3,2,5,5,1,0,1,2,2,1.5,+2,2000,willimo01,https://www.basketball-reference.com/players/w/willimo01/gamelog/2000
10,10,1999-11-19,28-042,ORL,,CHH,L (-11),1,23:04,7,10,.700,0,0,,0,0,,0,4,4,1,0,0,1,4,14,9.1,-14,2000,willimo01,https://www.basketball-reference.com/players/w/willimo01/gamelog/2000
11,11,1999-11-20,28-043,ORL,@,ATL,W (+4),1,18:20,3,8,.375,0,0,,0,0,,1,1,2,1,1,0,0,3,6,3.1,-4,2000,willimo01,https://www.basketball-reference.com/players/w/willimo01/gamelog/2000
12,12,1999-11-24,28-047,ORL,,DAL,W (+12),1,27:19,4,11,.364,0,0,,2,2,1.000,2,3,5,5,1,0,2,2,10,7.9,+5,2000,willimo01,https://www.basketball-reference.com/players/w/willimo01/gamelog/2000
13,13,1999-11-27,28-050,ORL,@,NYK,L (-3),1,20:24,6,10,.600,0,0,,2,2,1.000,0,2,2,3,2,0,2,5,14,10.1,-9,2000,willimo01,https://www.basketball-reference.com/players/w/willimo01/gamelog/2000
14,14,1999-11-28,28-051,ORL,@,DET,W (+9),1,34:00,7,12,.583,0,0,,4,6,.667,1,3,4,2,1,1,3,5,18,11.3,+11,2000,willimo01,https://www.basketball-reference.com/players/w/willimo01/gamelog/2000
15,15,1999-11-30,28-053,ORL,,SAC,L (-9),1,26:34,4,8,.500,0,0,,2,3,.667,0,3,3,1,2,0,1,4,10,6.6,-3,2000,willimo01,https://www.basketball-reference.com/players/w/willimo01/gamelog/2000
16,16,1999-12-02,28-055,ORL,@,MIN,W (+10),1,23:18,7,13,.538,0,0,,0,0,,1,1,2,2,0,0,2,3,14,6.9,0,2000,willimo01,https://www.basketball-reference.com/players/w/willimo01/gamelog/2000
17,17,1999-12-03,28-056,ORL,@,DEN,W (+12),1,21:48,4,9,.444,0,0,,1,2,.500,1,4,5,2,0,0,5,1,9,1.8,-6,2000,willimo01,https://www.basketball-reference.com/players/w/willimo01/gamelog/2000
18,18,1999-12-05,28-058,ORL,@,LAL,L (-17),1,17:44,1,3,.333,0,0,,0,0,,0,2,2,0,1,0,1,4,2,-0.7,-12,2000,willimo01,https://www.basketball-reference.com/players/w/willimo01/gamelog/2000
19,19,1999-12-07,28-060,ORL,@,PHO,L (-3),1,25:49,3,7,.429,0,0,,4,6,.667,3,2,5,5,0,1,4,5,10,6.4,+3,2000,willimo01,https://www.basketball-reference.com/players/w/willimo01/gamelog/2000
20,20,1999-12-11,28-064,ORL,,CHI,W (+21),1,18:40,6,7,.857,0,0,,4,4,1.000,0,0,0,0,0,0,0,3,16,12.3,-4,2000,willimo01,https://www.basketball-reference.com/players/w/willimo01/gamelog/2000
21,21,1999-12-15,28-068,ORL,,MIL,L (-17),1,15:37,3,5,.600,0,0,,2,2,1.000,1,1,2,0,1,0,1,2,8,5.9,-9,2000,willimo01,https://www.basketball-reference.com/players/w/willimo01/gamelog/2000
22,22,1999-12-17,28-070,ORL,,TOR,W (+14),1,28:00,6,10,.600,1,1,1.000,2,2,1.000,1,4,5,2,1,0,2,0,15,12.7,+5,2000,willimo01,https://www.basketball-reference.com/players/w/willimo01/gamelog/2000
23,23,1999-12-18,28-071,ORL,@,CHI,W (+9),1,19:31,3,8,.375,0,0,,0,0,,1,1,2,0,1,2,1,2,6,3.2,-3,2000,willimo01,https://www.basketball-reference.com/players/w/willimo01/gamelog/2000
24,24,1999-12-20,28-073,ORL,,UTA,W (+2),1,27:44,5,13,.385,0,0,,4,6,.667,4,1,5,0,3,1,2,4,14,9.3,+1,2000,willimo01,https://www.basketball-reference.com/players/w/willimo01/gamelog/2000
25,25,1999-12-22,28-075,ORL,@,CLE,W (+6),1,24:19,6,13,.462,0,0,,2,4,.500,2,6,8,2,0,0,1,1,14,9.7,-13,2000,willimo01,https://www.basketball-reference.com/players/w/willimo01/gamelog/2000
26,26,1999-12-23,28-076,ORL,@,CHH,W (+4),1,23:07,5,12,.417,0,0,,5,5,1.000,0,4,4,2,1,0,1,4,15,9.6,+16,2000,willimo01,https://www.basketball-reference.com/players/w/willimo01/gamelog/2000
