Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,session,player,gamelog_url
1,1,1978-10-13,23-364,NYK,,HOU,L (-4),0,26:00,7,18,.389,8,15,.533,,,7,9,3,0,,2,22,,1979,willira01,https://www.basketball-reference.com/players/w/willira01/gamelog/1979
2,2,1978-10-17,24-003,NYK,,SEA,L (-11),0,27:00,8,15,.533,6,7,.857,2,2,4,6,,,,6,22,,1979,willira01,https://www.basketball-reference.com/players/w/willira01/gamelog/1979
3,3,1978-10-20,24-006,NYK,@,MIL,W (+10),1,40:00,12,25,.480,2,5,.400,,,7,9,3,0,0,3,26,,1979,willira01,https://www.basketball-reference.com/players/w/willira01/gamelog/1979
4,4,1978-10-21,24-007,NYK,,NJN,W (+1),1,39:00,6,18,.333,10,11,.909,,,4,6,,,,,22,,1979,willira01,https://www.basketball-reference.com/players/w/willira01/gamelog/1979
5,5,1978-10-24,24-010,NYK,,ATL,W (+4),1,29:00,7,13,.538,9,10,.900,,,3,5,,0,,5,23,,1979,willira01,https://www.basketball-reference.com/players/w/willira01/gamelog/1979
6,6,1978-10-25,24-011,NYK,@,HOU,L (-5),1,39:00,6,16,.375,6,6,1.000,,,2,4,2,0,,4,18,,1979,willira01,https://www.basketball-reference.com/players/w/willira01/gamelog/1979
7,7,1978-10-26,24-012,NYK,@,NOJ,L (-12),1,33:00,8,19,.421,2,2,1.000,,,6,1,,,,6,18,,1979,willira01,https://www.basketball-reference.com/players/w/willira01/gamelog/1979
8,8,1978-10-28,24-014,NYK,,IND,W (+5),1,20:00,4,8,.500,5,6,.833,,,3,4,2,,4,5,13,,1979,willira01,https://www.basketball-reference.com/players/w/willira01/gamelog/1979
9,9,1978-10-31,24-017,NYK,@,PHO,L (-12),1,39:00,8,15,.533,4,5,.800,0,4,4,2,3,1,7,5,20,9.6,1979,willira01,https://www.basketball-reference.com/players/w/willira01/gamelog/1979
10,10,1978-11-02,24-019,NYK,@,SDC,W (+5),1,41:00,12,19,.632,5,5,1.000,,,7,7,0,0,2,3,29,,1979,willira01,https://www.basketball-reference.com/players/w/willira01/gamelog/1979
