Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,session,player,gamelog_url
1,1,1968-10-18,24-024,SFW,,SDR,L (-15),,23:00,4,11,.364,5,5,1.000,3,7,5,13,1969,williro01,https://www.basketball-reference.com/players/w/williro01/gamelog/1969
2,2,1968-10-19,24-025,SFW,@,SEA,W (+12),,23:00,1,6,.167,2,2,1.000,6,0,6,4,1969,williro01,https://www.basketball-reference.com/players/w/williro01/gamelog/1969
3,3,1968-10-22,24-028,SFW,,PHO,W (+8),,24:00,5,8,.625,4,4,1.000,3,4,5,14,1969,williro01,https://www.basketball-reference.com/players/w/williro01/gamelog/1969
4,4,1968-10-26,24-032,SFW,,BAL,W (+1),,9:00,1,2,.500,0,0,,2,11,1,2,1969,williro01,https://www.basketball-reference.com/players/w/williro01/gamelog/1969
5,5,1968-10-29,24-035,SFW,@,NYK,L (-13),,9:00,1,2,.500,0,0,,1,4,4,2,1969,williro01,https://www.basketball-reference.com/players/w/williro01/gamelog/1969
6,6,1968-10-30,24-036,SFW,@,BAL,L (-2),,25:00,2,4,.500,2,3,.667,1,4,0,6,1969,williro01,https://www.basketball-reference.com/players/w/williro01/gamelog/1969
7,7,1968-11-01,24-038,SFW,@,ATL,L (-4),,25:00,5,7,.714,5,8,.625,0,5,4,15,1969,williro01,https://www.basketball-reference.com/players/w/williro01/gamelog/1969
8,8,1968-11-02,24-039,SFW,@,MIL,L (-1),,34:00,7,17,.412,1,2,.500,3,5,2,15,1969,williro01,https://www.basketball-reference.com/players/w/williro01/gamelog/1969
9,9,1968-11-04,24-041,SFW,@,PHO,W (+11),,20:00,3,10,.300,0,0,,2,2,1,6,1969,williro01,https://www.basketball-reference.com/players/w/williro01/gamelog/1969
10,10,1968-11-06,24-043,SFW,,NYK,W (+1),,25:00,1,1,1.000,1,2,.500,0,3,4,3,1969,williro01,https://www.basketball-reference.com/players/w/williro01/gamelog/1969
11,11,1968-11-08,24-045,SFW,@,DET,L (-4),,43:00,2,5,.400,3,3,1.000,7,7,5,7,1969,williro01,https://www.basketball-reference.com/players/w/williro01/gamelog/1969
12,12,1968-11-09,24-046,SFW,@,ATL,L (-7),,47:00,7,15,.467,2,4,.500,1,6,5,16,1969,williro01,https://www.basketball-reference.com/players/w/williro01/gamelog/1969
