Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,session,player,gamelog_url
1,1,1977-10-19,26-277,IND,,LAL,L (-13),0,19:00,3,10,0.3,2,2,1.0,2.0,0.0,2,3,0.0,0.0,0.0,2,8,4.9,1978,wilsobo03,https://www.basketball-reference.com/players/w/wilsobo03/gamelog/1978
2,2,1977-10-21,26-279,IND,@,CHI,L (-3),0,21:00,6,10,0.6,0,0,,0.0,3.0,3,3,1.0,1.0,3.0,5,12,7.1,1978,wilsobo03,https://www.basketball-reference.com/players/w/wilsobo03/gamelog/1978
3,3,1977-10-22,26-280,IND,,KCK,W (+5),0,6:00,0,0,,0,0,,0.0,0.0,0,3,0.0,0.0,,0,0,,1978,wilsobo03,https://www.basketball-reference.com/players/w/wilsobo03/gamelog/1978
4,4,1977-10-25,26-283,IND,,DEN,W (+25),0,5:00,2,4,0.5,0,0,,1.0,0.0,1,1,1.0,0.0,0.0,0,4,4.4,1978,wilsobo03,https://www.basketball-reference.com/players/w/wilsobo03/gamelog/1978
5,5,1977-10-28,26-286,IND,,WSB,W (+9),0,10:00,1,5,0.2,0,1,0.0,,,2,1,,0.0,,2,2,,1978,wilsobo03,https://www.basketball-reference.com/players/w/wilsobo03/gamelog/1978
6,6,1977-11-04,26-293,IND,@,LAL,L (-12),0,2:00,0,0,,0,0,,0.0,0.0,0,0,0.0,0.0,1.0,0,0,-1.0,1978,wilsobo03,https://www.basketball-reference.com/players/w/wilsobo03/gamelog/1978
7,7,1977-11-11,26-300,IND,@,SEA,L (-6),0,7:00,0,1,0.0,0,0,,0.0,0.0,0,0,,0.0,,2,0,,1978,wilsobo03,https://www.basketball-reference.com/players/w/wilsobo03/gamelog/1978
8,8,1977-11-19,26-308,IND,@,NYK,L (-2),0,1:00,0,0,,0,0,,0.0,0.0,0,0,,,,0,0,,1978,wilsobo03,https://www.basketball-reference.com/players/w/wilsobo03/gamelog/1978
9,9,1977-11-22,26-311,IND,@,NOJ,L (-15),0,4:00,0,2,0.0,0,0,,0.0,0.0,0,0,0.0,,,0,0,,1978,wilsobo03,https://www.basketball-reference.com/players/w/wilsobo03/gamelog/1978
10,10,1977-11-26,26-315,IND,@,DEN,L (-13),0,6:00,0,2,0.0,0,0,,1.0,2.0,3,0,0.0,0.0,1.0,1,0,-1.5,1978,wilsobo03,https://www.basketball-reference.com/players/w/wilsobo03/gamelog/1978
11,11,1977-11-30,26-319,IND,,MIL,L (-7),0,1:00,1,1,1.0,0,0,,0.0,0.0,0,0,0.0,0.0,,0,2,,1978,wilsobo03,https://www.basketball-reference.com/players/w/wilsobo03/gamelog/1978
12,12,1977-12-03,26-322,IND,@,DET,W (+14),0,4:00,1,1,1.0,0,0,,,,1,0,,,,1,2,,1978,wilsobo03,https://www.basketball-reference.com/players/w/wilsobo03/gamelog/1978
