Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,session,player,gamelog_url
1,1,1968-10-18,26-162,PHO,,SEA,W (+9),,42:00,6,13,.462,4,7,.571,19,1,4,16,1969,wilsoge01,https://www.basketball-reference.com/players/w/wilsoge01/gamelog/1969
2,2,1968-10-20,26-164,PHO,,BAL,L (-12),,45:00,7,13,.538,3,4,.750,16,2,5,17,1969,wilsoge01,https://www.basketball-reference.com/players/w/wilsoge01/gamelog/1969
3,3,1968-10-22,26-166,PHO,@,SFW,L (-8),,46:00,5,11,.455,1,1,1.000,14,3,4,11,1969,wilsoge01,https://www.basketball-reference.com/players/w/wilsoge01/gamelog/1969
4,4,1968-10-24,26-168,PHO,,NYK,W (+17),,33:00,5,11,.455,2,3,.667,16,0,4,12,1969,wilsoge01,https://www.basketball-reference.com/players/w/wilsoge01/gamelog/1969
5,5,1968-10-27,26-171,PHO,,ATL,L (-23),,46:00,4,12,.333,4,8,.500,18,2,3,12,1969,wilsoge01,https://www.basketball-reference.com/players/w/wilsoge01/gamelog/1969
6,6,1968-10-30,26-174,PHO,@,SEA,W (+7),,47:00,8,22,.364,5,5,1.000,18,2,4,21,1969,wilsoge01,https://www.basketball-reference.com/players/w/wilsoge01/gamelog/1969
7,7,1968-10-31,26-175,PHO,,CHI,W (+9),,46:00,8,20,.400,0,1,.000,23,2,6,16,1969,wilsoge01,https://www.basketball-reference.com/players/w/wilsoge01/gamelog/1969
8,8,1968-11-03,26-178,PHO,,LAL,L (-18),,41:00,2,10,.200,3,6,.500,14,2,4,7,1969,wilsoge01,https://www.basketball-reference.com/players/w/wilsoge01/gamelog/1969
9,9,1968-11-04,26-179,PHO,,SFW,L (-11),,37:00,5,14,.357,0,1,.000,20,2,6,10,1969,wilsoge01,https://www.basketball-reference.com/players/w/wilsoge01/gamelog/1969
10,10,1968-11-10,26-185,PHO,,DET,W (+2),,47:00,14,31,.452,5,9,.556,18,1,3,33,1969,wilsoge01,https://www.basketball-reference.com/players/w/wilsoge01/gamelog/1969
11,11,1968-11-14,26-189,PHO,,DET,L (-2),,39:00,6,18,.333,2,5,.400,12,3,5,14,1969,wilsoge01,https://www.basketball-reference.com/players/w/wilsoge01/gamelog/1969
12,12,1968-11-15,26-190,PHO,@,SEA,L (-4),,57:00,8,11,.727,3,6,.500,24,4,6,19,1969,wilsoge01,https://www.basketball-reference.com/players/w/wilsoge01/gamelog/1969
13,13,1968-11-17,26-192,PHO,,BOS,L (-32),,11:00,1,6,.167,7,7,1.000,2,1,1,9,1969,wilsoge01,https://www.basketball-reference.com/players/w/wilsoge01/gamelog/1969
