Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,session,player,gamelog_url
1,1,1985-10-25,25-362,ATL,,WSB,L (-9),0,24:00,3,6,.500,0,1,.000,0,0,,2,1,3,3,0,0,0,0,6,6.8,1986,wittmra01,https://www.basketball-reference.com/players/w/wittmra01/gamelog/1986
2,2,1985-10-26,25-363,ATL,@,MIL,L (-26),0,23:00,4,6,.667,0,0,,0,0,,1,0,1,3,1,0,1,1,8,7.8,1986,wittmra01,https://www.basketball-reference.com/players/w/wittmra01/gamelog/1986
3,3,1985-10-29,26-001,ATL,,NYK,W (+15),1,35:00,7,11,.636,0,0,,1,2,.500,0,3,3,2,0,1,2,1,15,10.3,1986,wittmra01,https://www.basketball-reference.com/players/w/wittmra01/gamelog/1986
4,4,1985-11-01,26-004,ATL,@,BOS,L (-4),1,39:00,5,9,.556,0,0,,0,0,,0,3,3,5,2,1,2,2,10,10.0,1986,wittmra01,https://www.basketball-reference.com/players/w/wittmra01/gamelog/1986
5,5,1985-11-02,26-005,ATL,,PHI,W (+1),1,41:00,8,13,.615,0,0,,1,1,1.000,1,3,4,3,0,0,1,3,17,12.6,1986,wittmra01,https://www.basketball-reference.com/players/w/wittmra01/gamelog/1986
6,6,1985-11-05,26-008,ATL,@,DEN,L (-15),1,32:00,2,7,.286,0,0,,2,4,.500,1,1,2,2,2,0,2,1,6,3.1,1986,wittmra01,https://www.basketball-reference.com/players/w/wittmra01/gamelog/1986
7,7,1985-11-06,26-009,ATL,@,PHO,W (+8),1,27:00,3,8,.375,0,0,,2,2,1.000,0,2,2,2,2,0,0,5,8,5.6,1986,wittmra01,https://www.basketball-reference.com/players/w/wittmra01/gamelog/1986
8,8,1985-11-08,26-011,ATL,@,GSW,L (-11),1,24:00,2,5,.400,0,0,,0,0,,0,3,3,1,0,0,0,2,4,2.1,1986,wittmra01,https://www.basketball-reference.com/players/w/wittmra01/gamelog/1986
9,9,1985-11-09,26-012,ATL,@,LAC,W (+3),1,37:00,4,9,.444,0,0,,3,5,.600,1,3,4,5,2,0,1,1,11,11.2,1986,wittmra01,https://www.basketball-reference.com/players/w/wittmra01/gamelog/1986
10,10,1985-11-13,26-016,ATL,,PHO,W (+7),1,35:00,4,9,.444,1,1,1.000,0,0,,0,1,1,5,1,0,0,1,9,8.7,1986,wittmra01,https://www.basketball-reference.com/players/w/wittmra01/gamelog/1986
