Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,1996-11-01,31-337,MIL,@,PHI,W (+8),0,2:39,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-5,1997,woodda01,https://www.basketball-reference.com/players/w/woodda01/gamelog/1997
2,2,1996-11-02,31-338,MIL,,BOS,W (+22),0,5:45,1,2,.500,1,1,1.000,0,0,,0,0,0,0,0,0,0,2,3,1.2,-5,1997,woodda01,https://www.basketball-reference.com/players/w/woodda01/gamelog/1997
3,3,1996-11-06,31-342,MIL,,VAN,W (+16),0,13:46,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-0.1,+12,1997,woodda01,https://www.basketball-reference.com/players/w/woodda01/gamelog/1997
4,4,1996-11-08,31-344,MIL,@,MIA,L (-12),0,1:21,0,0,,0,0,,1,2,.500,0,1,1,0,0,1,0,0,1,1.6,+3,1997,woodda01,https://www.basketball-reference.com/players/w/woodda01/gamelog/1997
5,,1996-11-09,31-345,MIL,@,CHH,W (+2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,1997,woodda01,https://www.basketball-reference.com/players/w/woodda01/gamelog/1997
6,5,1996-11-12,31-348,MIL,,PHO,W (+10),0,0:19,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0,1997,woodda01,https://www.basketball-reference.com/players/w/woodda01/gamelog/1997
7,6,1996-11-14,31-350,MIL,@,GSW,L (-9),0,4:51,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.7,+2,1997,woodda01,https://www.basketball-reference.com/players/w/woodda01/gamelog/1997
8,7,1996-11-15,31-351,MIL,@,SAC,L (-4),0,19:42,2,3,.667,2,3,.667,1,1,1.000,0,2,2,0,1,1,0,2,7,7.2,-3,1997,woodda01,https://www.basketball-reference.com/players/w/woodda01/gamelog/1997
9,,1996-11-17,31-353,MIL,@,LAC,L (-8),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,1997,woodda01,https://www.basketball-reference.com/players/w/woodda01/gamelog/1997
10,8,1996-11-19,31-355,MIL,,DAL,W (+3),0,19:50,0,1,.000,0,0,,1,4,.250,1,4,5,0,0,0,0,3,1,-0.2,+7,1997,woodda01,https://www.basketball-reference.com/players/w/woodda01/gamelog/1997
