Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,,2015-10-28,23-185,TOR,,IND,W (+7),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2016,wrighde01,https://www.basketball-reference.com/players/w/wrighde01/gamelog/2016
2,,2015-10-30,23-187,TOR,@,BOS,W (+10),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2016,wrighde01,https://www.basketball-reference.com/players/w/wrighde01/gamelog/2016
3,1,2015-11-01,23-189,TOR,,MIL,W (+19),0,2:22,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,1,0,0,-1.4,-2,2016,wrighde01,https://www.basketball-reference.com/players/w/wrighde01/gamelog/2016
4,,2015-11-03,23-191,TOR,@,DAL,W (+11),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2016,wrighde01,https://www.basketball-reference.com/players/w/wrighde01/gamelog/2016
5,,2015-11-04,23-192,TOR,@,OKC,W (+5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2016,wrighde01,https://www.basketball-reference.com/players/w/wrighde01/gamelog/2016
6,,2015-11-06,23-194,TOR,@,ORL,L (-5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2016,wrighde01,https://www.basketball-reference.com/players/w/wrighde01/gamelog/2016
7,2,2015-11-08,23-196,TOR,@,MIA,L (-20),0,2:39,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-3,2016,wrighde01,https://www.basketball-reference.com/players/w/wrighde01/gamelog/2016
8,,2015-11-10,23-198,TOR,,NYK,L (-2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2016,wrighde01,https://www.basketball-reference.com/players/w/wrighde01/gamelog/2016
9,3,2015-11-11,23-199,TOR,@,PHI,W (+16),0,2:36,0,2,.000,0,0,,0,0,,1,1,2,0,0,0,0,0,0,-0.4,-1,2016,wrighde01,https://www.basketball-reference.com/players/w/wrighde01/gamelog/2016
10,4,2015-11-13,23-201,TOR,,NOP,W (+19),0,2:29,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-0.1,-2,2016,wrighde01,https://www.basketball-reference.com/players/w/wrighde01/gamelog/2016
11,,2015-11-15,23-203,TOR,@,SAC,L (-6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2016,wrighde01,https://www.basketball-reference.com/players/w/wrighde01/gamelog/2016
12,,2015-11-17,23-205,TOR,@,GSW,L (-5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2016,wrighde01,https://www.basketball-reference.com/players/w/wrighde01/gamelog/2016
13,,2015-11-18,23-206,TOR,@,UTA,L (-4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2016,wrighde01,https://www.basketball-reference.com/players/w/wrighde01/gamelog/2016
14,,2015-11-20,23-208,TOR,@,LAL,W (+11),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2016,wrighde01,https://www.basketball-reference.com/players/w/wrighde01/gamelog/2016
15,,2015-11-22,23-210,TOR,@,LAC,W (+11),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2016,wrighde01,https://www.basketball-reference.com/players/w/wrighde01/gamelog/2016
16,,2015-11-25,23-213,TOR,,CLE,W (+4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2016,wrighde01,https://www.basketball-reference.com/players/w/wrighde01/gamelog/2016
17,,2015-11-28,23-216,TOR,@,WAS,W (+2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2016,wrighde01,https://www.basketball-reference.com/players/w/wrighde01/gamelog/2016
18,,2015-11-29,23-217,TOR,,PHO,L (-5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2016,wrighde01,https://www.basketball-reference.com/players/w/wrighde01/gamelog/2016
