Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,session,player,gamelog_url
1,1,1949-11-01,23-329,CHS,,NYK,L (-2),,,3,,,3,5,.600,,,,9,1950,zasloma01,https://www.basketball-reference.com/players/z/zasloma01/gamelog/1950
2,2,1949-11-05,23-333,CHS,,BOS,W (+16),,,10,,,2,3,.667,,,,22,1950,zasloma01,https://www.basketball-reference.com/players/z/zasloma01/gamelog/1950
3,3,1949-11-06,23-334,CHS,@,FTW,L (-17),,,2,,,1,2,.500,,,,5,1950,zasloma01,https://www.basketball-reference.com/players/z/zasloma01/gamelog/1950
4,4,1949-11-09,23-337,CHS,,ROC,W (+3),,,9,,,1,2,.500,,,,19,1950,zasloma01,https://www.basketball-reference.com/players/z/zasloma01/gamelog/1950
5,5,1949-11-10,23-338,CHS,,DNN,W (+11),,,7,,,1,2,.500,,,1,15,1950,zasloma01,https://www.basketball-reference.com/players/z/zasloma01/gamelog/1950
6,6,1949-11-12,23-340,CHS,,MNL,W (+7),,,9,,,6,7,.857,,,1,24,1950,zasloma01,https://www.basketball-reference.com/players/z/zasloma01/gamelog/1950
7,7,1949-11-13,23-341,CHS,@,STB,W (+26),,,6,,,8,9,.889,,,,20,1950,zasloma01,https://www.basketball-reference.com/players/z/zasloma01/gamelog/1950
8,8,1949-11-15,23-343,CHS,,WSC,W (+14),,,6,,,6,11,.545,,,,18,1950,zasloma01,https://www.basketball-reference.com/players/z/zasloma01/gamelog/1950
9,9,1949-11-16,23-344,CHS,,FTW,W (+13),,,5,,,0,0,,,,,10,1950,zasloma01,https://www.basketball-reference.com/players/z/zasloma01/gamelog/1950
10,10,1949-11-18,23-346,CHS,@,PHW,L (-15),,,5,17,.294,3,5,.600,,3,3,13,1950,zasloma01,https://www.basketball-reference.com/players/z/zasloma01/gamelog/1950
11,11,1949-11-19,23-347,CHS,@,WSC,L (-16),,,3,,,3,4,.750,,,,9,1950,zasloma01,https://www.basketball-reference.com/players/z/zasloma01/gamelog/1950
12,12,1949-11-23,23-351,CHS,,INO,W (+20),,,4,,,0,0,,,,,8,1950,zasloma01,https://www.basketball-reference.com/players/z/zasloma01/gamelog/1950
