Player,From,To,Pos,Ht,Wt,Birth Date,Colleges,player_href
Žarko Čabarkapa,2004,2006,F,6-11,235,"May 21, 1981",,https://www.basketball-reference.com/players/c/cabarza01.html
Barney Cable,1959,1964,F,6-7,175,"July 29, 1935",Bradley,https://www.basketball-reference.com/players/c/cableba01.html
Bruno Caboclo,2015,2021,F-C,6-9,218,"September 21, 1995",,https://www.basketball-reference.com/players/c/cabocbr01.html
Devontae Cacok,2020,2022,F,6-7,240,"October 8, 1996",UNC Wilmington,https://www.basketball-reference.com/players/c/cacokde01.html
Jason Caffey,1996,2003,F,6-8,255,"June 12, 1973",Alabama,https://www.basketball-reference.com/players/c/caffeja01.html
Michael Cage,1985,2000,F-C,6-9,224,"January 28, 1962",San Diego State,https://www.basketball-reference.com/players/c/cagemi01.html
Jamal Cain,2023,2023,F,6-7,191,"March 20, 1999","Marquette, Oakland",https://www.basketball-reference.com/players/c/cainja01.html
Gerry Calabrese,1951,1952,G,6-1,175,"February 4, 1925",St. John's,https://www.basketball-reference.com/players/c/calabge01.html
Nick Calathes,2014,2015,G,6-6,213,"February 7, 1989",Florida,https://www.basketball-reference.com/players/c/calatni01.html
José Calderón,2006,2019,G,6-3,200,"September 28, 1981",,https://www.basketball-reference.com/players/c/caldejo01.html
Adrian Caldwell,1990,1998,F-C,6-8,265,"July 4, 1966","SMU, Lamar",https://www.basketball-reference.com/players/c/caldwad01.html
Jim Caldwell,1968,1969,C,6-10,240,"January 28, 1943",Georgia Tech,https://www.basketball-reference.com/players/c/caldwji01.html
Joe Caldwell,1965,1975,F-G,6-5,195,"November 1, 1941",Arizona State,https://www.basketball-reference.com/players/c/caldwjo01.html
Kentavious Caldwell-Pope,2014,2023,G,6-5,204,"February 18, 1993",Georgia,https://www.basketball-reference.com/players/c/caldwke01.html
Bill Calhoun,1949,1955,F-G,6-3,180,"November 4, 1927",City College of San Francisco,https://www.basketball-reference.com/players/c/calhobi01.html
Corky Calhoun,1973,1980,F,6-7,210,"November 1, 1950",Penn,https://www.basketball-reference.com/players/c/calhoco01.html
Demetrius Calip,1992,1992,G,6-1,165,"November 18, 1969",Michigan,https://www.basketball-reference.com/players/c/calipde01.html
Tom Callahan,1947,1947,G,6-1,180,"June 2, 1921",Rockhurst University,https://www.basketball-reference.com/players/c/callato01.html
Rick Calloway,1991,1991,F,6-6,180,"December 12, 1966","Indiana, Kansas",https://www.basketball-reference.com/players/c/callori01.html
Ernie Calverley,1947,1949,G,5-10,145,"January 30, 1924",Rhode Island,https://www.basketball-reference.com/players/c/calveer01.html
Mack Calvin,1970,1981,G,6-0,165,"July 27, 1947","Long Beach City College, USC",https://www.basketball-reference.com/players/c/calvima01.html
Dexter Cambridge,1993,1993,F,6-7,224,"January 29, 1970",Texas,https://www.basketball-reference.com/players/c/cambrde01.html
Marcus Camby,1997,2013,C-F,6-11,220,"March 22, 1974",UMass,https://www.basketball-reference.com/players/c/cambyma01.html
Facundo Campazzo,2021,2023,G,5-10,195,"March 23, 1991",,https://www.basketball-reference.com/players/c/campafa01.html
Elden Campbell,1991,2005,C,6-11,215,"July 23, 1968",Clemson,https://www.basketball-reference.com/players/c/campbel01.html
Tony Campbell,1985,1995,F-G,6-7,215,"May 7, 1962",Ohio State,https://www.basketball-reference.com/players/c/campbto01.html
Isaiah Canaan,2014,2019,G,6-0,201,"May 21, 1991",Murray State,https://www.basketball-reference.com/players/c/canaais01.html
