Season,Team,Lg,Salary,player_id
1985-86,Indiana Pacers,NBA,"$200,000",flemive01
1986-87,Indiana Pacers,NBA,"$210,000",flemive01
1987-88,Indiana Pacers,NBA,"$257,500",flemive01
1988-89,Indiana Pacers,NBA,"$507,500",flemive01
1990-91,Indiana Pacers,NBA,"$667,000",flemive01
1991-92,Indiana Pacers,NBA,"$760,000",flemive01
1992-93,Indiana Pacers,NBA,"$1,360,000",flemive01
1993-94,Indiana Pacers,NBA,"$1,560,000",flemive01
1994-95,Indiana Pacers,NBA,"$1,760,000",flemive01
1995-96,New Jersey Nets,NBA,"$700,000",flemive01
Career,(may be incomplete),,"$7,982,000",flemive01
