Season,Team,Lg,Salary,player_id
1988-89,Phoenix Suns,NBA,"$100,000",kerrst01
1990-91,Cleveland Cavaliers,NBA,"$548,000",kerrst01
1991-92,Cleveland Cavaliers,NBA,"$553,000",kerrst01
1992-93,Orlando Magic,NBA,"$550,000",kerrst01
1993-94,Chicago Bulls,NBA,"$150,000",kerrst01
1994-95,Chicago Bulls,NBA,"$620,000",kerrst01
1995-96,Chicago Bulls,NBA,"$800,000",kerrst01
1996-97,Chicago Bulls,NBA,"$750,000",kerrst01
1997-98,Chicago Bulls,NBA,"$750,000",kerrst01
1998-99,San Antonio Spurs,NBA,"$1,774,000",kerrst01
1999-00,San Antonio Spurs,NBA,"$1,968,750",kerrst01
2000-01,San Antonio Spurs,NBA,"$2,200,000",kerrst01
2001-02,Portland Trail Blazers,NBA,"$2,406,250",kerrst01
2002-03,San Antonio Spurs,NBA,"$2,625,000",kerrst01
Career,(may be incomplete),,"$15,795,000",kerrst01
